name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
蔚蓝,0x70f3ffff,"#70F3FF",-9374721,112 243 255 100%,185 56% 100%,163 243 255,107 242 255,180 243 253,41 229 255,95 229 254,53 233 255,56 5 0 0,47 0 6 0,45 0 10 0,0.558859 0.739186 0.803462,88.88 -35.21 -17.39,88.88 39.27 206.29,88.88 -57.93 -17.11,88.88 60.4 196.46,-1
蓝,0x44cef6ff,"#44CEF6",-12267786,68 206 246 100%,193 72% 96%,127 205 244,68 196 245,147 208 244,15 157 235,55 157 232,23 159 238,72 16 0 4,65 0 1 0,60 0 5 0,0.394732 0.511188 0.718908,76.75 -28.53 -31.1,76.75 42.2 227.47,76.75 -54.53 -37.79,76.75 66.35 214.72,-1
碧蓝,0x3eede7ff,"#3EEDE7",-12653081,62 237 231 100%,178 74% 93%,142 236 231,72 235 225,161 238 232,12 216 204,70 216 204,26 221 204,74 0 3 7,60 0 23 0,56 0 20 0,0.461444 0.666263 0.653604,85.31 -45.61 -10.37,85.31 46.77 192.8,85.31 -67.1 -5.69,85.31 67.34 184.84,-1
石青,0x7bcfa6ff,"#7BCFA6",-8663130,123 207 166 100%,151 41% 81%,152 206 166,112 199 148,164 212 175,51 159 97,81 159 100,58 163 95,41 0 20 19,60 4 53 0,52 0 42 0,0.381199 0.51449 0.335682,76.95 -33.68 12.07,76.95 35.78 160.28,76.95 -41.72 20.46,76.95 46.46 153.88,-1
靛青,0x177cb0ff,"#177CB0",-15237968,23 124 176 100%,200 87% 69%,73 123 173,28 105 162,87 129 180,2 51 111,16 51 108,5 52 113,87 30 0 31,87 31 9 0,86 44 13 0,0.143467 0.172715 0.329752,48.6 -13.5 -35.93,48.6 38.38 249.41,48.6 -34.77 -44.61,48.6 56.56 232.06,-1
靛蓝,0x065279ff,"#065279",-16362887,6 82 121 100%,200 95% 47%,48 83 119,15 65 103,54 86 127,0 22 49,6 22 48,2 22 50,95 32 0 53,93 51 33 0,100 69 29 13,0.060642 0.072483 0.14477,32.37 -9.63 -28.57,32.37 30.15 251.37,32.37 -23.5 -31.88,32.37 39.6 233.61,-1
花青,0x003472ff,"#003472",-16763790,0 52 114 100%,213 100% 45%,31 55 112,5 38 96,34 50 120,0 9 43,2 9 42,0 8 44,100 54 0 55,98 71 25 0,100 81 35 15,0.037299 0.034817 0.123508,21.88 5.83 -40.88,21.88 41.29 278.12,21.88 -13.86 -42.99,21.88 45.17 252.13,-1
宝蓝,0x4b5cc4ff,"#4B5CC4",-11838268,75 92 196 100%,232 62% 77%,81 92 192,57 71 186,95 91 198,18 27 141,21 27 136,17 26 145,62 53 0 23,88 59 0 0,85 72 0 0,0.150875 0.125839 0.405604,42.13 18.87 -57.61,42.13 60.63 288.14,42.13 -13.02 -76.76,42.13 77.86 260.38,-1
蓝灰色,0xa1afc9ff,"#A1AFC9",-6180919,161 175 201 100%,219 20% 79%,164 173 199,144 159 190,175 181 205,91 109 149,96 109 147,92 109 150,20 13 0 21,41 18 12 0,39 26 11 0,0.404061 0.422025 0.463726,71.01 -0.88 -15.02,71.01 15.05 266.64,71.01 -9.46 -19.05,71.01 21.27 243.58,-1
藏青,0x2e4e7eff,"#2E4E7E",-13742466,46 78 126 100%,216 63% 49%,60 79 124,36 61 108,67 81 132,7 19 53,11 19 52,7 19 54,63 38 0 51,87 56 26 0,94 78 22 9,0.071102 0.073342 0.156781,32.56 0.38 -31.26,32.56 31.26 270.69,32.56 -15.2 -36.39,32.56 39.43 247.33,-1
