name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
古代紫,0x895b8aff,"#895B8A",-7775350,137 91 138 100%,299 34% 54%,125 91 135,115 70 120,134 97 145,64 27 65,53 27 63,61 25 66,1 34 0 46,51 61 26 0,52 77 19 3,0.185736 0.146065 0.195153,45.09 25.44 -18.35,45.09 31.37 324.2,45.09 24.41 -25.96,45.09 35.64 313.25,-1
茄子紺,0x824880ff,"#824880",-8238976,130 72 128 100%,302 45% 51%,116 73 125,107 53 110,125 76 135,57 17 55,45 17 53,54 15 56,0 45 2 49,55 72 29 0,56 91 18 4,0.153183 0.10921 0.163565,39.45 31.8 -21.01,39.45 38.12 326.55,39.45 30.43 -29.42,39.45 42.33 315.97,-1
二藍,0x915c8bff,"#915C8B",-7250805,145 92 139 100%,307 37% 57%,131 92 136,123 71 121,140 98 146,72 27 66,59 27 64,69 26 67,0 37 4 43,47 61 25 0,48 77 19 2,0.201626 0.155375 0.198725,46.36 27.97 -16.91,46.36 32.69 328.85,46.36 29.31 -24.76,46.36 38.37 319.81,-1
京紫,0x9d5b8bff,"#9D5B8B",-6464629,157 91 139 100%,316 42% 62%,141 91 136,135 70 121,149 97 147,86 27 66,69 27 64,82 25 67,0 42 11 38,40 63 25 0,43 78 19 1,0.224254 0.165668 0.199243,47.71 32.88 -14.69,47.71 36.01 335.92,47.71 38.51 -23.08,47.71 44.89 329.07,-1
蒲葡,0x7a4171ff,"#7A4171",-8765071,122 65 113 100%,309 47% 48%,109 67 111,100 47 95,117 69 120,50 13 42,39 13 41,47 12 43,0 47 7 52,58 74 38 0,56 95 25 10,0.12885 0.091208 0.125777,36.22 30.56 -16.81,36.22 34.88 331.19,36.22 30.99 -23.59,36.22 38.95 322.72,-1
若紫,0xbc64a4ff,"#BC64A4",-4430684,188 100 164 100%,316 47% 74%,167 100 160,169 77 149,174 106 171,128 32 95,101 32 92,121 29 97,0 47 13 26,27 64 14 0,30 76 3 0,0.321485 0.225755 0.284509,54.63 42.26 -18.46,54.63 46.12 336.4,54.63 51.68 -30.28,54.63 59.89 329.63,-1
紅紫,0xb44c97ff,"#B44C97",-4961129,180 76 151 100%,317 58% 71%,158 77 147,159 53 135,165 80 158,116 18 79,88 18 76,109 15 81,0 58 16 29,29 76 16 0,34 89 3 0,0.271138 0.172123 0.234391,48.53 49.44 -20.22,48.53 53.42 337.76,48.53 60.45 -33.09,48.53 68.91 331.3,-1
梅紫,0xaa4c8fff,"#AA4C8F",-5616497,170 76 143 100%,317 55% 67%,149 77 140,149 54 126,157 81 150,103 18 70,79 18 68,96 16 72,0 55 16 33,34 74 20 0,38 90 10 0,0.242423 0.157902 0.208786,46.7 45.32 -18.4,46.7 48.92 337.91,46.7 54.86 -29.8,46.7 62.44 331.49,-1
菖蒲色,0x674196ff,"#674196",-10010218,103 65 150 100%,267 57% 59%,94 67 146,81 47 134,103 64 156,35 13 78,29 13 75,33 12 80,31 57 0 41,75 77 11 0,75 98 0 0,0.123139 0.086561 0.224836,35.31 30.61 -41.19,35.31 51.32 306.62,35.31 11.86 -53.44,35.31 54.74 282.51,-1
紅藤色,0xcca6bfff,"#CCA6BF",-3365185,204 166 191 100%,321 19% 80%,193 164 189,190 148 178,199 173 197,154 97 133,138 97 131,150 95 134,0 19 6 20,21 30 14 0,21 39 11 0,0.484693 0.4393 0.417522,72.18 17.46 -7.33,72.18 18.94 337.23,72.18 22.22 -12.44,72.18 25.46 330.76,-1
浅紫,0xc4a3bfff,"#C4A3BF",-3890241,196 163 191 100%,309 17% 77%,186 162 189,181 144 178,193 170 196,141 93 133,127 93 131,137 92 134,0 17 3 23,25 30 14 0,24 39 10 0,0.456293 0.416965 0.415337,70.66 16.1 -9.67,70.66 18.78 328.99,70.66 18.58 -15.1,70.66 23.94 320.9,-1
紫水晶,0xe7e7ebff,"#E7E7EB",-1579029,231 231 235 100%,240 2% 92%,230 230 234,225 225 230,234 234 237,204 204 212,204 204 212,204 204 212,2 2 0 8,11 6 7 0,9 8 5 0,0.775042 0.801022 0.682043,91.73 0.54 -1.95,91.73 2.02 285.39,91.73 -0.24 -2.58,91.73 2.59 264.59,-1
薄梅鼠,0xdcd6d9ff,"#DCD6D9",-2304295,220 214 217 100%,330 3% 86%,217 213 216,211 204 208,222 218 221,183 171 177,179 171 177,182 171 177,0 3 1 14,15 10 13 0,14 14 10 0,0.670309 0.683366 0.570813,86.17 2.52 -0.71,86.17 2.62 344.19,86.17 3.45 -1.39,86.17 3.72 338.06,-1
暁鼠,0xd3cfd9ff,"#D3CFD9",-2895911,211 207 217 100%,264 5% 85%,209 206 216,201 196 209,215 212 221,166 159 177,164 159 176,165 159 178,3 5 0 15,19 12 11 0,17 16 9 0,0.623606 0.634305 0.56521,83.67 2.79 -4.46,83.67 5.26 302.06,83.67 1.77 -6.16,83.67 6.41 286.04,-1
牡丹鼠,0xd3ccd6ff,"#D3CCD6",-2896682,211 204 214 100%,282 5% 84%,208 203 212,200 192 205,214 209 218,166 154 171,163 154 171,165 153 172,1 5 0 16,19 13 12 0,18 18 9 0,0.612788 0.618573 0.547951,82.84 3.86 -4.07,82.84 5.61 313.43,82.84 3.59 -5.87,82.84 6.88 301.44,-1
霞色,0xc8c2c6ff,"#C8C2C6",-3620154,200 194 198 100%,320 3% 78%,197 193 196,187 181 186,204 200 204,147 138 144,145 138 144,147 137 144,0 3 1 22,23 15 19 0,22 21 16 0,0.540402 0.549487 0.463735,79.01 2.71 -1.23,79.01 2.97 335.56,79.01 3.4 -2.04,79.01 3.96 328.97,-1
藤鼠,0xa6a5c4ff,"#A6A5C4",-5855804,166 165 196 100%,242 16% 77%,164 163 193,149 148 184,174 171 200,97 96 141,97 96 139,97 95 142,15 16 0 23,39 24 13 0,37 33 9 0,0.390154 0.388042 0.436081,68.61 5.12 -15.82,68.61 16.63 287.95,68.61 -1.43 -21.05,68.61 21.1 266.11,-1
半色,0xa69abdff,"#A69ABD",-5858627,166 154 189 100%,261 19% 74%,161 153 186,148 135 176,171 161 194,97 82 130,93 82 128,96 81 131,12 19 0 26,40 30 14 0,38 40 9 0,0.363529 0.347348 0.400121,65.54 9.74 -16.53,65.54 19.19 300.49,65.54 4.68 -22.66,65.54 23.14 281.68,-1
薄色,0xa89dacff,"#A89DAC",-5726804,168 157 172 100%,284 9% 67%,163 156 170,151 139 156,173 165 179,100 86 105,96 86 104,99 85 106,2 9 0 33,37 26 24 0,36 37 21 0,0.359611 0.353839 0.332822,66.05 6.26 -6.31,66.05 8.89 314.77,66.05 5.7 -8.86,66.05 10.54 302.76,-1
薄鼠,0x9790a4ff,"#9790A4",-6844252,151 144 164 100%,261 12% 64%,148 143 162,132 125 148,158 152 171,79 71 95,77 71 94,78 71 95,8 12 0 36,44 30 25 0,44 42 22 0,0.295461 0.291295 0.296521,60.9 5.64 -9.61,60.9 11.14 300.42,60.9 2.86 -12.73,60.9 13.05 282.67,-1
鳩羽鼠,0x9e8b8eff,"#9E8B8E",-6386802,158 139 142 100%,351 12% 62%,151 138 141,139 120 123,160 148 151,87 66 69,81 66 69,86 65 69,0 12 10 38,39 32 37 0,40 44 35 2,0.28722 0.27756 0.223017,59.67 7.77 1.15,59.67 7.86 8.45,59.67 11.83 -0.11,59.67 11.83 359.46,-1
鳩羽色,0x95859cff,"#95859C",-6978148,149 133 156 100%,282 15% 61%,143 132 154,129 113 139,153 141 163,77 60 85,72 60 84,75 59 86,4 15 0 39,45 36 27 0,45 49 24 1,0.268944 0.255169 0.264391,57.58 9.55 -10.0,57.58 13.83 313.69,57.58 8.12 -13.77,57.58 15.99 300.52,-1
