name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
lightpink,0xffb6c1ff,"#FFB6C1",-18751,255 182 193 100%,351 29% 100%,237 181 191,250 165 180,236 190 200,255 119 136,216 119 135,246 116 136,0 29 24 0,1 29 16 0,0 37 13 0,0.692503 0.590174 0.440208,81.3 28.37 5.56,81.3 28.9 11.08,81.3 48.38 0.81,81.3 48.38 0.95,-1
pink,0xffc0cbff,"#FFC0CB",-16181,255 192 203 100%,350 25% 100%,239 191 201,250 176 192,239 199 209,255 134 152,221 134 152,247 131 153,0 25 20 0,1 25 13 0,0 32 10 0,0.724496 0.636583 0.491623,83.79 24.44 3.76,83.79 24.73 8.75,83.79 40.86 -0.44,83.79 40.87 359.39,-1
crimson,0xdc143cff,"#DC143C",-2354116,220 20 60 100%,348 91% 86%,188 27 61,204 0 46,190 34 72,183 2 12,131 2 11,170 0 12,0 91 73 14,7 95 72 0,9 100 75 1,0.321255 0.166999 0.042921,47.88 71.28 35.48,47.88 79.62 26.46,47.88 140.49 12.79,47.88 141.07 5.2,-1
palevioletred,0xdb7093ff,"#DB7093",-2396013,219 112 147 100%,340 49% 86%,195 111 144,204 88 130,198 121 156,181 41 74,141 41 73,171 38 75,0 49 33 14,12 59 25 0,13 69 22 0,0.413043 0.291458 0.233978,60.91 45.41 1.21,60.91 45.42 1.53,60.91 72.81 -7.92,60.91 73.24 353.79,-1
lavenderblush,0xfff0f5ff,"#FFF0F5",-3851,255 240 245 100%,340 6% 100%,251 240 244,254 236 243,251 242 246,255 222 233,246 222 232,253 221 233,0 6 4 0,1 6 2 0,0 8 1 0,0.902254 0.902518 0.750656,96.1 5.86 -0.51,96.1 5.88 355.04,96.1 8.81 -1.82,96.1 9.0 348.36,-1
hotpink,0xff69b4ff,"#FF69B4",-38476,255 105 180 100%,330 59% 100%,224 105 176,246 77 167,224 113 187,255 36 116,193 36 113,240 30 119,0 59 29 0,0 65 6 0,3 72 0 0,0.555774 0.351439 0.353606,65.86 63.27 -9.64,65.86 64.0 351.33,65.86 97.25 -24.73,65.86 100.34 345.73,-1
deeppink,0xff1493ff,"#FF1493",-60269,255 20 147 100%,328 92% 100%,219 27 143,245 0 131,219 24 156,255 2 74,183 2 71,237 0 77,0 92 42 0,0 90 13 0,0 99 0 0,0.480515 0.245206 0.222986,56.61 83.46 -4.12,56.61 83.56 357.17,56.61 139.07 -22.77,56.61 140.92 350.7,-1
mediumvioletred,0xc71585ff,"#C71585",-3730043,199 21 133 100%,322 89% 78%,170 28 129,179 0 116,175 16 141,146 2 60,105 2 57,136 0 62,0 89 33 22,18 94 21 0,28 100 9 0,0.2855 0.146671 0.176195,45.17 69.57 -14.06,45.17 70.98 348.57,45.17 99.67 -29.44,45.17 103.93 343.55,-1
orchid,0xda70d6ff,"#DA70D6",-2461482,218 112 214 100%,302 49% 85%,194 111 210,202 86 207,199 116 216,179 41 171,140 41 166,168 36 176,0 49 2 15,20 60 0 0,33 65 0 0,0.464338 0.312915 0.505743,62.75 52.46 -34.1,62.75 62.57 326.97,62.75 56.36 -53.99,62.75 78.05 316.23,-1
fuchsia,0xff00ffff,"#FF00FF",-65281,255 0 255 100%,300 100% 100%,219 0 250,244 0 255,221 0 251,255 0 255,182 0 244,235 0 255,0 100 0 0,26 82 0 0,49 79 0 0,0.579155 0.283121 0.728105,60.17 93.55 -60.5,60.17 111.41 327.11,60.17 94.88 -97.46,60.17 136.02 314.23,-1
darkmagenta,0x8b008bff,"#8B008B",-7667573,139 0 139 100%,300 100% 55%,118 0 135,115 0 122,126 0 145,66 0 66,47 0 63,61 0 68,0 100 0 45,53 100 29 0,66 100 8 3,0.149528 0.073097 0.187984,32.5 59.57 -38.52,32.5 70.94 327.11,32.5 51.25 -52.64,32.5 73.47 314.23,-1
purple,0x800080ff,"#800080",-8388480,128 0 128 100%,300 100% 50%,109 0 125,104 0 111,116 0 134,55 0 55,39 0 53,51 0 57,0 100 0 50,58 100 36 0,71 100 15 6,0.125017 0.061115 0.157169,29.69 56.12 -36.29,29.69 66.83 327.11,29.69 46.82 -48.09,29.69 67.12 314.23,-1
violet,0xee82eeff,"#EE82EE",-1146130,238 130 238 100%,300 45% 93%,213 129 234,226 104 237,217 134 237,218 57 218,172 57 211,206 50 223,0 45 0 7,16 52 0 0,29 54 0 0,0.581131 0.402094 0.644201,69.62 53.3 -36.54,69.62 64.62 325.57,69.62 56.9 -58.44,69.62 81.57 314.23,-1
plum,0xdda0ddff,"#DDA0DD",-2252579,221 160 221 100%,300 28% 87%,205 159 218,208 139 215,210 166 223,184 90 184,157 90 180,177 86 187,0 28 0 13,19 37 3 0,20 43 0 0,0.554124 0.456719 0.560596,73.33 30.65 -21.8,73.33 37.61 324.58,73.33 33.14 -34.04,73.33 47.51 314.23,-1
thistle,0xd8bfd8ff,"#D8BFD8",-2572328,216 191 216 100%,300 12% 85%,208 190 214,205 176 208,214 197 219,175 133 175,163 133 173,172 131 176,0 12 0 15,17 20 8 0,16 27 4 0,0.598314 0.567906 0.55057,80.06 12.41 -9.14,80.06 15.41 323.63,80.06 13.62 -13.99,80.06 19.52 314.23,-1
mediumorchid,0xba55d3ff,"#BA55D3",-4565549,186 85 211 100%,288 60% 83%,164 86 206,165 59 204,172 84 213,125 23 166,96 23 160,117 18 171,12 60 0 17,39 71 0 0,56 76 0 0,0.342305 0.213863 0.480879,53.37 55.03 -47.45,53.37 72.66 319.23,53.37 45.15 -71.16,53.37 84.28 302.39,-1
darkviolet,0x9400d3ff,"#9400D3",-7077677,148 0 211 100%,282 100% 83%,126 0 206,123 0 205,137 0 212,76 0 166,54 0 159,69 0 172,30 100 0 17,70 93 0 0,76 90 0 0,0.222342 0.105378 0.469342,38.79 70.44 -71.24,38.79 100.18 314.68,38.79 34.2 -97.18,38.79 103.02 289.39,-1
darkorchid,0x9932ccff,"#9932CC",-6737204,153 50 204 100%,280 75% 80%,132 53 199,129 25 196,143 30 206,81 8 154,60 8 148,75 4 159,25 75 0 20,62 83 0 0,71 86 0 0,0.237588 0.130346 0.438773,42.82 59.95 -60.62,42.82 85.26 314.68,42.82 34.32 -85.59,42.82 92.21 291.85,-1
indigo,0x4b0082ff,"#4B0082",-11861886,75 0 130 100%,275 100% 51%,65 0 126,55 0 113,71 0 136,18 0 57,13 0 55,16 0 59,42 100 0 49,88 100 22 0,95 100 14 13,0.062622 0.029187 0.160404,19.72 47.04 -54.28,19.72 71.82 310.91,19.72 11.79 -56.51,19.72 57.73 281.79,-1
blueviolet,0x8a2be2ff,"#8A2BE2",-7722014,138 43 226 100%,271 81% 89%,119 47 221,113 15 223,132 0 225,65 6 194,48 6 186,59 2 200,39 81 0 11,85 84 0 0,80 84 0 0,0.228948 0.119969 0.549033,41.21 63.02 -75.96,41.21 98.7 309.68,41.21 21.43 -104.11,41.21 106.29 281.63,-1
mediumpurple,0x9370dbff,"#9370DB",-7114533,147 112 219 100%,260 49% 86%,137 111 215,125 89 214,149 114 219,74 41 181,65 41 175,71 38 185,33 49 0 14,62 54 0 0,62 64 0 0,0.29098 0.224015 0.525702,54.45 31.71 -50.62,54.45 59.74 302.06,54.45 9.53 -72.52,54.45 73.15 277.48,-1
mediumslateblue,0x7b68eeff,"#7B68EE",-8689426,123 104 238 100%,249 56% 93%,117 104 234,100 80 237,133 102 236,51 35 218,46 35 210,48 32 224,48 56 0 7,80 53 0 0,77 68 0 0,0.262011 0.195137 0.626815,51.28 33.84 -66.48,51.28 74.6 296.98,51.28 -1.62 -94.43,51.28 94.44 269.02,-1
darkslateblue,0x483d8bff,"#483D8B",-12042869,72 61 139 100%,248 56% 55%,71 63 136,54 44 122,79 59 145,17 12 66,15 12 64,16 11 68,48 56 0 45,87 74 11 0,90 100 6 1,0.083169 0.063522 0.189822,30.28 21.42 -42.74,30.28 47.81 296.61,30.28 -0.77 -51.96,30.28 51.96 269.16,-1
slateblue,0x6a5acdff,"#6A5ACD",-9807155,106 90 205 100%,248 56% 80%,102 90 201,84 68 197,115 88 206,37 26 156,34 26 150,35 24 160,48 56 0 20,82 62 0 0,79 74 0 0,0.18957 0.142371 0.447936,44.57 29.66 -58.71,44.57 65.78 296.8,44.57 -1.44 -80.44,44.57 80.46 268.98,-1
blue,0x0000ffff,"#0000FF",-16776961,0 0 255 100%,240 100% 100%,0 0 250,0 0 255,54 0 250,0 0 255,0 0 244,0 0 255,100 100 0 0,98 68 0 0,100 78 0 0,0.14308 0.060617 0.714173,29.57 68.3 -112.03,29.57 131.21 301.37,29.57 -11.54 -121.97,29.57 122.51 264.6,-1
mediumblue,0x0000cdff,"#0000CD",-16777011,0 0 205 100%,240 100% 80%,0 0 200,0 0 197,40 0 206,0 0 156,0 0 149,0 0 161,100 100 0 20,99 78 5 0,100 82 18 0,0.08735 0.037006 0.436,22.66 57.94 -95.04,22.66 111.31 301.37,22.66 -8.84 -93.46,22.66 93.88 264.6,-1
darkblue,0x00008bff,"#00008B",-16777077,0 0 139 100%,240 100% 55%,0 0 135,0 0 122,20 0 144,0 0 66,0 0 63,0 0 68,100 100 0 45,100 89 7 0,100 84 29 15,0.036941 0.01565 0.184387,13.02 43.49 -71.34,13.02 83.55 301.37,13.02 -5.08 -53.69,13.02 53.93 264.6,-1
navy,0x000080ff,"#000080",-16777088,0 0 128 100%,240 100% 50%,0 0 125,0 0 111,16 0 133,0 0 55,0 0 53,0 0 57,100 100 0 50,100 91 10 0,100 83 31 20,0.030885 0.013085 0.154162,11.33 40.97 -67.2,11.33 78.71 301.37,11.33 -4.42 -46.76,11.33 46.97 264.6,-1
midnightblue,0x191970ff,"#191970",-15132304,25 25 112 100%,240 78% 44%,31 31 109,18 16 94,32 9 118,2 2 41,2 2 40,2 2 43,78 78 0 56,100 96 18 0,100 86 32 21,0.031166 0.018954 0.116796,14.93 25.96 -50.9,14.93 57.14 297.02,14.93 -4.26 -45.0,14.93 45.2 264.6,-1
lavender,0xe6e6faff,"#E6E6FA",-1644806,230 230 250 100%,240 8% 98%,229 229 249,224 223 249,233 232 250,202 202 244,202 202 242,201 201 245,8 8 0 2,12 7 0 0,10 9 0 0,0.786547 0.80128 0.770594,91.74 2.78 -9.72,91.74 10.11 285.93,91.74 -1.25 -13.17,91.74 13.23 264.6,-1
ghostwhite,0xf8f8ffff,"#F8F8FF",-460545,248 248 255 100%,240 3% 100%,248 248 255,246 246 255,249 249 255,239 239 255,239 239 254,239 239 255,3 3 0 0,3 2 0 0,3 3 0 0,0.913872 0.942402 0.818402,97.73 0.93 -3.36,97.73 3.49 285.47,97.73 -0.43 -4.51,97.73 4.53 264.59,-1
royalblue,0x4169e1ff,"#4169E1",-12490271,65 105 225 100%,225 71% 88%,80 105 221,49 83 221,98 104 224,13 36 192,20 36 186,13 34 197,71 53 0 12,91 53 0 0,86 64 0 0,0.185178 0.158671 0.552185,46.8 17.79 -66.66,46.8 68.99 284.94,46.8 -20.51 -91.15,46.8 93.43 257.32,-1
cornflowerblue,0x6495edff,"#6495ED",-10185235,100 149 237 100%,219 58% 93%,116 148 234,83 130 235,133 152 235,32 77 216,45 77 210,34 75 221,58 37 0 7,71 31 0 0,64 40 0 0,0.292472 0.295144 0.635774,61.23 3.05 -50.19,61.23 50.28 273.48,61.23 -25.97 -69.45,61.23 74.14 249.5,-1
lightsteelblue,0xb0c4deff,"#B0C4DE",-5192482,176 196 222 100%,214 21% 87%,181 195 220,162 183 215,191 201 224,111 141 186,119 141 184,112 141 188,21 12 0 13,35 13 7 0,32 17 5 0,0.506398 0.536605 0.581327,78.26 -2.9 -15.43,78.26 15.7 259.35,78.26 -12.71 -19.5,78.26 23.28 236.91,-1
lightslategray,0x778899ff,"#778899",-8943463,119 136 153 100%,210 22% 60%,123 135 151,101 117 136,134 144 160,47 63 81,52 63 80,48 63 82,22 11 0 40,56 28 29 0,58 41 28 2,0.220826 0.236852 0.253975,55.77 -3.45 -11.29,55.77 11.8 253.02,55.77 -10.45 -13.11,55.77 16.76 231.45,-1
slategray,0x708090ff,"#708090",-9404272,112 128 144 100%,210 22% 56%,116 127 142,94 109 126,127 136 151,41 55 71,45 55 70,42 55 72,22 11 0 44,59 31 32 0,60 44 31 4,0.193682 0.207704 0.222397,52.7 -3.28 -10.74,52.7 11.23 253.0,52.7 -9.82 -12.31,52.7 15.75 231.43,-1
dodgerblue,0x1e90ffff,"#1E90FF",-14774017,30 144 255 100%,210 88% 100%,85 143 252,31 124 255,108 145 251,3 71 255,23 71 247,6 70 255,88 44 0 0,84 31 0 0,79 43 0 0,0.256134 0.263439 0.741436,58.36 0.89 -64.78,58.36 64.78 270.79,58.36 -37.84 -90.63,58.36 98.21 247.34,-1
aliceblue,0xf0f8ffff,"#F0F8FF",-984833,240 248 255 100%,208 6% 100%,242 248 255,237 246 255,244 248 255,222 239 255,227 239 254,223 240 255,6 3 0 0,7 1 0 0,6 2 0 0,0.884516 0.927424 0.817464,97.12 -1.77 -4.33,97.12 4.68 247.74,97.12 -5.09 -5.24,97.12 7.31 225.82,-1
steelblue,0x4682b4ff,"#4682B4",-12156236,70 130 180 100%,207 61% 71%,92 129 177,58 111 167,107 136 184,16 57 116,27 57 114,18 57 118,61 28 0 29,78 31 9 0,76 44 12 0,0.177969 0.201321 0.348486,51.99 -8.36 -32.83,51.99 33.88 255.71,51.99 -27.97 -41.27,51.99 49.86 235.87,-1
lightskyblue,0x87cefaff,"#87CEFA",-7876870,135 206 250 100%,203 46% 98%,158 205 248,122 196 250,173 208 248,62 157 244,89 157 240,67 158 247,46 18 0 2,49 7 0 0,45 7 0 0,0.480098 0.554319 0.74604,79.29 -14.43 -29.1,79.29 32.48 243.62,79.29 -36.18 -37.0,79.29 51.75 225.64,-1
