//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,67.71,33.94,"Country","Afghanistan",,,,,,1,0,0,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,1.66,28.03,"Country","Algeria",,,,,,1,0,0,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,133.78,-25.27,"Country","Australia",,,,,,23,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,14.55,47.52,"Country","Austria",,,,,,5,0,0,0,2,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,50.56,26.07,"Country","Bahrain",,,,,,36,0,0,0,3,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,4.47,50.5,"Country","Belgium",,,,,,1,0,1,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,-51.93,-14.24,"Country","Brazil",,,,,,1,0,0,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,-106.35,56.13,"Country","Canada",,,,,,14,0,6,0,2,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia","",126.549576,43.837883,"City","China","","","","","",91,0,41,1,0,0,0,0,"","2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,115.778676,33.844582,"City","China","Anhui Province","亳州",,,,108,0,99,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.521854,31.733699,"City","China","Anhui Province","六安",,,,69,0,53,0,0,0,5,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.227239,31.820586,"City","China","Anhui Province","合肥",,,,174,0,138,1,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.063754,30.543494,"City","China","Anhui Province","安庆",,,,83,0,80,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,118.758816,30.940718,"City","China","Anhui Province","宣城",,,,6,0,4,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.964356,33.646373,"City","China","Anhui Province","宿州",,,,41,0,33,0,0,0,3,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,117.491568,30.6648,"City","China","Anhui Province","池州",,,,17,0,13,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.798265,33.955844,"City","China","Anhui Province","淮北",,,,27,0,22,0,0,0,0,0,,"2020-02-28 18:38:00"
