//数据集,标签,经度,纬度,级别,国家,省,市,区县,乡镇,村庄,确认,疑似,治愈,死亡,新增确诊,新增疑似,新增治愈,新增死亡,说明,时间
"新型冠状病毒肺炎",,121.2653,31.375602,"市","中国","上海","嘉定",,,,9,0,7,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,-200.0,-200.0,"市","中国","上海","外地来沪人员",,,,111,0,91,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.474042,30.917795,"市","中国","上海","奉贤",,,,9,0,8,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.489612,31.405457,"市","中国","上海","宝山",,,,21,0,13,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.397514,31.626945,"市","中国","上海","崇明",,,,4,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.437866,31.19919,"市","中国","上海","徐汇",,,,18,0,15,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.395555,31.24984,"市","中国","上海","普陀",,,,11,0,9,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.526077,31.259541,"市","中国","上海","杨浦",,,,9,0,8,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.227747,31.032243,"市","中国","上海","松江",,,,14,0,11,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.544379,31.221517,"市","中国","上海","浦东",,,,60,0,52,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.505133,31.2646,"市","中国","上海","虹口",,,,7,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.34197,30.741991,"市","中国","上海","金山",,,,4,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.424624,31.220367,"市","中国","上海","长宁",,,,13,0,13,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.381709,31.112813,"市","中国","上海","闵行",,,,19,0,18,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.124178,31.150681,"市","中国","上海","青浦",,,,6,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.459384,31.247105,"市","中国","上海","静安",,,,16,0,13,0,0,0,0,0,,"2020-02-28 16:58:00"
