gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
1201,5,116.401284,39.902627,市辖区,,110000,010,500100000000,,,,,,,,,,1000,2,100,1000,1201,,,,,
1202,5,117.194685,39.083152,市辖区,,120000,022,120100000000,,,,,,,,,,1001,2,100,1001,1202,,,,,
1203,5,114.508885,38.041687,石家庄,,130100,0311,130100000000,,,石家庄市,,,,,,,1002,2,100,1002,1203,,,,,
1204,5,118.173915,39.629559,唐山,,130200,0315,130200000000,,,唐山市,,,,,,,1002,2,100,1002,1204,,,,,
1205,5,119.594721,39.934277,秦皇岛,,130300,0335,130300000000,,,秦皇岛市,,,,,,,1002,2,100,1002,1205,,,,,
1206,5,114.533233,36.625578,邯郸,,130400,0310,130400000000,,,邯郸市,,,,,,,1002,2,100,1002,1206,,,,,
1207,5,114.498939,37.070112,邢台,,130500,0319,130500000000,,,邢台市,,,,,,,1002,2,100,1002,1207,,,,,
1208,5,115.458488,38.872991,保定,,130600,0312,130600000000,,,保定市,,,,,,,1002,2,100,1002,1208,,,,,
1209,5,114.881427,40.823092,张家口,,130700,0313,130700000000,,,张家口市,,,,,,,1002,2,100,1002,1209,,,,,
1210,5,117.956084,40.95249,承德,,130800,0314,130800000000,,,承德市,,,,,,,1002,2,100,1002,1210,,,,,
1211,5,116.833044,38.303919,沧州,,130900,0317,130900000000,,,沧州市,,,,,,,1002,2,100,1002,1211,,,,,
1212,5,116.677836,39.536946,廊坊,,131000,0316,131000000000,,,廊坊市,,,,,,,1002,2,100,1002,1212,,,,,
1213,5,115.664288,37.738278,衡水,,131100,0318,131100000000,,,衡水市,,,,,,,1002,2,100,1002,1213,,,,,
1214,5,112.54258,37.870065,太原,,140100,0351,140100000000,,,太原市,,,,,,,1003,2,100,1003,1214,,,,,
1215,5,113.293112,40.075562,大同,,140200,0352,140200000000,,,大同市,,,,,,,1003,2,100,1003,1215,,,,,
1216,5,113.574117,37.856468,阳泉,,140300,0353,140300000000,,,阳泉市,,,,,,,1003,2,100,1003,1216,,,,,
1217,5,113.10959,36.195219,长治,,140400,0355,140400000000,,,长治市,,,,,,,1003,2,100,1003,1217,,,,,
1218,5,112.845722,35.491116,晋城,,140500,0356,140500000000,,,晋城市,,,,,,,1003,2,100,1003,1218,,,,,
1219,5,112.425978,39.330434,朔州,,140600,0349,140600000000,,,朔州市,,,,,,,1003,2,100,1003,1219,,,,,
1220,5,112.746202,37.686343,晋中,,140700,0354,140700000000,,,晋中市,,,,,,,1003,2,100,1003,1220,,,,,
1221,5,111.001713,35.027149,运城,,140800,0359,140800000000,,,运城市,,,,,,,1003,2,100,1003,1221,,,,,
1222,5,112.727606,38.416082,忻州,,140900,0350,140900000000,,,忻州市,,,,,,,1003,2,100,1003,1222,,,,,
1223,5,111.512758,36.088128,临汾,,141000,0357,141000000000,,,临汾市,,,,,,,1003,2,100,1003,1223,,,,,
1224,5,111.137957,37.517537,吕梁,,141100,0358,141100000000,,,吕梁市,,,,,,,1003,2,100,1003,1224,,,,,
1225,5,111.742262,40.841138,呼和浩特,,150100,0471,150100000000,,,呼和浩特市,,,,,,,1004,2,100,1004,1225,,,,,
1226,5,109.834643,40.656301,包头,,150200,0472,150200000000,,,包头市,,,,,,,1004,2,100,1004,1226,,,,,
1227,5,106.789489,39.654445,乌海,,150300,0473,150300000000,,,乌海市,,,,,,,1004,2,100,1004,1227,,,,,
1228,5,118.880685,42.255882,赤峰,,150400,0476,150400000000,,,赤峰市,,,,,,,1004,2,100,1004,1228,,,,,
1229,5,122.237891,43.650528,通辽,,150500,0475,150500000000,,,通辽市,,,,,,,1004,2,100,1004,1229,,,,,
1230,5,109.775614,39.607248,鄂尔多斯,,150600,0477,150600000000,,,鄂尔多斯市,,,,,,,1004,2,100,1004,1230,,,,,
1231,5,119.758402,49.209633,呼伦贝尔,,150700,0470,150700000000,,,呼伦贝尔市,,,,,,,1004,2,100,1004,1231,,,,,
1232,5,107.382063,40.741766,巴彦淖尔,,150800,0478,150800000000,,,巴彦淖尔市,,,,,,,1004,2,100,1004,1232,,,,,
1233,5,113.125318,40.993017,乌兰察布,,150900,0474,150900000000,,,乌兰察布市,,,,,,,1004,2,100,1004,1233,,,,,
1234,5,122.060847,46.07553,兴安,,152200,0482,152200000000,,,兴安盟,,,,,,,1004,2,100,1004,1234,,,,,
1235,5,116.041382,43.931267,锡林郭勒,,152500,0479,152500000000,,,锡林郭勒盟,,,,,,,1004,2,100,1004,1235,,,,,
1236,5,105.7247,38.851327,阿拉善,,152900,0483,152900000000,,,阿拉善盟,,,,,,,1004,2,100,1004,1236,,,,,
1237,5,123.425338,41.80327,沈阳,,210100,024,210100000000,,,沈阳市,,,,,,,1005,2,100,1005,1237,,,,,
1238,5,121.609739,38.913226,大连,,210200,0411,210200000000,,,大连市,,,,,,,1005,2,100,1005,1238,,,,,
1239,5,122.988829,41.106727,鞍山,,210300,0412,210300000000,,,鞍山市,,,,,,,1005,2,100,1005,1239,,,,,
1240,5,123.951432,41.878716,抚顺,,210400,0413,210400000000,,,抚顺市,,,,,,,1005,2,100,1005,1240,,,,,
1241,5,123.760599,41.292084,本溪,,210500,0414,210500000000,,,本溪市,,,,,,,1005,2,100,1005,1241,,,,,
1242,5,124.348934,39.998953,丹东,,210600,0415,210600000000,,,丹东市,,,,,,,1005,2,100,1005,1242,,,,,
1243,5,121.12136,41.09307,锦州,,210700,0416,210700000000,,,锦州市,,,,,,,1005,2,100,1005,1243,,,,,
1244,5,122.230245,40.665446,营口,,210800,0417,210800000000,,,营口市,,,,,,,1005,2,100,1005,1244,,,,,
1245,5,121.664914,42.019508,阜新,,210900,0418,210900000000,,,阜新市,,,,,,,1005,2,100,1005,1245,,,,,
1246,5,123.231208,41.265176,辽阳,,211000,0419,211000000000,,,辽阳市,,,,,,,1005,2,100,1005,1246,,,,,
1247,5,122.065222,41.117905,盘锦,,211100,0427,211100000000,,,盘锦市,,,,,,,1005,2,100,1005,1247,,,,,
1248,5,123.720155,42.221542,铁岭,,211200,0410,211200000000,,,铁岭市,,,,,,,1005,2,100,1005,1248,,,,,
1249,5,120.444691,41.571446,朝阳,,211300,0421,211300000000,,,朝阳市,,,,,,,1005,2,100,1005,1249,,,,,
1250,5,120.831757,40.709603,葫芦岛,,211400,0429,211400000000,,,葫芦岛市,,,,,,,1005,2,100,1005,1250,,,,,
1251,5,125.317038,43.81462,长春,,220100,0431,220100000000,,,长春市,,,,,,,1006,2,100,1006,1251,,,,,
1252,5,126.543886,43.835629,吉林,,220200,0432,220200000000,,,吉林市,,,,,,,1006,2,100,1006,1252,,,,,
1253,5,124.344193,43.163842,四平,,220300,0434,220300000000,,,四平市,,,,,,,1006,2,100,1006,1253,,,,,
1254,5,125.137135,42.885398,辽源,,220400,0437,220400000000,,,辽源市,,,,,,,1006,2,100,1006,1254,,,,,
1255,5,125.93404,41.726236,通化,,220500,0435,220500000000,,,通化市,,,,,,,1006,2,100,1006,1255,,,,,
1256,5,126.417733,41.937488,白山,,220600,0439,220600000000,,,白山市,,,,,,,1006,2,100,1006,1256,,,,,
1257,5,124.81883,45.139819,松原,,220700,0438,220700000000,,,松原市,,,,,,,1006,2,100,1006,1257,,,,,
1258,5,122.833153,45.617733,白城,,220800,0436,220800000000,,,白城市,,,,,,,1006,2,100,1006,1258,,,,,
1259,5,129.502015,42.888793,延边,,222400,1433,222400000000,,,延边朝鲜族自治州,,,,,,,1006,2,100,1006,1259,,,,,
1260,5,126.528927,45.801793,哈尔滨,,230100,0451,230100000000,,,哈尔滨市,,,,,,,1007,2,100,1007,1260,,,,,
1261,5,123.911636,47.352309,齐齐哈尔,,230200,0452,230200000000,,,齐齐哈尔市,,,,,,,1007,2,100,1007,1261,,,,,
1262,5,130.961877,45.292911,鸡西,,230300,0467,230300000000,,,鸡西市,,,,,,,1007,2,100,1007,1262,,,,,
1263,5,130.29011,47.347472,鹤岗,,230400,0468,230400000000,,,鹤岗市,,,,,,,1007,2,100,1007,1263,,,,,
1264,5,131.151024,46.644281,双鸭山,,230500,0469,230500000000,,,双鸭山市,,,,,,,1007,2,100,1007,1264,,,,,
1265,5,125.09673,46.587205,大庆,,230600,0459,230600000000,,,大庆市,,,,,,,1007,2,100,1007,1265,,,,,
1266,5,128.834094,47.725269,伊春,,230700,0458,230700000000,,,伊春市,,,,,,,1007,2,100,1007,1266,,,,,
1267,5,130.311124,46.797701,佳木斯,,230800,0454,230800000000,,,佳木斯市,,,,,,,1007,2,100,1007,1267,,,,,
1268,5,130.995434,45.769502,七台河,,230900,0464,230900000000,,,七台河市,,,,,,,1007,2,100,1007,1268,,,,,
1269,5,129.626091,44.549687,牡丹江,,231000,0453,231000000000,,,牡丹江市,,,,,,,1007,2,100,1007,1269,,,,,
1270,5,127.521278,50.243707,黑河,,231100,0456,231100000000,,,黑河市,,,,,,,1007,2,100,1007,1270,,,,,
1271,5,126.962563,46.651943,绥化,,231200,0455,231200000000,,,绥化市,,,,,,,1007,2,100,1007,1271,,,,,
1272,5,124.703358,52.333797,大兴安岭,,232700,0457,232700000000,,,大兴安岭地区,,,,,,,1007,2,100,1007,1272,,,,,
1273,5,121.469178,31.232358,市辖区,,310000,021,310100000000,,,,,,,,,,1008,2,100,1008,1273,,,,,
1274,5,118.791693,32.062331,南京,,320100,025,320100000000,,,南京市,,,,,,,1009,2,100,1009,1274,,,,,
1275,5,120.307301,31.493058,无锡,,320200,0510,320200000000,,,无锡市,,,,,,,1009,2,100,1009,1275,,,,,
1276,5,117.278371,34.207058,徐州,,320300,0516,320300000000,,,徐州市,,,,,,,1009,2,100,1009,1276,,,,,
1277,5,119.969237,31.81273,常州,,320400,0519,320400000000,,,常州市,,,,,,,1009,2,100,1009,1277,,,,,
1278,5,120.581138,31.301071,苏州,,320500,0512,320500000000,,,苏州市,,,,,,,1009,2,100,1009,1278,,,,,
