gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
2001,6,116.410117,39.926952,东城区,,110101,010,110101000000,,,东城,,,,,,,1201,2,100,1000,1201,2001,,,,
2002,6,116.359655,39.910912,西城区,,110102,010,110102000000,,,西城,,,,,,,1201,2,100,1000,1201,2002,,,,
2003,6,116.595352,39.947533,朝阳区,,110105,010,110105000000,,,朝阳,,,,,,,1201,2,100,1000,1201,2003,,,,
2004,6,116.281103,39.857188,丰台区,,110106,010,110106000000,,,丰台,,,,,,,1201,2,100,1000,1201,2004,,,,
2005,6,116.216927,39.905382,石景山区,,110107,010,110107000000,,,石景山,,,,,,,1201,2,100,1000,1201,2005,,,,
2006,6,116.323374,39.970817,海淀区,,110108,010,110108000000,,,海淀,,,,,,,1201,2,100,1000,1201,2006,,,,
2007,6,116.095682,39.939248,门头沟区,,110109,010,110109000000,,,门头沟,,,,,,,1201,2,100,1000,1201,2007,,,,
2008,6,116.137033,39.747797,房山区,,110111,010,110111000000,,,房山,,,,,,,1201,2,100,1000,1201,2008,,,,
2009,6,116.65055,39.908844,通州区,,110112,010,110112000000,,,通州,,,,,,,1201,2,100,1000,1201,2009,,,,
2010,6,116.648654,40.129236,顺义区,,110113,010,110113000000,,,顺义,,,,,,,1201,2,100,1000,1201,2010,,,,
2011,6,116.225121,40.219415,昌平区,,110114,010,110114000000,,,昌平,,,,,,,1201,2,100,1000,1201,2011,,,,
2012,6,116.334866,39.783419,大兴区,,110115,010,110115000000,,,大兴,,,,,,,1201,2,100,1000,1201,2012,,,,
2013,6,116.63645,40.314583,怀柔区,,110116,010,110116000000,,,怀柔,,,,,,,1201,2,100,1000,1201,2013,,,,
2014,6,117.114823,40.139279,平谷区,,110117,010,110117000000,,,平谷,,,,,,,1201,2,100,1000,1201,2014,,,,
2015,6,116.837144,40.375666,密云区,,110118,010,110118000000,,,密云,,,,,,,1201,2,100,1000,1201,2015,,,,
2016,6,115.968733,40.455725,延庆区,,110119,010,110119000000,,,延庆,,,,,,,1201,2,100,1000,1201,2016,,,,
2017,6,117.201833,39.11788,和平区,,120101,022,120101000000,,,和平,,,,,,,1202,2,100,1001,1202,2017,,,,
