Dataset,Label,Address,Longitude,Latitude,StartTime,EndTime,Comments
Ancient Egypt Chronology,Predynastic Period - King Scorpion,Abydos,,,3500 BC,3050 BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,
Ancient Egypt Chronology,Predynastic Period - ,,,, BC, BC,





