Dataset,Label,Address,Longitude,Latitude,StartTime,EndTime,Comments
古埃及年表,前王朝,孟菲斯（Menphis）,,,公元前3500,公元前3050,
古埃及年表,前王朝-蝎子王(King Scorpion),孟菲斯（Menphis）,,,,,
古埃及年表,前王朝-偌,孟菲斯（Menphis）,,,,,
古埃及年表,前王朝-卡,孟菲斯（Menphis）,,,,,
古埃及年表,前王朝-纳尔迈（King Narmer）,孟菲斯（Menphis）,,,,,
古埃及年表,早王朝-第1王朝-阿哈.美尼斯(Menes/Aha),孟菲斯（Menphis）,,,公元前,公元前,孟菲斯:普塔神
古埃及年表,早王朝-第1王朝-迪尔(Djer (Itit)),孟菲斯（Menphis）,,,公元前,公元前,
古埃及年表,早王朝-第1王朝-瑞内博(Wadj),孟菲斯（Menphis）,,,公元前,公元前,
古埃及年表,早王朝-第1王朝-德闻(Den (Udimu)),孟菲斯（Menphis）,,,公元前,公元前,
古埃及年表,早王朝-第1王朝-安迪耶布(Anendjib),孟菲斯（Menphis）,,,公元前,公元前,
古埃及年表,早王朝-第1王朝-瑟么凯特(Semerkhet),孟菲斯（Menphis）,,,公元前,公元前,
古埃及年表,早王朝-第1王朝-伽阿(Qa'a),,,,公元前,公元前,
古埃及年表,早王朝-第2王朝-赫特普塞凯姆威(Hetepsekhemwy (Hotepsekhemwy)),,,,公元前,公元前,
古埃及年表,早王朝-第2王朝-瓦迪耶；尼涅提耶尔(Ninetjer (Nynetjer)),,,,公元前,公元前,
古埃及年表,早王朝-第2王朝-塞尼德；泊西布森(Peribsen (Seth-Peribsen)),,,,公元前,公元前,
古埃及年表,早王朝-第2王朝-塞凯密布；卡塞凯姆威(Khasekhemwy),,,,公元前,公元前,
古埃及年表,古王国-第3王朝-尼布卡一世(Sanakhte (Nebka)),,,,公元前2650,公元前2630,
古埃及年表,古王国-第3王朝-左塞(Netjerykhet (Djoser)),,,,公元前2630,公元前2611,
古埃及年表,古王国-第3王朝-斯奈夫鲁(Sekhemkhet (Djoser Teti)),,,,公元前2611,公元前2603,
古埃及年表,古王国-第3王朝-卡巴(Khaba),,,,公元前2603,公元前2599,
古埃及年表,古王国-第3王朝-胡尼(Huni),,,,公元前2599,公元前2575,
古埃及年表,古王国-第4王朝-斯奈夫鲁(Snofru),,,,公元前2575,公元前2551,
古埃及年表,古王国-第4王朝-胡夫(Khufu (Cheops)),,,,公元前2551,公元前2528,
古埃及年表,古王国-第4王朝-拉迪耶迪夫(Radjedef),,,,公元前2528,公元前2520,
古埃及年表,古王国-第4王朝-哈夫拉(Khafre (Chephren)),,,,公元前2520,公元前2494,狮身人面像的拥有者
古埃及年表,古王国-第4王朝-尼布卡二世,,,,公元前,公元前,
古埃及年表,古王国-第4王朝-门卡乌拉(Menkaure (Mycerinus)),,,,公元前2490,公元前2472,
古埃及年表,古王国-第4王朝-赦普塞卡夫斯奈夫鲁(Shepseskaf),,,,公元前2472,公元前2467,
古埃及年表,古王国-第5王朝-乌塞尔卡夫(Userkaf),,,,公元前2465,公元前2458,
古埃及年表,古王国-第5王朝-萨胡尔(Sahure),,,,公元前2458,公元前2446,
古埃及年表,古王国-第5王朝-尼夫里尔卡尔(Neferirkare Kakai),,,,公元前2477,公元前2467,
古埃及年表,古王国-第5王朝-赦普塞斯卡尔(Shepseskare Ini),,,,公元前2426,公元前2419,
古埃及年表,古王国-第5王朝-尼夫日夫尔(Raneferef),,,,公元前2419,公元前2416,
古埃及年表,古王国-第5王朝-尼乌塞尔(Niuserre Izi),,,,公元前2416,公元前2392,
古埃及年表,古王国-第5王朝-门考胡尔(Menkauhor),,,,公元前2396,公元前2388,
古埃及年表,古王国-第5王朝-杰的卡尔(Djedkare Izezi),,,,公元前2388,公元前2356,
古埃及年表,古王国-第5王朝-乌纳斯(Wenis),,,,公元前2356,公元前2323,
古埃及年表,古王国-第6王朝-特提(Teti),,,,公元前2323,公元前2291,
古埃及年表,古王国-第6王朝-佩皮珀辟一世(Pepy I (Meryre)),,,,公元前2289,公元前2255,
古埃及年表,古王国-第6王朝-莫润尔一世(Merenre Nemtyemzaf),,,,公元前2255,公元前2246,
古埃及年表,古王国-第6王朝-佩皮二世(Pepy II (Neferkare)),,,,公元前2246,公元前2152,
古埃及年表,古王国-第6王朝-莫润尔二世,,,,公元前,公元前,
古埃及年表,古王国-第6王朝-尼托克丽丝王后,,,,公元前,公元前,
古埃及年表,古王国-第7王朝-伽卡尔(Djedkare),,,,公元前,公元前,
古埃及年表,古王国-第7王朝-尼夫考尔(Netrikare),,,,公元前,公元前,
