年,"居民消费价格指数(CPI,上年=100)",城市居民消费价格指数(上年=100),农村居民消费价格指数(上年=100),"商品零售价格指数(RPI,上年=100)","工业生产者出厂价格指数(PPI,上年=100)","工业生产者购进价格指数(PPIRM,上年=100)",固定资产投资价格指数(上年=100)
1951,112.5,,,112.2,,,
1952,102.7,,,99.6,,,
1953,105.1,,,103.4,,,
1954,101.4,,,102.3,,,
1955,100.3,,,101.0,,,
1956,99.9,,,100.0,,,
1957,102.6,,,101.5,,,
1958,98.9,,,100.2,,,
1959,100.3,,,100.9,,,
1960,102.5,,,103.1,,,
1961,116.1,,,116.2,,,
1962,103.8,,,103.8,,,
1963,94.1,,,94.1,,,
1964,96.3,,,96.3,,,
1965,98.8,,,97.3,,,
1966,98.8,,,99.7,,,
1967,99.4,,,99.3,,,
1968,100.1,,,100.1,,,
1969,101.0,,,98.9,,,
1970,100.0,,,99.8,,,
1971,99.9,,,99.3,,,
1972,100.2,,,99.8,,,
1973,100.1,,,100.6,,,
1974,100.7,,,100.5,,,
1975,100.4,,,100.2,,,
1976,100.3,,,100.3,,,
1977,102.7,,,102.0,,,
1978,100.7,100.7,,100.7,100.1,,
1979,101.9,101.9,,102.0,101.5,,
1980,107.5,107.5,,106.0,100.5,,
1981,102.5,102.5,,102.4,100.2,,
1982,102.0,102.0,,101.9,99.8,,
1983,102.0,102.0,,101.5,99.9,,
1984,102.7,102.7,,102.8,101.4,,
1985,109.3,111.9,107.6,108.8,108.7,,
1986,106.5,107.0,106.1,106.0,103.8,,
1987,107.3,108.8,106.2,107.3,107.9,,
1988,118.8,120.7,117.5,118.5,115.0,,
1989,118.0,116.3,119.3,117.8,118.6,126.4,
1990,103.1,101.3,104.5,102.1,104.1,105.6,108.0
1991,103.4,105.1,102.3,102.9,106.2,109.1,109.5
1992,106.4,108.6,104.7,105.4,106.8,111.0,115.3
1993,114.7,116.1,113.7,113.2,124.0,135.1,126.6
1994,124.1,125.0,123.4,121.7,119.5,118.2,110.4
1995,117.1,116.8,117.5,114.8,114.9,115.3,105.9
1996,108.3,108.8,107.9,106.1,102.9,103.9,104.0
1997,102.8,103.1,102.5,100.8,99.7,101.3,101.7
1998,99.2,99.4,99.0,97.4,95.9,95.8,99.8
1999,98.6,98.7,98.5,97.0,97.6,96.7,99.6
2000,100.4,100.8,99.9,98.5,102.8,105.1,101.1
2001,100.7,100.7,100.8,99.2,98.7,99.8,100.4
2002,99.2,99.0,99.6,98.7,97.8,97.7,100.2
2003,101.2,100.9,101.6,99.9,102.3,104.8,102.2
2004,103.9,103.3,104.8,102.8,106.1,111.4,105.6
2005,101.8,101.6,102.2,100.8,104.9,108.3,101.6
2006,101.5,101.5,101.5,101.0,103.0,106.0,101.5
2007,104.8,104.5,105.4,103.8,103.1,104.4,103.9
2008,105.9,105.6,106.5,105.9,106.9,110.5,108.9
2009,99.3,99.1,99.7,98.8,94.6,92.1,97.6
2010,103.3,103.2,103.6,103.1,105.5,109.6,103.6
2011,105.4,105.3,105.8,104.9,106.0,109.1,106.6
2012,102.6,102.7,102.5,102.0,98.3,98.2,101.1
2013,102.6,102.6,102.8,101.4,98.1,98.0,100.3
2014,102.0,102.1,101.8,101.0,98.1,97.8,100.5
2015,101.4,101.5,101.3,100.1,94.8,93.9,98.2
2016,102.0,102.1,101.9,100.7,98.6,98.0,99.4
2017,101.6,101.7,101.3,101.1,106.3,108.1,105.8
2018,102.1,102.1,102.1,101.9,103.5,104.1,105.4
2019,102.9,102.8,103.2,102.0,99.7,99.3,102.6
2020,102.5,102.3,103.0,101.4,98.2,97.7,
2021,100.9,101.0,100.7,,108.1,111.0,
