year,college graduates(ten thousand),middle school graduates(ten thousand),high school graduates(ten thousand),junior high school graduates(ten thousand),vocational high school graduates(ten thousand),primary school graduates(ten thousand),special education school graduates(ten thousand)
1949,2.1000,28.0000,6.1000,,,64.6000,
1950,1.8000,29.6000,6.2000,,,78.3000,
1951,1.9000,28.4000,5.9000,,,116.6000,
1952,3.2000,22.1000,3.6000,,,149.0000,
1953,4.8000,45.4000,5.6000,,,293.5000,
1954,4.7000,64.4000,6.8000,,,332.5000,0.0100
1955,5.5000,96.9000,9.9000,,,322.9000,0.0500
1956,6.3000,93.9000,15.4000,,,405.1000,0.0500
1957,5.6000,129.9000,18.7000,,,498.0000,0.0200
1958,7.2000,131.3000,19.7000,,,606.3000,0.0400
1959,7.0000,179.0000,29.9000,,2.0700,547.3000,
1960,13.6000,171.0000,28.8000,,14.8900,734.0000,
1961,15.1000,227.1000,37.9000,,16.1200,580.8000,
1962,17.7000,202.5000,44.1000,,4.5000,559.0000,
1963,19.9000,195.6000,43.3000,,2.4200,476.8000,0.1200
1964,20.4000,175.3000,36.7000,,4.9400,567.4000,0.1400
1965,18.6000,209.8000,36.0000,,13.6000,667.6000,0.1500
1966,14.1000,190.0000,28.0000,,,900.5000,
1967,12.5000,213.2000,26.8000,,,899.5000,
1968,15.0000,598.4000,79.4000,,,1428.2000,
1969,15.0000,399.4000,38.0000,,,1489.5000,
1970,10.3000,686.5000,67.6000,,,1652.5000,
1971,0.6000,935.4000,100.4000,,,1376.0000,
1972,1.7000,1251.4000,215.9000,,,1414.9000,
1973,3.0000,1478.8000,349.4000,,,1349.0000,0.2900
1974,4.3000,1478.5000,417.9000,,,1521.0000,0.3400
1975,11.9000,1494.7000,447.0000,,,1999.4000,0.2700
1976,14.9000,1723.2000,517.2000,,,2489.5000,0.2700
1977,19.4000,2144.4000,585.8000,,,2573.9000,0.3300
1978,16.5000,2375.3000,682.7000,1692.6000,,2287.9000,0.3000
1979,8.5000,2384.4000,726.5000,1657.9000,,2087.9000,0.3000
1980,14.7000,1581.0000,616.2000,964.8000,7.9000,2053.3000,0.4000
1981,14.0000,1640.3000,486.1000,1154.2000,9.4000,2075.7000,0.4000
1982,45.7000,1342.7000,310.6000,1032.4000,13.1000,2068.9000,0.4000
1983,33.5000,1195.4000,235.1000,960.3000,21.6000,1980.7000,0.3000
1984,28.7000,1140.2000,189.8000,950.4000,27.8000,1995.0000,0.4000
1985,31.6000,1194.9000,196.6000,1007.2000,41.3000,1999.9000,0.4000
1986,39.3000,1281.0000,224.0000,1066.7000,57.9000,2016.1000,0.5000
1987,53.2000,1364.0500,246.8000,1128.4000,75.0000,2043.0000,0.4000
1988,55.3000,1407.7900,250.6000,1169.1000,81.0000,1930.3000,0.5000
1989,57.6000,1377.5000,243.2000,1147.7000,86.3000,1857.1000,0.5000
1990,61.4000,1342.1000,233.0000,1123.0000,89.3000,1863.1000,0.5000
1991,61.4000,1308.5000,222.9000,1099.2000,94.5000,1846.7000,0.6000
1992,60.4000,1328.4000,226.1000,1116.3000,96.7000,1872.4000,0.9000
1993,57.1000,1365.9000,231.7000,1148.7000,102.5000,1841.5000,1.2000
1994,63.7000,1361.9052,209.3000,1166.4000,107.6000,1899.6000,1.4000
1995,80.5000,1429.0254,201.6000,1244.4000,124.0000,1961.5000,1.9000
1996,83.9000,1483.9660,204.9000,1297.8000,139.6000,1934.1000,2.4000
1997,82.9000,1664.0386,221.7000,1463.3000,150.1000,1960.1000,2.8000
1998,83.0000,1832.0000,251.8000,1603.1000,162.8000,2117.4000,3.5000
1999,84.8000,1852.7100,262.9000,1613.9000,167.8300,2313.7000,3.8000
2000,95.0000,1908.6000,301.5000,1633.5000,176.2800,2419.2000,4.3000
2001,103.6000,2047.4400,340.5000,1731.5000,166.5000,2396.9000,4.6000
2002,133.7000,2263.6300,383.8000,1903.7000,145.4300,2351.9000,4.4000
2003,187.7000,2453.7000,458.1000,2018.5000,135.5000,2267.9000,4.5000
2004,239.1000,2617.4000,546.9000,2087.3000,142.5000,2135.2000,4.7000
2005,306.8000,2768.0863,661.6000,2123.4000,169.9992,2019.5000,4.3000
2006,377.5000,2789.5000,727.1000,2071.6000,179.5000,1928.5000,4.5000
2007,447.8000,2745.1571,788.3000,1963.7000,197.7467,1870.2000,5.0000
2008,511.9498,2698.9536,836.1000,1868.0000,216.6924,1865.0000,5.2000
2009,531.1000,2618.4474,823.7000,1797.7000,232.1280,1805.2000,5.7000
2010,575.4000,2543.0049,794.4000,1750.4000,231.9823,1739.6000,5.9000
2011,608.2000,2523.2000,787.7000,1736.7000,218.9831,1662.8000,4.4000
2012,624.7000,2452.3000,791.5000,1660.8000,,1641.6000,4.9000
2013,638.7000,,799.0000,1561.5000,,1581.1000,5.1000
2014,659.4000,,799.6000,1413.5000,,1476.6000,4.9000
2015,680.9000,,797.7000,1417.6000,,1437.3000,5.3000
2016,704.2000,,792.4000,1423.9000,,1507.4000,5.9000
2017,735.8000,,775.7000,1397.5000,,1565.9000,6.9000
2018,753.3000,,779.2000,1367.8000,,1616.5000,8.1000
2019,758.5298,,789.2494,1454.0936,,1647.9006,9.7587
2020,797.1991,,786.5315,1535.2918,,1640.3201,12.1411
2021,826.5000,,780.2000,1587.1000,,1718.0000,14.6000
