# 现代汉语语料库词语频率表
# 语料规模：2000万字 ，只列入出现次数大于50次的词
# 制作：www.cncorpus.org 语料库在线网站
词语,排名,出现次数,频率（%）,累积频率（%）
的,1,744863.0,7.7946,7.7946
了,2,130191.0,1.3624,9.157
在,3,118823.0,1.2434,10.4004
是,4,118527.0,1.2403,11.6407
和,5,83958.0,0.8786,12.5193
一,6,81119.0,0.8489,13.3682
这,7,65146.0,0.6817,14.0499
有,8,53556.0,0.5604,14.6103
他,9,52912.0,0.5537,15.164
我,10,52728.0,0.5518,15.7158
也,11,47908.0,0.5013,16.2171
不,12,46965.0,0.4915,16.7086
就,13,44947.0,0.4703,17.1789
地,14,42332.0,0.443,17.6219
着,15,41116.0,0.4303,18.0522
中,16,40849.0,0.4275,18.4797
上,17,38084.0,0.3985,18.8782
说,18,35429.0,0.3707,19.2489
都,19,34323.0,0.3592,19.6081
人,20,33991.0,0.3557,19.9638
个,21,31512.0,0.3298,20.2936
对,22,30936.0,0.3237,20.6173
种,23,30123.0,0.3152,20.9325
把,24,29749.0,0.3113,21.2438
为,25,29265.0,0.3062,21.55
要,26,29039.0,0.3039,21.8539
你,27,28769.0,0.3011,22.155
而,28,28404.0,0.2972,22.4522
来,29,28038.0,0.2934,22.7456
我们,30,26823.0,0.2807,23.0263
又,31,25715.0,0.2691,23.2954
一个,32,24807.0,0.2596,23.555
与,33,23823.0,0.2493,23.8043
从,34,23749.0,0.2485,24.0528
年,35,22029.0,0.2305,24.2833
到,36,21744.0,0.2275,24.5108
还,37,21148.0,0.2213,24.7321
它,38,21041.0,0.2202,24.9523
大,39,20907.0,0.2188,25.1711
等,40,20210.0,0.2115,25.3826
她,41,19915.0,0.2084,25.591
两,42,19539.0,0.2045,25.7955
去,43,18963.0,0.1984,25.9939
没有,44,18950.0,0.1983,26.1922
里,45,18805.0,0.1968,26.389
得,46,18698.0,0.1957,26.5847
时,47,18257.0,0.191,26.7757
多,48,18064.0,0.189,26.9647
他们,49,17787.0,0.1861,27.1508
发展,50,17331.0,0.1814,27.3322
用,51,17259.0,0.1806,27.5128
那,52,17198.0,0.18,27.6928
以,53,17181.0,0.1798,27.8726
所,54,17101.0,0.179,28.0516
很,55,16774.0,0.1755,28.2271
可以,56,16734.0,0.1751,28.4022
使,57,16571.0,0.1734,28.5756
但,58,15963.0,0.167,28.7426
自己,59,14793.0,0.1548,28.8974
小,60,14509.0,0.1518,29.0492
之,61,14428.0,0.151,29.2002
能,62,14413.0,0.1508,29.351
下,63,14051.0,0.147,29.498
或,64,13918.0,0.1456,29.6436
看,65,13758.0,0.144,29.7876
就是,66,13715.0,0.1435,29.9311
被,67,13624.0,0.1426,30.0737
什么,68,13589.0,0.1422,30.2159
三,69,13220.0,0.1383,30.3542
这个,70,13202.0,0.1382,30.4924
会,71,12996.0,0.136,30.6284
好,72,12660.0,0.1325,30.7609
可,73,12457.0,0.1304,30.8913
后,74,12144.0,0.1271,31.0184
这样,75,11980.0,0.1254,31.1438
给,76,11678.0,0.1222,31.266
向,77,11609.0,0.1215,31.3875
社会,78,11461.0,0.1199,31.5074
由,79,11413.0,0.1194,31.6268
进行,80,11087.0,0.116,31.7428
问题,81,10899.0,0.1141,31.8569
工作,82,10531.0,0.1102,31.9671
如,83,10502.0,0.1099,32.077
呢,84,10425.0,0.1091,32.1861
于,85,10296.0,0.1077,32.2938
其,86,10206.0,0.1068,32.4006
起来,87,10196.0,0.1067,32.5073
国家,88,10139.0,0.1061,32.6134
过,89,10047.0,0.1051,32.7185
不能,90,10033.0,0.105,32.8235
并,91,9990.0,0.1045,32.928
这些,92,9975.0,0.1044,33.0324
生产,93,9556.0,0.1,33.1324
生活,94,9525.0,0.0997,33.2321
只,95,9417.0,0.0985,33.3306
将,96,9315.0,0.0975,33.4281
