# https://forum.freemdict.com/t/topic/3748/
# 文淵閣四庫全書(正體無標點版)
字,排名,计数
之,1,17579806
不,2,8550235
以,3,8405344
也,4,6851277
而,5,6817082
為,6,6281125
其,7,6051172
人,8,5962738
有,9,5462769
者,10,4938196
一,11,4699599
曰,12,4541008
子,13,4061358
於,14,3815452
十,15,3681729
大,16,3188079
丨,17,3140195
所,18,3125532
二,19,3057818
三,20,2970574
年,21,2808987
中,22,2805943
無,23,2770324
則,24,2743235
下,25,2618412
天,26,2593151
上,27,2560917
此,28,2500075
王,29,2431824
書,30,2321986
是,31,2302034
事,32,2233850
公,33,2230860
自,34,2177193
可,35,2134195
在,36,2107802
五,37,2084800
言,38,2079742
至,39,2064946
如,40,2060754
四,41,2059415
日,42,2056871
故,43,1998099
山,44,1971491
與,45,1939688
文,46,1937052
得,47,1931606
時,48,1916560
又,49,1904653
行,50,1850006
月,51,1787502
州,52,1770394
知,53,1766949
後,54,1735727
南,55,1676553
生,56,1633906
見,57,1616461
道,58,1570042
謂,59,1544397
亦,60,1526822
明,61,1484533
相,62,1467340
然,63,1464938
君,64,1459716
水,65,1456385
東,66,1454261
皆,67,1451917
國,68,1447332
今,69,1441516
臣,70,1420507
出,71,1420323
使,72,1415844
名,73,1412465
于,74,1410846
百,75,1409798
詩,76,1409470
未,77,1396149
作,78,1392128
官,79,1380455
太,80,1376884
用,81,1373709
六,82,1370953
何,83,1368283
矣,84,1365100
正,85,1343923
西,86,1336800
能,87,1319611
夫,88,1265893
地,89,1234390
縣,90,1223445
元,91,1210832
云,92,1204114
同,93,1193763
成,94,1193286
士,95,1190282
陽,96,1185962
方,97,1180719
氏,98,1169226
非,99,1165773
心,100,1165226
入,101,1142072
及,102,1137799
長,103,1132485
安,104,1121844
已,105,1121712
禮,106,1111794
當,107,1106366
諸,108,1093946
帝,109,1085532
九,110,1076636
先,111,1075724
風,112,1064868
若,113,1059861
軍,114,1054569
乃,115,1052325
將,116,1048585
傳,117,1045225
平,118,1016536
世,119,1011907
北,120,1009755
民,121,1005831
城,122,1001312
分,123,1000794
史,124,1000612
從,125,995150
萬,126,995042
復,127,988255
八,128,984345
前,129,977918
家,130,977285
七,131,974922
來,132,974452
本,133,951632
里,134,938448
兵,135,932659
學,136,932636
字,137,928763
朝,138,926782
門,139,921793
古,140,920905
去,141,915498
必,142,909963
乎,143,907953
多,144,905861
小,145,905488
令,146,904387
江,147,898721
經,148,876475
義,149,873150
數,150,864350
武,151,861751
即,152,860399
外,153,860383
春,154,857006
石,155,855979
千,156,854949
等,157,854044
宗,158,853580
白,159,853570
馬,160,848137
欲,161,844410
司,162,841134
歸,163,839832
師,164,831005
周,165,828708
漢,166,826411
主,167,825403
命,168,814844
金,169,812373
内,170,808603
居,171,798960
河,172,792409
志,173,791807
或,174,788557
兩,175,780592
治,176,770502
我,177,764724
初,178,763667
法,179,759659
通,180,755057
黄,181,752989
重,182,748182
立,183,745416
聞,184,743732
氣,185,737348
物,186,735634
徳,187,732880
樂,188,728674
餘,189,723137
定,190,722663
意,191,722473
進,192,719490
侯,193,714870
處,194,707738
服,195,701049
神,196,700215
雲,197,698717
秋,198,694252
府,199,690354
間,200,687532
髙,201,685657
清,202,683250
常,203,671749
因,204,670329
守,205,670126
雖,206,661422
聖,207,659128
李,208,655504
都,209,651695
實,210,650374
和,211,649666
張,212,644657
取,213,644024
過,214,639205
焉,215,638136
食,216,638026
皇,217,635575
尚,218,635048
應,219,630116
陳,220,628979
各,221,628384
部,222,626116
既,223,625343
易,224,623448
始,225,621681
理,226,619531
死,227,619258
齊,228,618005
流,229,610357
少,230,604763
左,231,603668
惟,232,602928
海,233,600471
右,234,595745
遂,235,589885
合,236,589535
足,237,582916
善,238,582701
吾,239,579282
節,240,577520
宋,241,577136
興,242,572046
唐,243,570448
聲,244,568640
記,245,568251
功,246,563224
音,247,560615
父,248,557838
祖,249,555737
問,250,552949
盡,251,552279
光,252,550947
觀,253,549845
集,254,548139
舉,255,547722
章,256,541385
政,257,535943
論,258,534781
身,259,530540
林,260,529928
開,261,528765
思,262,527914
度,263,526910
稱,264,526684
宜,265,525560
位,266,524858
龍,267,521355
玉,268,520874
新,269,520175
制,270,519523
逺,271,519167
切,272,518236
反,273,517680
爾,274,516455
花,275,515858
郡,276,515574
猶,277,514996
起,278,514795
晉,279,514039
孫,280,513825
老,281,509865
注,282,508527
舊,283,492183
任,284,490167
深,285,489857
發,286,485659
建,287,484482
廣,288,483981
奏,289,482353
㑹,290,480616
請,291,479986
屬,292,478748
田,293,475843
親,294,475559
首,295,474234
異,296,473300
御,297,471388
甚,298,471079
酒,299,470952
語,300,469841
隂,301,468773
次,302,468014
難,303,466226
且,304,464872
宫,305,461347
利,306,460008
求,307,459718
豈,308,456648
終,309,455294
直,310,455208
賢,311,454237
衆,312,451550
路,313,450865
説,314,449595
凡,315,449374
仁,316,448655
色,317,448237
郎,318,448175
受,319,447069
望,320,443457
草,321,443355
夏,322,441113
女,323,441085
止,324,440825
加,325,439997
置,326,439382
劉,327,438174
夜,328,438012
卷,329,437766
木,330,434751
力,331,434386
莫,332,433428
詔,333,432886
青,334,432027
卒,335,430930
雨,336,429642
失,337,428176
耳,338,427693
奉,339,427617
嘗,340,425981
錢,341,425030
還,342,424856
京,343,424726
近,344,422592
致,345,421142
獨,346,419999
封,347,418998
議,348,415894
伯,349,413655
華,350,411248
信,351,410510
衣,352,410363
更,353,410055
鄭,354,407660
韻,355,406711
侍,356,405289
辭,357,403374
賦,358,400657
好,359,400540
母,360,400529
圖,361,397383
寒,362,397047
陵,363,394243
原,364,394065
哉,365,393699
化,366,392930
象,367,392381
卿,368,391875
由,369,390278
别,370,388214
楚,371,387238
固,372,386753
修,373,384918
土,374,384759
改,375,383543
變,376,383476
秦,377,382192
臨,378,380388
敢,379,377989
祭,380,375281
動,381,373054
第,382,373021
情,383,372159
車,384,369854
宣,385,368897
嵗,386,368710
益,387,367727
弟,388,366000
廟,389,363595
殺,390,361958
吏,391,361945
體,392,361199
堂,393,360328
孝,394,357906
口,395,357430
極,396,356593
往,397,355320
代,398,354309
許,399,353417
