name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
大红,0XFF0000FF,"#FF0000",-65536,255 0 0 100%,0 100% 100%,219 0 0,245 0 0,217 32 35,255 0 0,182 0 0,238 0 0,0 100 100 0,0 91 94 0,0 98 99 0,0.436075 0.222505 0.013932,54.29 80.81 69.89,54.29 106.84 40.85,54.29 175.04 25.96,54.29 176.96 8.44,1.0
石榴红,0XFF0C00FF,"#FF0C00",-62464,255 12 0 100%,3 100% 100%,219 20 5,245 0 0,217 37 36,255 1 0,183 1 0,238 0 0,0 95 100 0,0 90 94 0,0 96 99 0,0.43749 0.22514 0.014289,54.57 80.04 69.93,54.57 106.28 41.14,54.57 173.44 26.4,54.57 175.44 8.65,1.2
朱砂红,0XFF2600FF,"#FF2600",-55808,255 38 0 100%,9 100% 100%,220 42 10,246 0 0,218 55 36,255 5 0,184 5 0,238 0 0,0 85 100 0,0 87 94 0,0 91 100 0,0.443538 0.236399 0.015814,55.73 76.81 70.14,55.73 104.02 42.4,55.73 166.85 28.22,55.73 169.22 9.6,1.3
橙红,0XFF4500FF,"#FF4500",-47872,255 69 0 100%,16 100% 100%,221 71 17,246 42 0,219 84 38,255 15 0,187 15 1,239 10 0,0 73 100 0,0 78 93 0,0 81 100 0,0.45899 0.265167 0.019711,58.52 69.18 70.89,58.52 99.05 45.7,58.52 151.58 32.54,58.52 155.03 12.12,3.0
深橙色,0XFF6600FF,"#FF6600",-39424,255 102 0 100%,24 100% 100%,224 102 24,247 77 0,222 117 42,255 34 0,192 34 1,241 29 0,0 60 100 0,0 64 92 0,0 67 100 0,0.487238 0.317755 0.026834,63.16 57.06 72.64,63.16 92.37 51.85,63.16 128.26 39.46,63.16 134.19 17.1,4.0
橙色,0XFF8C00FF,"#FF8C00",-29696,255 140 0 100%,33 100% 100%,229 139 33,248 118 0,227 153 48,255 67 0,201 67 3,243 64 0,0 45 100 0,0 45 94 0,0 49 98 0,0.537058 0.410506 0.039398,70.21 39.79 76.09,70.21 85.86 62.39,70.21 96.9 49.49,70.21 108.8 27.05,5.0
中黄,0XFFB200FF,"#FFB200",-19968,255 178 0 100%,42 100% 100%,236 177 41,250 162 0,234 189 54,255 114 0,215 114 5,247 112 0,0 30 100 0,2 23 94 0,2 30 96 0,0.607506 0.54166 0.057163,78.56 21.06 80.89,78.56 83.59 75.41,78.56 65.11 60.7,78.56 89.02 42.99,7.6
金色,0XFFD700FF,"#FFD700",-10496,255 215 0 100%,51 100% 100%,244 214 50,253 206 0,242 223 62,255 173 0,232 173 7,251 174 0,0 16 100 0,2 7 94 0,6 11 89 0,0.697743 0.709654 0.079919,87.47 2.91 86.55,87.47 86.6 88.07,87.47 36.17 72.05,87.47 80.62 63.34,8.0
柠檬黄,0XFFFF00FF,"#FFFF00",-256,255 255 0 100%,60 100% 100%,255 255 60,255 255 0,252 255 71,255 255 0,255 255 11,255 255 0,0 0 100 0,1 1 91 0,10 0 80 0,0.82114 0.939383 0.111037,97.61 -15.75 93.39,97.61 94.71 99.57,97.61 7.98 84.38,97.61 84.76 84.6,9.0
黄绿,0XA8E000FF,"#A8E000",-5709824,168 224 0 100%,75 100% 88%,185 223 52,158 220 0,192 230 55,100 190 0,126 190 8,108 195 0,25 0 100 12,42 0 93 0,40 0 93 0,0.457784 0.621491 0.077838,82.99 -36.63 79.64,82.99 87.66 114.7,82.99 -28.37 76.07,82.99 81.19 110.45,10.0
