# 数据名: 欧洲赤膀鸭的秋季迁徙模式
标签,经度,纬度,坐标系统,开始时间,结束时间,说明
漈凫,11.728,48.20817,WGS_84,2009-8-3 23:0:0,2009-8-3 23:0:0,gps
漈凫,11.73133,48.209,WGS_84,2009-8-4 7:0:0,2009-8-4 7:0:0,gps
漈凫,11.73233,48.20967,WGS_84,2009-8-4 9:0:0,2009-8-4 9:0:0,gps
漈凫,11.7325,48.2095,WGS_84,2009-8-4 11:0:0,2009-8-4 11:0:0,gps
漈凫,11.73433,48.21033,WGS_84,2009-8-4 17:0:0,2009-8-4 17:0:0,gps
漈凫,11.73317,48.20967,WGS_84,2009-8-4 18:0:0,2009-8-4 18:0:0,gps
漈凫,11.733,48.20867,WGS_84,2009-8-4 23:0:0,2009-8-4 23:0:0,gps
漈凫,11.74133,48.21067,WGS_84,2009-8-5 9:0:0,2009-8-5 9:0:0,gps
漈凫,11.73917,48.21133,WGS_84,2009-8-5 11:0:0,2009-8-5 11:0:0,gps
漈凫,11.74067,48.21117,WGS_84,2009-8-5 17:0:0,2009-8-5 17:0:0,gps
漈凫,11.74083,48.211,WGS_84,2009-8-5 18:0:0,2009-8-5 18:0:0,gps
漈凫,11.7435,48.21117,WGS_84,2009-8-6 11:0:0,2009-8-6 11:0:0,gps
漈凫,11.74333,48.21033,WGS_84,2009-8-6 18:0:0,2009-8-6 18:0:0,gps
漈凫,11.7425,48.2105,WGS_84,2009-8-6 23:0:0,2009-8-6 23:0:0,gps
漈凫,11.73667,48.21017,WGS_84,2009-8-7 7:0:0,2009-8-7 7:0:0,gps
漈凫,11.73817,48.21017,WGS_84,2009-8-7 9:0:0,2009-8-7 9:0:0,gps
漈凫,11.738,48.20983,WGS_84,2009-8-7 11:0:0,2009-8-7 11:0:0,gps
漈凫,11.73817,48.21,WGS_84,2009-8-7 17:0:0,2009-8-7 17:0:0,gps
漈凫,11.73683,48.21067,WGS_84,2009-8-7 18:0:0,2009-8-7 18:0:0,gps
漈凫,11.73667,48.209,WGS_84,2009-8-7 23:0:0,2009-8-7 23:0:0,gps
漈凫,11.736,48.2095,WGS_84,2009-8-8 5:0:0,2009-8-8 5:0:0,gps
漈凫,11.73283,48.20917,WGS_84,2009-8-8 7:0:0,2009-8-8 7:0:0,gps
漈凫,11.73417,48.21067,WGS_84,2009-8-8 11:0:0,2009-8-8 11:0:0,gps
漈凫,11.73417,48.21033,WGS_84,2009-8-8 13:0:0,2009-8-8 13:0:0,gps
漈凫,11.735,48.20967,WGS_84,2009-8-8 17:0:0,2009-8-8 17:0:0,gps
漈凫,11.7345,48.21067,WGS_84,2009-8-8 18:0:0,2009-8-8 18:0:0,gps
漈凫,11.73683,48.209,WGS_84,2009-8-8 23:0:0,2009-8-8 23:0:0,gps
漈凫,11.7395,48.20867,WGS_84,2009-8-9 5:0:0,2009-8-9 5:0:0,gps
漈凫,11.739,48.2095,WGS_84,2009-8-9 7:0:0,2009-8-9 7:0:0,gps
漈凫,11.73867,48.21083,WGS_84,2009-8-9 9:0:0,2009-8-9 9:0:0,gps
漈凫,11.73917,48.21183,WGS_84,2009-8-9 11:0:0,2009-8-9 11:0:0,gps
漈凫,11.7385,48.2105,WGS_84,2009-8-9 13:0:0,2009-8-9 13:0:0,gps
漈凫,11.74283,48.21083,WGS_84,2009-8-9 17:0:0,2009-8-9 17:0:0,gps
漈凫,11.74417,48.21117,WGS_84,2009-8-9 18:0:0,2009-8-9 18:0:0,gps
