Configuration ID,Type,Name,Status,Keeper,Register Time,Invalid Time,Comments
R-H-067,Device,host,Normal,mara,2019-1-21 11:30:42,,
R-H-068,Device,laptop,Normal,mara,2019-1-21 11:30:42,,
R-H-068,Device,portable hard drive,Damaged,mara,2019-1-21 11:30:42,2022-4-1 16:35:12,
R-H-068,Device,portable hard drive,Normal,mara,2022-4-3 12:05:10,,
R-P-0353,Program,Win10 x64,Normal,mara,2019-1-21 11:30:42,,
R-P-0354,Program,CentOS 7,Normal,mara,2019-1-21 11:30:42,,
R-P-0354,Program,OpenOffice 4.1.13,Normal,mara,2019-1-21 11:30:42,,
R-D-0201,Document,MyBox User guide-Overview-v6.0,Discarded,mara,2022-1-21 11:30:42,2022-5-23 11:30:42,
R-D-0218,Document,MyBox User guide-Overview-v6.7,Normal,mara,2023-1-21 11:30:42,,
R-C-015904,Source codes,DataSetController.java,Discarded,mara,2019-1-21 11:30:42,2022-7-11 11:30:42,
