Test environment,Version,Type,Object,Title,Steps,Status,Modify time,Description
win,MyBox v6.8.7,功能,Data Tree,自动切换显示模式,"1. 使根节点的子结点数少于或等于100。
2. 打开数据树界面，验证：自动切换到树形模式。
3. 使根节点的子结点数大于100。
4. 打开数据树界面，验证：自动切换到分页表格模式。",通过,2025-05-23 09:18:20,
win,MyBox v6.8.7,功能,Data Tree,从树形切换到分页表格,"1. 在树形模式下，选择一个节点。
2. 切换到表格模式，验证：此节点的子结点被分页显示。",通过,2025-05-23 09:18:33,
win,MyBox v6.8.7,功能,Data Tree,从分页表格切换到树形,"1. 在表格模式下，展开一个节点。
2. 切换到树形模式，验证：此节点在树形上被选择。",通过,2025-05-23 09:18:38,
win,MyBox v6.8.7,功能,自动测试,数据树的导入,"1. 选择数据树的测试。
2. 执行自动测试，验证各种数据树被自动导入。
3. 单独测试“地理代码”。",通过,2025-05-23 09:19:02,
win,MyBox v6.8.7,功能,自动测试,触发测试用例,"1. 各个界面，除了数据树，被自动打开后即被自动关闭。
2. 界面关闭后触发下一个测试用例。",,2025-05-23 09:19:07,
win,MyBox v6.8.7,功能,Manufacture Data,表格模式下编辑数据,"1. 切换到表格模式。
2. 修改数据，点击保存，验证：修改被保存。
3. 修改数据，切换到其它模式，验证：修改被同步到其它模式。",通过,2025-05-23 09:19:10,
win,MyBox v6.8.7,功能,Manufacture Data,CSV模式下编辑数据,"1. 切换到CSV模式。
2. 修改数据，点击保存，验证：修改被保存。
3. 修改数据，切换到其它模式，验证：修改被同步到其它模式。",通过,2025-05-23 09:19:15,
win,MyBox v6.8.3,Invalid,Manufacture Data,row expression - invalid values and operators,"1. Use function of 'Set Values' to check caluculation of row experssion
2. To 'String' column, input null value and use operator: + - * /
3. To 'Integer' column, input null value and use operator: + - * /
4. To 'Double' column, input null value and use operator: + - * /",pass,2025-01-24 10:10:21,
win,MyBox v6.8.3,Function,Manufacture Data,row expression - column types and operators,"1. Use function of 'Set Values' to check caluculation of row experssion
2. To 'String' column, input valid value and use operator: + - * /
3. To 'Integer' column, input valid value and use operator: + - * /
4. To 'Double' column, input valid value and use operator: + - * /",pass,2025-01-24 10:10:21,
win,MyBox v6.8.3,Function,Manufacture Data,Enumerated Short,"1. Open a CSV file
2. Add column with type of Enumerated Short
3. Add rows and select values of Enumerated Short
4. Save new column and rows
5. Values of Enumerated Short can be edited/saved/displayed/exported correctly",pass,2025-01-24 10:10:21,
win,MyBox v6.8.3,Function,Manufacture Image,read/write WebP file,"1. Open WebP and save it as other formats
2. Read jpg/png file and save it as WebP file",pass,2025-01-24 10:10:21,
win,MyBox v6.8.3,Function,Manufacture Data,Set Values - row expression,"1. To current page of csv file, use function 'Set Values', input valid row expression, and execute
2. To all data of csv file, use function 'Set Values', input valid row expression, and execute
3. To current page of database table, use function 'Set Values', input valid row expression, and execute
4. To all data of database table, use function 'Set Values', input valid row expression, and execute",pass,2025-01-24 10:10:21,
win,MyBox v6.8.3,Invalid,Manufacture Data,Set Values - row expression,"1. To current page of csv file, use function 'Set Values', input invalid row expression, and execute
2. To all data of csv file, use function 'Set Values', input invalid row expression, and execute
3. To current page of database table, use function 'Set Values', input invalid row expression, and execute
4. To all data of database table, use function 'Set Values', input invalid row expression, and execute",pass,2025-01-24 10:10:16,
win,MyBox v6.8.3,Function,Geography Code,predefined geography codes,"1. Set data path of v6.8.3 as new path, then start v6.8.3
2. Import predefined geography codes
3. Geography codes should be displayed in the tree correctly
4. Geography codes should be displayed in map correctly
5. Geography codes can be edited and saved correctly
6. Other functions of the tree work correctly
7. Geography codes can be handled as internal table correctly",pass,2025-01-24 10:03:32,
win,MyBox v6.8.3,兼容性,Geography Code,Upgrade from v6.8,"1. View geography codes in v6.8
2. Set data path of v6.8.3 as the data path of v6.8, then start v6.8.3
3. View geography codes in v6.8.3
4. Geography codes of v6.8 should be displayed in the tree of v6.8.3 correctly
5. Geography codes of v6.8 should be displayed in map of v6.8.3 correctly
6. Geography codes can be edited and saved correctly
7. Other functions of the tree work correctly
8. Geography codes can be handled as internal table correctly",pass,2025-01-24 09:54:33,
win,MyBox v6.8.1,Function,Manufacture Data,switch mode - null - permit,"1.html to table 
2.table to html 
3.html to csv 
4.csv to texts 
5.texts to html",pass,2024-5-18,
