测试环境,版本,类型,对象,标题,步骤,状态,修改时间,描述
win,MyBox v6.8.3,非法,数据处理,行表达式-非法值与运算符,"1. 使用“处理数据”的“赋值”功能，检查行表达式的运算
2. 对“字串”列，输入空值，使用运算符：+、-、*、/
3. 对“整型”列，输入空值，使用运算符：+、-、*、/
4. 对“双精度”列，输入空值，使用运算符：+、-、*、/",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,功能,数据处理,行表达式-列类型与运算符,"1. 使用“处理数据”的“赋值”功能，检查行表达式的运算
2. 对“字串”列，输入有效值，使用运算符：+、-、*、/
3. 对“整型”列，输入有效值，使用运算符：+、-、*、/
4. 对“双精度”列，输入有效值，使用运算符：+、-、*、/",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,功能,数据处理,枚举短整型,"1. 打开一个CSV文件
2. 添加列，类型为枚举短整型
3. 添加行，选择枚举短整型的值
4. 保存新增的列和行
5. 枚举短整型能正确地编辑/保存/显示/导出",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,功能,图像处理,读写WebP文件,"1. 读入WebP文件，另存为其它图像格式文件
2. 读入jpg/png文件，另存为WebP文件",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,功能,数据处理,赋值-行表达式,"1. 对csv文件的当前页，使用“赋值”功能，输入合法行表达式，执行
2. 对csv文件的所有数据，使用“赋值”功能，输入合法行表达式，执行
3. 对数据库表格的当前页，使用“赋值”功能，输入合法行表达式，执行
4. 对数据库表格的所有数据，使用“赋值”功能，输入合法行表达式，执行",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,非法,数据处理,赋值-行表达式,"1. 对csv文件的当前页，使用“赋值”功能，输入非法行表达式，执行
2. 对csv文件的所有数据，使用“赋值”功能，输入非法行表达式，执行
3. 对数据库表格的当前页，使用“赋值”功能，输入非法行表达式，执行
4. 对数据库表格的所有数据，使用“赋值”功能，输入非法行表达式，执行",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,功能,地理代码,预定义的地理编码,"1. 把v6.8.3的数据目录指向新目录，然后启动v6.8.3
2. 导入预定义的地理编码
3. 地理编码应当正确显示在树上
4. 地理编码应当正确显示在地图上
5. 地理编码可以正确地编辑和保存
6. 其它树形功能均可正常使用
7. 地理编码可以被当作内部数据库表正常处理",通过,2025-01-24 10:03:32,
win,MyBox v6.8.3,兼容性,地理代码,从v6.8.升级,"1. 在v6.8中查看地理编码
2. 把v6.8.3的数据目录指向v6.8的数据目录，然后启动v6.8.3
3. 在v6.8.3中查看地理编码
4. 所有v6.8的地理编码应当正确显示在v6.8.3的树上
5. 所有v6.8的地理编码应当正确显示在v6.8.3的地图上
6. 地理编码可以正确地编辑和保存
7. 其它树形功能均可正常使用
8. 地理编码可以被当作内部数据库表正常处理",通过,2025-01-24 10:03:32,
win,MyBox v6.8.1,功能,数据处理,创建数据,数据类型：CSV、Excel、文本、数据库表、粘贴板、矩阵,通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,选择文件,数据文件类型：CSV、Excel、文本,通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,选择数据,数据类型：CSV、Excel、文本、数据库表、粘贴板、矩阵,通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,加载系统粘贴板的内容,,通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,导入示例,"1.导入数据 
2.只导入定义",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,边界,数据处理,表格编辑-空值,"1.允许 
2.不允许",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,表格编辑-正常值,"1.提交 
2.放弃
3.单行字串
4.多行字串
5.数值
6.枚举型
7.时间
8.布尔",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,非法值,数据处理,表格编辑-非法值,"1.提交 
2.放弃",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,边界,数据处理,CSV编辑-空值,"1.允许 
2.不允许",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,CSV编辑-正常值,"1.提交 
2.放弃",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,非法值,数据处理,CSV编辑-非法值,"1.提交 
2.放弃",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,模式切换-正常值,"1.html到表格 
2.表格到html 
3.html到csv 
4.csv到文本 
5.文本到html",通过,2024-05-18 00:00:00,
win,MyBox v6.8.1,功能,数据处理,模式切换-空值-允许,"1.html到表格 
2.表格到html 
3.html到csv 
4.csv到文本 
5.文本到html",通过,2024-5-18,
win,MyBox v6.8.1,非法值,数据处理,模式切换-空值-不允许,"1.html到表格 
2.表格到html 
3.html到csv 
4.csv到文本 
5.文本到html",通过,2024-5-18,
win,MyBox v6.8.1,非法值,数据处理,模式切换-非法值,"1.html到表格 
2.表格到html 
3.html到csv 
4.csv到文本 
5.文本到html",通过,2024-5-18,
win,MyBox v6.8.1,界面,数据处理,模式切换-界面,"1.快捷键 
2.提示 
3.布局 
4.响应 
5.菜单",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,修改数据-临时数据,"1.增删改数据行 
2.移动数据行 
3.清空数据",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,修改数据-一页数据,"1.增删改数据行 
2.移动数据行 
3.清空数据",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,修改数据-多页数据,"1.增删改数据行 
2.移动数据行 
3.清空数据",通过,2024-5-18,
win,MyBox v6.8.1,界面,数据处理,界面,"1.快捷键 
2.提示 
3.布局 
4.响应 
5.菜单",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-增删改列,"1.各种列类型 
2.各种格式 
3.处理非法值",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-移动列,,通过,2024-5-18,
win,MyBox v6.8.1,非法值,数据处理,定义数据-清空列,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-修改属性-临时数据,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-修改属性-一页数据,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-修改属性-多页数据,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-修改属性-保存数据,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,定义数据-修改属性-不保存数据,,通过,2024-5-18,
win,MyBox v6.8.1,界面,数据处理,定义数据-界面,"1.快捷键 
2.提示 
3.布局 
4.响应 
5.菜单",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,保存数据-临时数据,"1.保存 
2.放弃",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,保存数据-一页数据,"1.保存 
2.放弃",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,保存数据-多页数据,"1.保存 
2.放弃",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,另存数据-源数据类型,CSV、Excel、文本、数据库表、粘贴板、矩阵,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,另存数据-目标格式,CSV、Excel、文本、MyBox粘贴板、矩阵、数据库表、系统粘贴板、JSON、XML、HTML、PDF,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,另存数据-数据状态,"1.临时数据 
2.一页数据 
3.多页数据",通过,2024-5-18,
win,MyBox v6.8.1,界面,数据处理,另存数据-界面,"1.快捷键 
2.提示 
3.布局 
4.响应 
5.菜单",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,添加行,"1. 加到开头/末尾/之上/之下
2. 填写字段值
3. 确定/放弃",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,复制到系统粘贴板,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 选项：行号、列名、格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,粘贴系统粘贴板的内容,"1. 按文本/CSV解析
2. 选项：第一行定义列名
3. 选择行和列
4. 应用行过滤
5. 设置粘贴的位置",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,粘贴MyBox粘贴板的内容,"1. 选择行和列
2. 应用行过滤
3. 设置粘贴的位置",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,赋值,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 设置各种列值，尤其是行表达式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,按条件删除,"1. 选择数据源
2. 应用行过滤",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,设置风格,"1. 设置数据行和列
2. 应用行过滤
3. 输入风格
4. 保存风格
5. 重叠风格，调整风格顺序",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,选项：当数据单元失去焦点时提交修改,,通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,复制/过滤/查询/转换,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 设置选项
5. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,排序,"1. 选择数据源
2. 应用行过滤
3. 设置排序条件
4. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,转置,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 设置选项
5. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,归一化,"1. 选择数据源
2. 应用行过滤
3. 选择列
4. 选择算法和参数
5. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,分割/分组,"1. 选择数据源
2. 应用行过滤
3. 选择分组类型，设置参数
4. 设置选项
5. 设置输出格式",通过,2024-5-18,
win,MyBox v6.8.1,功能,数据处理,行表达式,"1. 选择数据源
2. 应用行过滤
3. 设置行表达式
4. 设置选项
5. 设置输出格式",通过,2024-5-18,
