Dataset,Label,Address,Longitude,Latitude,Start Time,End Time,Comments
中国历代国都,传说-燧人,未知,112.55699,34.87973,公元前5000,公元前4900,钻木取火，天皇/燧皇/人皇
中国历代国都,传说-伏羲,未知,109.18939,34.224677,公元前4000,公元前3900,创世神，天皇人首龙身。太昊（皞），居东方，具木德，主春，亦称春帝，青帝灵威仰
中国历代国都,传说-女娲,未知,111.107528,35.126412,公元前4000,公元前3900,创世女神，地皇人首蛇身
中国历代国都,传说-神农/炎帝,未知,113.772655,26.489902,公元前2600,公元前2500,涿鹿之战败蚩尤。人皇牛首人身，居南方，具火德，主夏，赤帝赤熛怒
中国历代国都,传说-黄帝,未知,113.730529,34.395562,公元前2500,公元前2400,涿鹿之战败蚩尤，阪泉之战败炎帝。居中，具土德，黄帝含枢纽
中国历代国都,传说-少昊（皞）,穷桑（江苏沭阳桑墟镇）,118.822224,34.30994,公元前2422,公元前2322,居西方，具金德，主秋，白帝白招拒
中国历代国都,传说-颛顼,帝丘（河南商丘睢县帝丘）,115.071879,34.445656,公元前2322,公元前2245,居北方，具水德，主冬，黑帝叶光纪
中国历代国都,传说-帝喾,亳（河南商丘）,115.65637,34.414172,公元前2221,公元前2163,订立节气
中国历代国都,传说-尧,唐（山西临汾）,111.518976,36.088005,公元前2188,公元前2089,
中国历代国都,传说-舜,蒲坂（山西永济蒲州）,110.329194,34.831075,公元前2187,公元前2067,另说潘城（河北涿鹿）
中国历代国都,夏,安邑（山西运城市夏县）,111.220456,35.141363,公元前2037,公元前1963,
中国历代国都,夏,阳城（河南郑州登封）,113.050492,34.453667,公元前2029,公元前1978,
中国历代国都,夏,阳翟（河南禹州）,113.488478,34.140701,公元前2029,公元前1978,
中国历代国都,夏,安邑（山西运城）,111.007528,35.026412,公元前2029,公元前1978,
中国历代国都,夏,斟鄩（河南偃师二里头）,112.693124,34.69775,公元前1963,公元前1600,
中国历代国都,夏-后羿、寒浞,鉏/穷石（河南焦作孟州）,112.789612,34.90797,公元前1916,公元前1871,篡夏40余年。一说在今山东德州市南
中国历代国都,夏,老丘（河南开封市）,114.28185,34.8138,公元前1837,公元前1682,
中国历代国都,夏,西河（河南安阳东南）,114.392392,36.097577,公元前1682,公元前1651,
中国历代国都,商,亳（河南商丘市）,115.65537,34.454172,公元前1588,公元前1412,
中国历代国都,商,嚣（河南郑州市商城遗址）,113.686414,34.758081,公元前1411,公元前1386,
中国历代国都,商,相（河南安阳市内黄县东南）,114.901492,35.971653,公元前1385,公元前1377,
中国历代国都,商,庇（山东郓城北）,115.943613,35.599758,公元前1376,公元前1328,
中国历代国都,商,奄（山东曲阜市）,116.986503,35.580996,公元前1327,公元前1315,
中国历代国都,商,殷/北蒙（河南安阳市小屯）,113.775215,36.003477,公元前1314,公元前1046,
中国历代国都,西周,镐京/宗周（陕西西安市长安区）,108.906917,34.159016,公元前1046,公元前771,
