"item","year 2020","year 2019","year 2018","year 2017","year 2016","year 2015","year 2014","year 2013"
food consumption per capita(kilogram),141.2,130.1,127.2,130.1,132.8,134.5,141.0,148.7
cooking oil consumption per capita(kilogram),10.4,9.5,9.6,10.4,10.6,10.6,10.4,10.6
vegetables and mushrooms consumption per capita(kilogram),103.7,98.6,96.1,99.2,100.1,97.8,96.9,97.5
meat consumption per capita(kilogram),24.8,26.9,29.5,26.7,26.1,26.2,25.6,25.6
poultry consumption per capita(kilogram),12.7,10.8,9.0,8.9,9.1,8.4,8.0,7.2
aquatic products consumption per capita(kilogram),13.9,13.6,11.4,11.5,11.4,11.2,10.8,10.4
eggs consumption per capita(kilogram),12.8,10.7,9.7,10.0,9.7,9.5,8.6,8.2
milk consumption per capita(kilogram),13.0,12.5,12.2,12.1,12.0,12.1,12.6,11.7
fruits consumption per capita(kilogram),56.3,56.4,52.1,50.1,48.3,44.5,42.2,40.7
sugar consumption per capita(kilogram),1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2
