"年","世界冠军项数","女子世界冠军项数","世界冠军人数","女子世界冠军人数","世界冠军个数","女子世界冠军个数"
1959,1,,1,,1,
1963,4,,7,,4,
1965,5,2,9,4,5,2
1971,4,2,7,2,4,2
1975,2,1,9,4,2,1
1978,4,2,4,2,4,2
1979,12,7,20,11,12,7
1980,3,,3,,3,
1981,25,13,53,32,25,13
1982,12,2,31,15,13,2
1983,37,15,50,24,39,17
1984,33,10,46,26,37,10
1985,42,20,70,41,46,23
1986,26,14,56,34,26,14
1987,64,39,72,34,69,42
1988,54,37,59,30,54,37
1989,80,49,83,48,82,50
1990,54,34,61,30,54,34
1991,88,58,86,51,93,62
1992,86,70,68,52,89,73
1993,101,67,106,70,103,69
1994,79,54,86,45,79,54
1995,98,50,187,86,102,52
1996,72,55,58,42,75,57
1997,87,46,96,46,92,51
1998,75,49,89,59,83,55
1999,91,43,129,72,92,44
2000,92,52,109,60,110,67
2001,79,47,138,77,90,55
2002,99,58,123,81,110,64
2003,17,16,94,63,84,49
2004,27,21,175,98,101,56
2005,22,19,159,89,106,63
2006,24,18,169,87,141,76
2007,22,16,217,123,123,70
2008,24,17,151,83,120,66
2009,30,17,223,134,142,88
2010,22,13,180,81,108,55
2011,24,14,198,102,138,78
2012,24,,140,,107,
2013,22,,164,,124,
2014,22,,206,,98,
2015,25,,214,,127,
2016,23,,154,,107,
2017,24,,248,,106,
2018,27,,222,,118,
2019,33,,305,,128,
2020,3,,4,,4,
2021,16,,,,67,
