"编号","字","级别","部首","笔画数","拼音","多音","繁体","异形","字形","笔顺","拼音首","拼音尾","音调","五笔","十六进制","十进制"
0001,一,1,一,1,yī,,一,,独体,横,y,i,1,GGLL,4E00,19968
0002,乙,1,乛,1,yǐ,,乙,,独体,折,y,i,3,NNLL,4E59,20057
0003,二,1,二,2,èr,,二,,独体,横横,,er,4,FGG,4E8C,20108
0004,十,1,十,2,shí,,十,,独体,横竖,sh,i,2,FGH,5341,21313
0005,丁,1,一,2,dīng,zhēng,丁,,独体,横竖,d,ing,1,SGH,4E01,19969
0006,厂,1,厂,2,chǎng,ān,廠,,独体,横撇,ch,ang,3,DGT,5382,21378
0007,七,1,一,2,qī,,七,,独体,横折,q,i,1,AGN,4E03,19971
0008,卜,1,卜,2,bǔ,"bo,pú",蔔,,独体,竖点,b,u,3,HHY,535C,21340
0009,八,1,八,2,bā,,八,,独体,撇点,b,a,1,WTY,516B,20843
0010,人,1,人,2,rén,,人,,独体,撇点,r,en,2,WWWW,4EBA,20154
0011,入,1,入,2,rù,,入,,独体,撇点,r,u,4,TYI,5165,20837
0012,儿,1,儿,2,ér,,兒,,独体,撇折,,er,2,QTN,513F,20799
0013,匕,1,匕,2,bǐ,,匕,,独体,撇折,b,i,3,XTN,5315,21269
0014,几,1,几,2,jǐ,jī,幾,,独体,撇折,j,i,3,MTN,51E0,20960
0015,九,1,丿,2,jiǔ,,九,,独体,撇折,j,iu,3,VTN,4E5D,20061
0016,刁,1,乛,2,diāo,,刁,,独体,折横,d,iao,1,NGD,5201,20993
0017,了,1,乛,2,le,liǎo,瞭,,独体,折竖,l,e,5,BNH,4E86,20102
0018,刀,1,刀,2,dāo,,刀,,独体,折撇,d,ao,1,VNT,5200,20992
0019,力,1,力,2,lì,,力,,独体,折撇,l,i,4,LTN,529B,21147
0020,乃,1,乛,2,nǎi,,乃,,独体,折撇,n,ai,3,ETN,4E43,20035
0021,又,1,又,2,yòu,,又,,独体,折点,y,ou,4,CCCC,53C8,21448
0022,三,1,一,3,sān,,三,,独体,横横横,s,an,1,DGGG,4E09,19977
0023,干,1,干,3,gàn,gān,乾、幹,,独体,横横竖,g,an,1,FGGH,5E72,24178
0024,于,1,一,3,yú,,于,於,独体,横横竖,y,u,2,,4E8E,20110
0025,亏,1,一,3,kuī,,虧,,上下,横横折,k,ui,1,FNV,4E8F,20111
0026,工,1,工,3,gōng,,工,,独体,横竖横,g,ong,1,AAAA,5DE5,24037
0027,土,1,土,3,tǔ,,土,,独体,横竖横,t,u,3,FFFF,571F,22303
0028,士,1,士,3,shì,,士,,独体,横竖横,sh,i,4,FGHG,58EB,22763
0029,才,1,一,3,cái,,纔,,独体,横竖撇,c,ai,2,FTE,624D,25165
0030,下,1,一,3,xià,,下,,独体,横竖点,x,ia,4,GHI,4E0B,19979
0031,寸,1,寸,3,cùn,,寸,,独体,横竖点,c,un,4,FGHY,5BF8,23544
0032,大,1,大,3,dà,dài,大,,独体,横撇点,d,a,4,DDDD,5927,22823
0033,丈,1,一,3,zhàng,,丈,,独体,横撇点,zh,ang,4,DYI,4E08,19976
0034,与,1,一,3,yǔ,"yù,yú",與,,独体,横折横,y,u,3,GNGD,4E0E,19982
0035,万,1,一,3,wàn,mò,萬,,独体,横折撇,w,an,4,DNV,4E07,19975
0036,上,1,⺊,3,shàng,"shǎng,shang",上,,独体,竖横横,sh,ang,4,HHGG,4E0A,19978
0037,小,1,小,3,xiǎo,,小,,独体,竖撇点,x,iao,3,IHTY,5C0F,23567
0038,口,1,口,3,kǒu,,口,,独体,竖折横,k,ou,3,KKKK,53E3,21475
0039,山,1,山,3,shān,,山,,独体,竖折竖,sh,an,1,MMMM,5C71,23665
0040,巾,1,巾,3,jīn,,巾,,独体,竖折竖,j,in,1,MHK,5DFE,24062
0041,千,1,丿,3,qiān,,韆,,独体,撇横竖,q,ian,1,TFK,5343,21315
0042,乞,1,乛,3,qǐ,,乞,,上下,撇横折,q,i,3,TNB,4E5E,20062
0043,川,1,丿,3,chuān,,川,,独体,撇竖竖,ch,uan,1,KTHH,5DDD,24029
0044,亿,1,亻,3,yì,,億,,左右,撇竖折,y,i,4,WNN,4EBF,20159
0045,个,1,人,3,gè,gě,個,,独体,撇点竖,g,e,4,WHJ,4E2A,20010
0046,夕,1,夕,3,xī,,夕,,独体,撇折点,x,i,1,QTNY,5915,22805
0047,久,1,丿,3,jiǔ,,久,,独体,撇折点,j,iu,3,QYI,4E45,20037
0048,么,1,丿,3,me,"mó,yāo,ma",麽,,独体,撇折点,m,e,5,TCU,4E48,20040
0049,勺,1,勹,3,sháo,,勺,,独体,撇折点,sh,ao,2,QYI,52FA,21242
0050,凡,1,几,3,fán,,凡,,独体,撇折点,f,an,2,MYI,51E1,20961
0051,丸,1,丿,3,wán,,丸,,独体,撇折点,w,an,2,VYI,4E38,20024
0052,及,1,丿,3,jí,,及,,独体,撇折点,j,i,2,EYI,53CA,21450
0053,广,1,广,3,guǎng,ān,廣,,独体,点横撇,g,uang,3,YYGT,5E7F,24191
0054,亡,1,亠,3,wáng,wú,亡,,独体,点横折,w,ang,2,YNV,4EA1,20129
0055,门,1,门,3,mén,,門,,独体,点竖折,m,en,2,UYHN,95E8,38376
0056,丫,1,丷,3,yā,,丫,,独体,点撇竖,y,a,1,UHK,4E2B,20011
0057,义,1,丶,3,yì,,義,,独体,点撇点,y,i,4,YQI,4E49,20041
0058,之,1,丶,3,zhī,,之,,独体,点折点,zh,i,1,PPPP,4E4B,20043
0059,尸,1,尸,3,shī,,尸,,独体,折横撇,sh,i,1,NNGT,5C38,23608
0060,己,1,己,3,jǐ,,己,,独体,折横折,j,i,3,NNGN,5DF1,24049
0061,已,1,已,3,yǐ,,已,,独体,折横折,y,i,3,NNNN,5DF2,24050
0062,巳,1,巳,3,sì,,巳,,独体,折横折,s,i,4,NNGN,5DF3,24051
0063,弓,1,弓,3,gōng,,弓,,独体,折横折,g,ong,1,XNGN,5F13,24339
0064,子,1,子,3,zǐ,·zi,子,,独体,折竖横,z,i,5,BBBB,5B50,23376
0065,卫,1,卩、乛,3,wèi,,衛,,独体,折竖横,w,ei,4,BGD,536B,21355
0066,也,1,乛,3,yě,,也,,独体,折竖折,y,e,3,BNHN,4E5F,20063
0067,女,1,女,3,nǚ,rǔ,女,,独体,折撇横,n,ü,3,VVVV,5973,22899
0068,刃,1,刀,3,rèn,,刃,,独体,折撇点,r,en,4,VYI,5203,20995
0069,飞,1,飞,3,fēi,,飛,,独体,折撇点,f,ei,1,NUI,98DE,39134
0070,习,1,乛,3,xí,,習,,独体,折点横,x,i,2,NUD,4E60,20064
0071,叉,1,又,3,chā,"chà,chǎ,chá",叉,,独体,折点点,ch,a,1,CYI,53C9,21449
0072,马,1,马,3,mǎ,,馬,,独体,折折横,m,a,3,CNNG,9A6C,39532
0073,乡,1,乛,3,xiāng,,鄉,,独体,折折撇,x,iang,1,XTE,4E61,20065
0074,丰,1,一,4,fēng,,豐,,独体,横横横竖,f,eng,1,DHK,4E30,20016
0075,王,1,王,4,wáng,wàng,王,,独体,横横竖横,w,ang,2,GGGG,738B,29579
0076,开,1,一,4,kāi,,開,,独体,横横撇竖,k,ai,1,GAK,5F00,24320
0077,井,1,一,4,jǐng,,井,,独体,横横撇竖,j,ing,3,FJK,4E95,20117
0078,天,1,一,4,tiān,,天,,独体,横横撇点,t,ian,1,GDI,5929,22825
0079,夫,1,一,4,fū,fú,夫,,独体,横横撇点,f,u,1,FWI,592B,22827
0080,元,1,一,4,yuán,,元,,独体,横横撇折,y,uan,2,FQB,5143,20803
0081,无,1,一、无,4,wú,mó,無,,独体,横横撇折,w,u,2,FQV,65E0,26080
0082,云,1,一,4,yún,,雲,,独体,横横折点,y,un,2,FCU,4E91,20113
0083,专,1,一,4,zhuān,,專,,独体,横横折点,zh,uan,1,FNYI,4E13,19987
0084,丐,1,一,4,gài,,丐,,上下,横竖横折,g,ai,4,GHNV,4E10,19984
0085,扎,1,扌,4,zhā,"zā,zhá",扎,,左右,横竖横折,zh,a,1,RNN,624E,25166
0086,艺,1,艹,4,yì,,藝,,上下,横竖竖折,y,i,4,ANB,827A,33402
0087,木,1,木,4,mù,,木,,独体,横竖撇点,m,u,4,SSSS,6728,26408
0088,五,1,一,4,wǔ,,五,,独体,横竖折横,w,u,3,,4E94,20116
0089,支,1,支,4,zhī,,支,,左右,横竖折点,zh,i,1,FCU,652F,25903
0090,厅,1,厂,4,tīng,,廳,,半包围,横撇横竖,t,ing,1,DSK,5385,21381
0091,不,1,一,4,bù,fǒu,不,,独体,横撇竖点,b,u,4,GII,4E0D,19981
0092,犬,1,犬,4,quǎn,,犬,,独体,横撇点点,q,uan,3,DGTY,72AC,29356
0093,太,1,大,4,tài,,太,,独体,横撇点点,t,ai,4,DYI,592A,22826
0094,区,1,匚,4,qū,ōu,區,,半包围,横撇点折,q,u,1,AQI,533A,21306
0095,历,1,厂,4,lì,,歷、曆,,半包围,横撇折撇,l,i,4,DLV,5386,21382
0096,歹,1,歹,4,dǎi,,歹,,独体,横撇折点,d,ai,3,GQI,6B79,27513
0097,友,1,又,4,yǒu,,友,,独体,横撇折点,y,ou,3,DCU,53CB,21451
0098,尤,1,尢,4,yóu,,尤,,独体,横撇折点,y,ou,2,DNV,5C24,23588
0099,匹,1,匚,4,pǐ,,匹,,半包围,横撇折折,p,i,3,AQV,5339,21305
0100,车,1,车,4,chē,jū,車,,独体,横折横竖,ch,e,1,LGNH,8F66,36710
0101,巨,1,匚,4,jù,,巨,,半包围,横折横折,j,u,4,AND,5DE8,24040
0102,牙,1,牙,4,yá,,牙,,独体,横折竖撇,y,a,2,AHTE,7259,29273
0103,屯,1,一,4,tún,zhūn,屯,,独体,横折竖折,t,un,2,GBNV,5C6F,23663
0104,戈,1,戈,4,gē,,戈,,独体,横折撇点,g,e,1,AGNT,6208,25096
0105,比,1,比,4,bǐ,,比,,左右,横折撇折,b,i,3,XXN,6BD4,27604
0106,互,1,一,4,hù,,互,,独体,横折折横,h,u,4,GXGD,4E92,20114
0107,切,1,刀,4,qiē,qiè,切,,左右,横折折撇,q,ie,4,AVN,5207,20999
0108,瓦,1,瓦,4,wǎ,wà,瓦,,独体,横折折点,w,a,3,GNYN,74E6,29926
0109,止,1,止,4,zhǐ,,止,,独体,竖横竖横,zh,i,3,HHHG,6B62,27490
0110,少,1,小,4,shǎo,shào,少,,独体,竖撇点撇,sh,ao,3,ITR,5C11,23569
0111,曰,1,曰,4,yuē,,曰,,独体,竖折横横,y,ue,1,JHNG,66F0,26352
0112,日,1,日,4,rì,,日,,独体,竖折横横,r,i,4,JJJJ,65E5,26085
0113,中,1,丨,4,zhōng,zhòng,中,,独体,竖折横竖,zh,ong,1,KHK,4E2D,20013
0114,贝,1,贝,4,bèi,,貝,,独体,竖折撇点,b,ei,4,MHNY,8D1D,36125
