# 来源：常用汉字使用频率表(Baidu)
# 制作：2009 黄勇 http://yong321.freeshell.org/misc/ChineseCharFrequency.html
"汉字","频次"
一,100000000
在,100000000
者,100000000
找,100000000
和,100000000
与,100000000
招,100000000
中,100000000
有,100000000
张,100000000
章,100000000
阅,100000000
月,100000000
元,100000000
要,100000000
用,100000000
号,100000000
好,100000000
页,100000000
站,100000000
之,100000000
学,100000000
听,100000000
无,100000000
县,100000000
我,100000000
网,100000000
王,100000000
万,100000000
物,100000000
天,100000000
下,100000000
为,100000000
图,100000000
数,100000000
三,100000000
售,100000000
室,100000000
日,100000000
搜,100000000
上,100000000
商,100000000
书,100000000
人,100000000
市,100000000
是,100000000
水,100000000
省,100000000
型,100000000
新,100000000
小,100000000
区,100000000
名,100000000
能,100000000
买,100000000
器,100000000
年,100000000
了,100000000
男,100000000
吗,100000000
你,100000000
路,100000000
来,100000000
城,100000000
称,100000000
车,100000000
厂,100000000
产,100000000
查,100000000
不,100000000
部,100000000
管,100000000
购,100000000
卷,100000000
尽,100000000
叫,100000000
金,100000000
价,100000000
家,100000000
及,100000000
房,100000000
二,100000000
多,100000000
读,100000000
第,100000000
店,100000000
点,100000000
的,100000000
到,100000000
吧,100000000
版,100000000
爱,100000000
啊,100000000
最,100000000
租,100000000
机,100000000
会,100000000
花,100000000
表,100000000
比,100000000
报,100000000
宝,100000000
库,100000000
看,100000000
高,100000000
个,100000000
歌,100000000
大,100000000
超,99400000
没,99200000
建,98800000
试,98700000
期,98100000
对,97800000
想,97600000
业,97500000
社,95900000
等,95000000
品,94400000
美,94400000
起,94300000
四,93300000
谁,93200000
集,93000000
后,91400000
本,91100000
将,90700000
做,90200000
局,89900000
就,89600000
这,89300000
分,89300000
成,89200000
李,89100000
发,88700000
女,87900000
六,87500000
已,87400000
乐,87300000
师,86800000
给,86700000
都,86200000
全,85800000
厅,85700000
总,85200000
您,84800000
五,84700000
节,84600000
去,84500000
播,84500000
文,84400000
快,84300000
让,84000000
类,83800000
酒,83500000
性,83400000
款,83200000
梦,83100000
说,82800000
被,82800000
真,82500000
请,82500000
股,82000000
楼,81800000
测,81700000
药,81500000
才,81500000
生,81100000
游,81000000
种,80700000
易,80500000
里,80200000
装,80100000
修,79900000
打,79900000
化,79800000
也,79500000
办,79100000
心,79000000
出,78400000
园,78100000
通,78100000
该,77600000
线,77300000
题,77300000
间,77300000
风,77300000
字,77300000
料,77200000
进,77200000
国,77100000
道,77000000
周,76500000
过,76500000
长,76100000
帮,76100000
镇,75900000
式,75900000
地,75900000
可,75900000
海,75800000
开,75800000
龙,75500000
飞,75500000
评,75300000
次,75300000
红,75200000
山,75200000
钱,75000000
很,74700000
法,74600000
华,74200000
非,74100000
刘,74000000
陈,73900000
门,73600000
米,73600000
黑,73500000
台,73500000
街,73500000
卡,73500000
包,73400000
事,73300000
安,73000000
馆,72800000
七,72600000
原,72400000
堂,72400000
行,72200000
老,72200000
双,72000000
员,71900000
得,71800000
子,71800000
病,71700000
眼,71600000
写,71600000
片,71600000
八,71500000
加,71200000
手,71100000
绿,71000000
友,70800000
色,70700000
白,70700000
级,70600000
从,70600000
漫,70500000
西,70200000
时,70200000
北,70200000
问,70000000
回,70000000
所,69900000
清,69700000
那,69600000
带,69600000
智,69500000
电,69500000
两,69400000
钢,69400000
送,69300000
强,69300000
港,69300000
又,69100000
村,69100000
选,69000000
情,68500000
九,68500000
油,68400000
单,68300000
十,68200000
正,68100000
豆,68000000
诗,67900000
样,67800000
黄,67700000
魔,67600000
防,67600000
泡,67500000
百,67500000
前,67400000
变,67400000
再,67300000
鞋,67300000
几,67300000
转,67300000
儿,67100000
套,66900000
神,66800000
林,66800000
见,66800000
篇,66600000
还,66600000
话,66600000
班,66400000
求,66200000
们,66200000
客,65900000
更,65800000
力,65700000
吃,65700000
治,65600000
雨,65600000
各,65600000
帖,65300000
火,65200000
记,65000000
院,64900000
关,64900000
近,64900000
玩,64800000
处,64600000
常,64500000
把,64400000
传,64200000
景,64100000
唱,64000000
窝,63900000
内,63900000
同,63700000
流,63700000
于,63600000
卫,63600000
课,63600000
自,63500000
画,63500000
只,63400000
铁,63300000
拍,63300000
岁,63200000
呢,63200000
东,63200000
或,63200000
杨,63100000
条,63100000
论,63000000
换,63000000
首,62900000
鱼,62800000
舞,62800000
系,62800000
球,62800000
译,62700000
收,62700000
代,62700000
狗,62600000
当,62600000
猫,62500000
星,62400000
破,62400000
场,62400000
卖,62200000
团,62100000
达,62000000
雪,61900000
他,61900000
笑,61900000
马,61700000
明,61700000
词,61700000
圈,61600000
票,61600000
牛,61600000
改,61600000
受,61400000
界,61400000
丁,61400000
低,61400000
以,61300000
谈,61300000
秀,61300000
太,61200000
信,61200000
贴,61100000
届,61000000
岛,61000000
证,60900000
头,60900000
博,60900000
光,60900000
主,60800000
像,60800000
如,60800000
走,60800000
口,60800000
亿,60700000
养,60700000
若,60700000
云,60500000
方,60500000
板,60500000
录,60400000
件,60400000
组,60400000
猪,60300000
剧,60200000
至,60100000
群,60100000
何,60000000
盘,60000000
座,60000000
向,59900000
死,59900000
秋,59900000
工,59800000
军,59800000
入,59700000
战,59600000
外,59600000
未,59600000
队,59600000
灯,59500000
科,59500000
兽,59400000
源,59300000
石,59300000
制,59200000
声,59200000
礼,59200000
酷,59100000
衣,59000000
热,59000000
获,59000000
仙,58900000
命,58900000
度,58800000
教,58700000
货,58600000
越,58500000
欧,58500000
印,58400000
着,58400000
击,58400000
南,58300000
乡,58200000
粉,58200000
短,58200000
桥,58100000
吴,58000000
量,58000000
解,58000000
屋,57900000
德,57900000
算,57800000
树,57700000
蓝,57700000
茶,57700000
假,57700000
语,57600000
啦,57600000
旧,57600000
叶,57500000
赛,57500000
配,57500000
订,57500000
增,57400000
古,57400000
半,57400000
别,57400000
曾,57300000
她,57300000
考,57300000
河,57200000
缘,57200000
虫,57200000
而,57200000
平,57100000
句,57100000
曲,57000000
罗,57000000
杯,57000000
史,56900000
洗,56800000
特,56700000
夜,56600000
血,56600000
哪,56600000
奖,56600000
仪,56500000
位,56500000
深,56400000
江,56300000
银,56200000
演,56200000
居,56200000
祝,56200000
副,56200000
由,56100000
香,56100000
服,56100000
费,56100000
但,56100000
玉,56000000
千,56000000
率,55900000
农,55900000
重,55800000
疯,55800000
纸,55700000
应,55700000
唐,55700000
难,55700000
今,55700000
创,55700000
影,55600000
连,55600000
定,55600000
设,55500000
经,55500000
作,55500000
供,55400000
精,55400000
少,55300000
虎,55300000
错,55300000
赵,55200000
交,55200000
段,55200000
紫,55200000
思,55100000
木,55100000
初,55100000
族,55100000
住,55100000
营,55000000
谢,55000000
共,55000000
急,55000000
纯,55000000
含,54900000
青,54900000
放,54900000
康,54900000
杀,54800000
钻,54800000
知,54700000
观,54700000
按,54700000
先,54600000
动,54600000
父,54600000
志,54500000
肉,54500000
面,54500000
跟,54500000
刚,54500000
宋,54400000
例,54400000
静,54200000
剂,54200000
促,54200000
春,54200000
胡,54100000
满,54100000
良,54100000
登,54100000
并,54000000
极,54000000
孙,53900000
鸟,53900000
编,53900000
此,53900000
湖,53800000
英,53800000
体,53800000
喜,53800000
任,53800000
利,53800000
令,53800000
彩,53800000
剑,53800000
现,53700000
苏,53700000
每,53700000
毛,53600000
佳,53600000
刀,53600000
阿,53600000
干,53600000
留,53500000
鬼,53500000
谷,53500000
降,53500000
户,53500000
感,53500000
宇,53300000
联,53300000
拉,53300000
徐,53200000
需,53200000
牌,53200000
广,53200000
反,53200000
顶,53200000
因,53100000
克,53100000
合,53000000
职,53000000
望,53000000
微,53000000
熊,53000000
迷,53000000
草,53000000
空,53000000
富,53000000
展,52900000
夏,52900000
些,52900000
母,52900000
穿,52900000
寻,52800000
忧,52700000
糖,52700000
相,52700000
仍,52700000
士,52700000
却,52700000
意,52600000
亚,52600000
公,52600000
仅,52600000
涨,52500000
么,52500000
布,52500000
盒,52400000
远,52400000
烟,52400000
旺,52400000
尚,52400000
其,52400000
底,52400000
必,52400000
域,52300000
约,52300000
升,52300000
随,52300000
气,52300000
峰,52300000
榜,52300000
案,52300000
铺,52200000
立,52200000
灰,52200000
田,52100000
顺,52100000
层,52100000
边,52100000
笔,52100000
指,52000000
盛,52000000
朱,51900000
取,51900000
皮,51900000
灵,51900000
册,51900000
京,51900000
减,51900000
欲,51800000
炎,51800000
武,51800000
权,51800000
亮,51800000
齐,51700000
派,51700000
雷,51700000
采,51700000
调,51700000
呀,51600000
码,51600000
落,51600000
爆,51600000
福,51600000
零,51500000
除,51500000
刻,51500000
余,51400000
直,51400000
言,51400000
宁,51400000
菜,51400000
久,51400000
胶,51400000
架,51400000
追,51400000
汇,51400000
医,51300000
使,51300000
著,51200000
领,51200000
冷,51200000
恋,51200000
奥,51200000
钟,51100000
艺,51100000
伤,51100000
梁,51100000
封,51100000
翻,51100000
币,51100000
照,51000000
项,51000000
箱,51000000
戏,51000000
傻,51000000
兴,51000000
足,51000000
矿,51000000
世,50900000
轮,50900000
离,50900000
冲,50900000
州,50800000
它,50800000
输,50800000
乱,50800000
免,50800000
步,50800000
党,50800000
孔,50800000
船,50800000
味,50700000
奇,50700000
波,50700000
赚,50700000
兵,50700000
音,50600000
征,50600000
形,50600000
民,50600000
基,50600000
存,50600000
亦,50500000
郑,50500000
素,50500000
宫,50500000
块,50500000
折,50400000
丝,50400000
泪,50400000
优,50300000
痛,50300000
松,50300000
轻,50300000
镜,50300000
讲,50300000
饭,50300000
保,50300000
雅,50200000
软,50200000
税,50200000
许,50200000
煤,50200000
狼,50200000
补,50200000
份,50200000
准,50200000
琴,50100000
哈,50100000
角,50100000
结,50100000
计,50100000
端,50100000
左,50100000
附,50100000
宏,50000000
早,50000000
症,50000000
汤,50000000
身,50000000
圣,50000000
另,50000000
拿,50000000
官,50000000
聚,50000000
救,50000000
活,50000000
哭,50000000
汉,49900000
致,49900000
占,49900000
缺,49900000
某,49900000
