# 来源：常用汉字使用频率表(Google)
# 制作：2005 黄勇 http://yong321.freeshell.org/misc/ChineseCharFrequency.html
"汉字","频次"
二,3210000000
三,3190000000
四,2470000000
六,2290000000
七,1970000000
零,1090000000
本,204000000
日,144000000
所,116000000
下,116000000
时,109000000
的,99500000
年,99000000
区,96400000
小,95600000
可,92900000
一,88600000
图,87600000
月,86800000
全,80200000
中,70400000
我,64300000
上,60500000
个,59100000
等,58800000
台,58300000
过,56000000
人,55500000
请,52800000
版,52300000
新,51700000
方,47700000
回,47700000
第,46300000
会,46300000
元,46100000
者,45800000
都,45300000
大,45300000
比,45200000
内,45200000
用,44800000
名,43100000
水,43000000
没,42700000
即,42700000
在,42400000
件,42400000
与,42400000
和,41600000
后,40400000
太,40200000
走,40100000
前,39600000
分,39300000
买,39200000
多,39100000
各,38500000
网,38000000
加,37900000
次,37800000
带,37700000
几,37500000
你,37000000
号,36500000
单,36300000
社,36000000
为,35500000
他,35200000
最,34900000
由,34700000
有,34700000
是,33900000
爱,33600000
先,33500000
部,33000000
更,32700000
别,32200000
性,31400000
帖,31300000
表,31000000
成,30600000
化,30500000
男,30400000
不,30300000
数,29600000
及,29500000
了,29100000
点,29000000
行,28700000
岁,28600000
自,28000000
服,27700000
到,27700000
将,27500000
高,27200000
您,26900000
集,26800000
专,26600000
间,26500000
码,26300000
国,26200000
入,25800000
文,25600000
界,25500000
或,25400000
之,25200000
对,25200000
率,24900000
金,24700000
馆,24700000
以,24600000
要,24500000
系,24500000
型,24200000
原,23900000
达,23600000
站,23600000
法,23600000
书,23600000
当,23600000
园,23500000
啊,23400000
地,23300000
机,23000000
并,22900000
女,22900000
于,22600000
能,22300000
费,22300000
出,22000000
约,21900000
来,21800000
皆,21700000
山,21600000
种,21500000
际,21400000
语,21400000
也,21400000
好,21400000
字,21400000
子,21200000
再,21000000
被,20900000
家,20900000
场,20800000
页,20700000
气,20700000
位,20700000
这,20600000
李,20600000
外,20600000
学,20600000
今,20500000
局,20400000
百,20300000
问,20200000
车,20100000
从,20100000
就,20000000
市,20000000
而,19900000
私,19900000
非,19800000
夹,19800000
手,19700000
给,19600000
例,19600000
长,19500000
万,19200000
着,19100000
正,19100000
同,19000000
式,18900000
史,18900000
力,18700000
共,18700000
度,18500000
省,18300000
目,18300000
期,18300000
两,18300000
何,18100000
主,18100000
条,18000000
其,18000000
已,18000000
诚,17900000
事,17900000
室,17900000
无,17700000
此,17700000
超,17600000
曲,17600000
还,17400000
报,17400000
商,17400000
重,17300000
编,17200000
木,17100000
向,17100000
坐,17000000
让,16900000
笑,16900000
得,16900000
项,16700000
氏,16700000
东,16700000
陈,16500000
该,16500000
美,16500000
白,16400000
类,16400000
士,16300000
组,16200000
很,16200000
业,16200000
如,16200000
班,16100000
体,15900000
十,15900000
看,15800000
物,15800000
店,15800000
未,15800000
品,15800000
土,15700000
作,15700000
节,15600000
说,15600000
至,15500000
天,15500000
帮,15400000
做,15400000
招,15300000
但,15300000
信,15300000
受,15100000
身,15000000
面,15000000
王,15000000
级,15000000
安,15000000
刘,15000000
只,15000000
株,14900000
见,14800000
首,14800000
线,14800000
米,14800000
生,14800000
周,14800000
心,14800000
存,14800000
张,14700000
通,14600000
发,14600000
想,14500000
光,14400000
南,14400000
路,14300000
门,14300000
火,14300000
使,14300000
又,14300000
西,14200000
象,14200000
话,14200000
道,14200000
住,14200000
展,14200000
叶,14000000
里,13900000
谁,13900000
五,13900000
低,13900000
双,13900000
把,13800000
每,13800000
料,13800000
代,13800000
半,13800000
色,13700000
起,13700000
量,13600000
北,13600000
京,13600000
现,13500000
查,13400000
浪,13400000
工,13400000
免,13200000
阶,13100000
真,13100000
科,13100000
儿,13100000
花,13000000
总,13000000
初,13000000
进,12900000
教,12800000
星,12800000
开,12800000
均,12800000
课,12700000
电,12500000
旧,12500000
形,12500000
员,12500000
去,12400000
海,12400000
声,12400000
转,12300000
设,12300000
春,12300000
卖,12300000
选,12200000
银,12200000
应,12200000
动,12100000
强,12100000
快,12100000
音,12000000
校,12000000
材,12000000
便,12000000
常,12000000
需,11900000
钱,11900000
责,11900000
研,11900000
按,11900000
则,11900000
制,11900000
吗,11900000
群,11800000
客,11700000
因,11700000
贸,11600000
短,11600000
像,11600000
感,11600000
族,11600000
副,11600000
它,11600000
届,11600000
院,11500000
记,11500000
风,11500000
证,11500000
热,11500000
牌,11500000
林,11500000
处,11500000
付,11500000
华,11500000
论,11400000
剑,11400000
秋,11300000
理,11300000
梦,11300000
英,11200000
才,11200000
占,11200000
近,11100000
价,11100000
层,11100000
亿,11000000
排,11000000
创,11000000
计,10900000
饮,10800000
称,10800000
流,10800000
定,10800000
们,10800000
谈,10700000
顺,10700000
票,10600000
引,10600000
建,10600000
案,10500000
头,10500000
卡,10500000
质,10400000
保,10400000
除,10300000
送,10300000
财,10300000
街,10300000
经,10300000
基,10300000
器,10300000
注,10300000
旅,10300000
侧,10300000
夏,10300000
调,10200000
额,10200000
竞,10200000
母,10200000
备,10200000
刊,10200000
那,10100000
联,10100000
少,10100000
著,9990000
死,9990000
资,9980000
连,9980000
知,9980000
楼,9980000
番,9950000
波,9950000
显,9950000
公,9950000
情,9940000
州,9920000
章,9880000
雨,9870000
神,9860000
博,9850000
写,9840000
黄,9830000
特,9830000
篇,9830000
口,9830000
纸,9810000
管,9790000
明,9790000
考,9780000
城,9750000
打,9740000
岛,9740000
倍,9740000
片,9720000
夜,9720000
曾,9690000
港,9690000
税,9670000
库,9660000
闻,9600000
奖,9580000
仅,9550000
马,9530000
具,9530000
右,9520000
较,9480000
孙,9450000
讯,9440000
评,9430000
易,9400000
栏,9320000
言,9300000
职,9300000
反,9240000
伤,9220000
令,9220000
赏,9210000
却,9210000
合,9200000
权,9190000
吧,9190000
彩,9100000
速,9090000
礼,9090000
食,9070000
购,9060000
屋,9060000
相,9050000
段,9030000
观,9020000
找,9000000
空,8990000
源,8970000
求,8970000
导,8970000
邮,8940000
左,8940000
款,8870000
指,8860000
八,8860000
获,8850000
难,8830000
江,8810000
村,8790000
务,8760000
余,8740000
千,8740000
志,8720000
香,8670000
赵,8660000
供,8640000
背,8620000
视,8590000
阿,8560000
利,8550000
老,8540000
若,8510000
诸,8500000
另,8470000
森,8450000
准,8440000
差,8440000
题,8400000
档,8400000
早,8400000
租,8350000
龙,8310000
冬,8310000
贴,8280000
读,8270000
病,8260000
役,8260000
讲,8240000
直,8230000
影,8210000
装,8190000
放,8170000
修,8170000
秒,8160000
某,8130000
深,8130000
歌,8130000
立,8120000
民,8110000
优,8110000
游,8100000
官,8100000
农,8090000
呢,8070000
座,8040000
访,8030000
办,8030000
交,8030000
极,8030000
鸟,8020000
接,8020000
朝,8020000
世,8020000
派,7980000
防,7950000
据,7950000
平,7940000
营,7920000
赛,7910000
争,7890000
红,7860000
必,7860000
她,7850000
广,7820000
医,7800000
试,7790000
亲,7780000
御,7770000
幅,7760000
程,7750000
杨,7750000
征,7750000
听,7740000
友,7740000
足,7710000
印,7710000
活,7700000
份,7700000
远,7690000
冰,7690000
完,7680000
负,7630000
姿,7630000
属,7630000
券,7630000
九,7620000
技,7610000
玩,7590000
清,7580000
值,7580000
取,7580000
任,7550000
盘,7540000
附,7530000
含,7520000
箱,7510000
宝,7510000
控,7500000
收,7490000
变,7480000
预,7470000
军,7470000
仍,7470000
意,7460000
换,7440000
户,7390000
包,7380000
严,7360000
欧,7350000
房,7350000
纯,7340000
胡,7330000
厂,7330000
术,7330000
奇,7300000
传,7290000
尚,7270000
味,7270000
售,7260000
词,7250000
扣,7250000
搞,7250000
君,7250000
改,7240000
徐,7220000
盖,7210000
团,7210000
石,7200000
委,7200000
销,7180000
册,7180000
筛,7170000
环,7160000
板,7120000
揉,7120000
富,7120000
秀,7110000
稿,7100000
川,7090000
犬,7080000
提,7080000
田,7060000
末,7060000
飞,7050000
货,7050000
赤,7000000
域,7000000
青,6990000
整,6990000
拿,6970000
格,6970000
容,6960000
逆,6950000
核,6950000
久,6950000
胜,6920000
师,6920000
解,6900000
奥,6900000
吃,6890000
杯,6880000
堂,6870000
晚,6860000
吴,6860000
录,6850000
古,6830000
链,6810000
队,6790000
亚,6790000
且,6760000
酒,6740000
鱼,6740000
顷,6740000
置,6710000
雪,6690000
桥,6680000
割,6660000
密,6660000
列,6660000
旬,6650000
刚,6650000
跟,6630000
油,6630000
划,6630000
罗,6620000
支,6620000
关,6610000
股,6600000
干,6600000
党,6590000
命,6590000
配,6580000
顶,6580000
卫,6580000
画,6570000
运,6560000
搜,6530000
测,6520000
照,6510000
简,6510000
战,6510000
凡,6500000
套,6470000
眼,6440000
乐,6410000
球,6400000
欲,6400000
拉,6400000
维,6380000
拍,6370000
览,6360000
许,6340000
毛,6340000
越,6330000
康,6320000
急,6320000
标,6320000
示,6310000
刀,6310000
尽,6270000
福,6260000
蓝,6250000
佳,6230000
司,6230000
宁,6220000
良,6210000
状,6210000
黑,6190000
既,6190000
底,6180000
彼,6180000
载,6170000
袍,6170000
企,6160000
喘,6160000
厅,6130000
笔,6120000
湖,6120000
兼,6120000
洋,6110000
依,6110000
留,6100000
旦,6100000
云,6090000
治,6090000
圣,6080000
迎,6070000
政,6070000
角,6050000
亦,6050000
投,6040000
叫,6040000
精,6030000
恋,6030000
艺,6020000
句,6020000
府,6000000
胸,5990000
朱,5990000
健,5990000
持,5980000
汤,5970000
哪,5970000
模,5950000
样,5950000
野,5940000
算,5940000
端,5940000
键,5930000
协,5930000
轮,5920000
推,5920000
适,5910000
参,5910000
遭,5900000
助,5890000
寄,5890000
离,5880000
猫,5870000
牛,5850000
县,5850000
横,5850000
亮,5840000
减,5840000
边,5810000
势,5810000
产,5800000
温,5790000
酷,5780000
独,5780000
敲,5780000
锻,5770000
血,5770000
松,5750000
思,5740000
智,5730000
祝,5710000
降,5690000
议,5680000
梁,5670000
陆,5660000
折,5660000
永,5660000
施,5660000
细,5650000
树,5650000
升,5650000
苏,5630000
漫,5630000
登,5620000
驻,5610000
杀,5610000
境,5610000
跳,5600000
脱,5590000
演,5590000
满,5590000
尾,5570000
船,5560000
往,5560000
唐,5560000
随,5550000
须,5550000
实,5550000
块,5540000
茶,5530000
掉,5510000
泰,5510000
贵,5500000
护,5500000
布,5500000
略,5480000
甲,5480000
郑,5470000
纳,5470000
架,5450000
季,5450000
结,5430000
鞭,5420000
判,5420000
禽,5410000
居,5410000
虏,5400000
致,5400000
素,5390000
床,5390000
旨,5390000
待,5390000
藏,5370000
断,5370000
异,5360000
增,5360000
补,5350000
根,5350000
克,5350000
造,5340000
狂,5330000
谢,5300000
答,5300000
席,5300000
隐,5290000
谷,5260000
靠,5260000
泉,5260000
领,5230000
肉,5230000
景,5230000
功,5220000
秘,5210000
忘,5210000
破,5200000
药,5190000
规,5180000
抗,5180000
封,5180000
育,5140000
德,5140000
微,5140000
镇,5130000
申,5130000
损,5130000
警,5120000
皮,5120000
武,5120000
症,5100000
衣,5090000
魔,5090000
狗,5080000
舞,5070000
步,5070000
唱,5070000
诗,5060000
限,5050000
软,5050000
扒,5050000
雅,5040000
抢,5040000
挂,5040000
义,5040000
切,5040000
耳,5020000
繁,5020000
丽,5020000
告,5010000
斯,4980000
圈,4960000
冷,4950000
丁,4950000
退,4940000
父,4940000
范,4930000
鬼,4930000
峰,4930000
确,4920000
愿,4920000
榜,4920000
婚,4920000
隆,4910000
赚,4910000
普,4900000
宫,4900000
餐,4890000
草,4890000
压,4890000
拣,4890000
壁,4880000
咽,4880000
落,4870000
益,4860000
央,4860000
仆,4860000
宋,4850000
摘,4840000
毒,4840000
弱,4840000
倒,4840000
帐,4830000
些,4820000
穿,4810000
望,4810000
夫,4810000
抓,4800000
摩,4800000
袋,4790000
狐,4790000
监,4780000
订,4770000
果,4770000
湾,4770000
错,4750000
策,4750000
河,4750000
借,4750000
赴,4740000
竿,4740000
爆,4720000
弄,4720000
典,4720000
兴,4720000
丸,4720000
粉,4710000
庆,4710000
迷,4700000
镜,4690000
铃,4690000
假,4680000
谜,4660000
杜,4660000
淘,4650000
芬,4640000
妥,4640000
脚,4620000
巨,4620000
阳,4610000
究,4590000
瑞,4590000
批,4590000
萍,4580000
棍,4580000
惜,4570000
汉,4570000
追,4560000
棒,4560000
怖,4550000
播,4550000
乳,4550000
剧,4550000
寺,4550000
豪,4530000
互,4530000
寻,4530000
郎,4520000
裹,4520000
汇,4520000
嘉,4520000
丰,4520000
误,4510000
纪,4510000
唤,4510000
故,4500000
趣,4490000
衬,4490000
绿,4490000
喜,4490000
激,4480000
竹,4460000
决,4460000
宏,4460000
肤,4450000
晨,4450000
跑,4440000
睁,4440000
池,4430000
乱,4430000
尼,4430000
露,4420000
趴,4420000
养,4420000
啦,4420000
娘,4420000
玉,4410000
毯,4410000
铁,4400000
竖,4400000
梅,4400000
仁,4400000
麦,4390000
脊,4390000
宿,4390000
吉,4390000
威,4380000
般,4370000
塔,4370000
齐,4360000
轻,4350000
酿,4350000
遵,4350000
拦,4350000
渠,4350000
迈,4340000
蹦,4330000
铅,4330000
钟,4330000
移,4330000
勾,4330000
吨,4330000
停,4330000
予,4320000
鞋,4310000
虚,4310000
匙,4310000
归,4310000
静,4300000
菜,4300000
索,4300000
跌,4280000
鸡,4280000
搅,4280000
递,4270000
认,4270000
肌,4270000
矮,4270000
搂,4270000
冲,4270000
困,4270000
厚,4260000
响,4260000
妻,4260000
融,4250000
窗,4250000
柱,4250000
怪,4250000
众,4250000
艘,4240000
盟,4240000
么,4230000
窑,4220000
痛,4220000
液,4220000
赢,4210000
踪,4210000
沙,4210000
腔,4200000
盛,4200000
昏,4200000
巴,4200000
宵,4200000
膜,4190000
蒜,4190000
薄,4190000
灯,4190000
探,4190000
戴,4190000
休,4190000
禁,4180000
谊,4170000
铺,4170000
瞎,4170000
序,4170000
承,4170000
态,4150000
浩,4150000
揭,4150000
兰,4150000
输,4140000
涨,4130000
挪,4120000
善,4120000
井,4110000
惊,4100000
虫,4090000
跨,4090000
充,4090000
复,4090000
骨,4080000
豆,4080000
笋,4080000
扁,4080000
凭,4080000
延,4080000
荡,4070000
积,4070000
构,4070000
拼,4070000
恐,4070000
仗,4070000
芒,4060000
钢,4060000
荐,4060000
巩,4060000
介,4060000
勇,4060000
帘,4050000
坊,4050000
葱,4040000
终,4040000
呀,4040000
辽,4030000
炎,4030000
秤,4020000
统,4020000
紫,4020000
泼,4020000
息,4020000
喝,4020000
逗,4010000
狼,4010000
瞧,4000000
狭,4000000
拨,4000000
洗,4000000
倚,4000000
冠,4000000
筋,3990000
岸,3980000
宅,3980000
盒,3970000
刻,3970000
卷,3970000
骡,3960000
缘,3960000
悉,3960000
奋,3960000
疑,3950000
枣,3950000
毅,3950000
坏,3950000
虎,3940000
蹲,3940000
窜,3940000
慌,3940000
烛,3930000
熊,3920000
续,3920000
庭,3920000
殿,3920000
揪,3920000
宜,3920000
妹,3920000
斗,3910000
凯,3910000
荷,3900000
沈,3900000
违,3890000
攻,3890000
宽,3890000
螺,3880000
航,3880000
遇,3880000
罪,3880000
怜,3880000
杰,3870000
守,3870000
骄,3860000
翻,3860000
仪,3860000
哨,3860000
哈,3860000
雄,3850000
暮,3850000
兵,3850000
审,3850000
锤,3840000
贝,3840000
举,3840000
丝,3840000
魂,3830000
砌,3830000
庄,3830000
歇,3830000
填,3830000
隶,3820000
止,3820000
脆,3810000
诞,3810000
碍,3810000
散,3810000
兽,3810000
逝,3800000
猪,3800000
暂,3800000
腊,3790000
酸,3790000
顽,3790000
疆,3790000
消,3790000
津,3790000
丹,3790000
虽,3780000
辣,3780000
忽,3780000
隙,3770000
鲁,3770000
灵,3770000
珠,3760000
欺,3760000
棵,3760000
宇,3760000
叔,3760000
怕,3750000
侄,3750000
冶,3750000
什,3750000
催,3750000
莫,3740000
闪,3740000
竟,3740000
挨,3740000
始,3740000
蓬,3730000
汗,3730000
渗,3730000
栋,3730000
害,3730000
烧,3720000
恒,3720000
穴,3710000
添,3710000
患,3710000
馅,3700000
润,3700000
橡,3700000
替,3700000
己,3700000
胞,3690000
眉,3690000
享,3690000
概,3690000
圆,3680000
泊,3680000
洁,3680000
似,3680000
失,3680000
猛,3670000
献,3660000
童,3660000
滑,3660000
筑,3650000
拌,3650000
岩,3650000
乡,3650000
念,3650000
浅,3640000
仙,3640000
骤,3630000
耐,3630000
钥,3630000
贩,3630000
紧,3630000
仔,3630000
雷,3620000
奸,3620000
瘦,3610000
潮,3610000
腰,3600000
阵,3600000
疲,3600000
针,3590000
狸,3590000
掌,3590000
梳,3590000
滥,3590000
幻,3590000
苦,3570000
玻,3570000
撕,3570000
杆,3570000
耗,3560000
羽,3560000
签,3560000
哥,3560000
胀,3550000
然,3550000
脸,3540000
羞,3540000
浇,3540000
恶,3540000
击,3540000
茂,3530000
锁,3530000
糊,3530000
废,3530000
惑,3530000
殊,3530000
捞,3530000
循,3530000
赠,3520000
舒,3520000
棕,3520000
够,3520000
逮,3510000
贺,3510000
闸,3510000
临,3510000
颗,3500000
邀,3500000
肩,3500000
烟,3500000
捆,3500000
宗,3500000
塌,3500000
贱,3490000
祖,3490000
劲,3490000
劣,3490000
艇,3480000
残,3480000
撇,3480000
佛,3480000
兄,3480000
陶,3470000
救,3470000
混,3470000
坛,3470000
蜡,3460000
酱,3460000
饶,3460000
饭,3460000
痰,3460000
挺,3460000
检,3460000
戏,3460000
蚁,3450000
煌,3450000
呜,3450000
币,3450000
抱,3440000
扰,3440000
屑,3440000
芝,3430000
践,3430000
锅,3430000
锦,3430000
舟,3430000
湿,3430000
扬,3430000
透,3420000
缸,3420000
灿,3420000
枯,3420000
呼,3420000
吹,3420000
骆,3410000
述,3410000
摆,3410000
伟,3410000
嫂,3410000
饰,3400000
铜,3400000
薯,3400000
疮,3400000
厉,3400000
脑,3390000
贷,3390000
聚,3390000
糖,3390000
硬,3390000
掠,3390000
慢,3390000
屠,3390000
丘,3390000
辆,3380000
燃,3380000
柳,3380000
霉,3370000
辨,3370000
腾,3370000
肆,3370000
顿,3370000
础,3370000
嫌,3370000
敢,3360000
忙,3360000
犯,3350000
绝,3350000
挽,3350000
俊,3350000
腿,3340000
荣,3340000
遍,3340000
携,3340000
锯,3330000
纠,3330000
喷,3330000
羊,3320000
拘,3320000
偏,3320000
虑,3310000
练,3300000
睡,3300000
妙,3300000
薪,3290000
粒,3290000
呈,3290000
燥,3280000
墙,3280000
董,3270000
粗,3270000
搁,3270000
哑,3270000
孔,3270000
蚀,3260000
鸽,3260000
抖,3260000
乖,3260000
宙,3260000
寇,3260000
隔,3250000
缺,3250000
敞,3250000
固,3250000
疤,3240000
暴,3240000
净,3240000
塑,3240000
孩,3240000
瓶,3230000
嫁,3230000
哄,3230000
继,3220000
柏,3220000
驳,3210000
灰,3210000
恩,3210000
冤,3210000
刮,3210000
返,3200000
译,3200000
遣,3200000
晶,3200000
幸,3200000
伐,3200000
寿,3200000
葡,3190000
败,3190000
颠,3180000
识,3180000
忧,3180000
炒,3170000
疯,3170000
拒,3170000
悔,3170000
哲,3170000
采,3160000
阁,3160000
顾,3160000
浴,3160000
乃,3160000
幕,3160000
捷,3150000
伴,3150000
促,3150000
肠,3140000
坟,3140000
操,3130000
哭,3130000
效,3120000
敏,3120000
梢,3120000
担,3120000
渣,3120000
卵,3120000
谦,3110000
析,3110000
泡,3110000
怠,3110000
扇,3110000
窃,3100000
嚼,3100000
暗,3100000
朗,3100000
浊,3100000
兆,3100000
娃,3100000
辅,3090000
乙,3090000
射,3090000
枪,3080000
谅,3070000
阀,3070000
粪,3070000
捏,3070000
姓,3070000
释,3060000
蠢,3060000
萝,3060000
皇,3060000
唯,3060000
串,3060000
帽,3060000
燕,3050000
稻,3050000
振,3050000
淡,3050000
昼,3050000
剥,3050000
偷,3050000
盗,3040000
亭,3040000
葬,3030000
垒,3030000
纱,3020000
烘,3020000
劈,3020000
敌,3020000
椒,3020000
搏,3020000
巧,3020000
忍,3020000
鹿,3010000
鼻,3010000
翅,3010000
括,3010000
况,3010000
尿,3010000
夺,3010000
熔,3000000
累,3000000
摄,3000000
乘,3000000
吸,3000000
旺,2990000
乔,2990000
霸,2980000
爽,2980000
汽,2980000
渴,2980000
希,2980000
距,2970000
稳,2970000
滤,2970000
洪,2970000
鹅,2960000
裕,2960000
掩,2960000
惹,2960000
辉,2950000
迹,2950000
