# 根据国家出版局抽样统计，汉字中最常用字 560 个，常用字 807 个，次常用字 1033 个。三者合计2400 个，占一般书刊用字的 99%。
# 使用频率排名第1–5个汉字（使用频率之和为10%）
# 使用频率排名第6–17个汉字（使用频率之和为10%）
# 使用频率排名第18–42个汉字（使用频率之和为10%）
# 使用频率排名第43–79个汉字（使用频率之和为10%）
# 使用频率排名第80–140个汉字（使用频率之和为10%）
# 使用频率排名第141–232个的汉字（92个汉字，使用频率之和为10%）
# 使用频率排名第233-380个的汉字（148个汉字，使用频率之和10%）
# 使用频率排名第381–500个的汉字（118个汉字，使用频率之和5.43%）
"Rank","Character"
001,的
002,一
003,是
004,了
005,我
006,不
007,人
008,在
009,他
010,有
011,这
012,个
013,上
014,们
015,来
016,到
017,时
018,大
019,地
020,为
021,子
022,中
023,你
024,说
025,生
026,国
027,年
028,着
029,就
030,那
031,和
032,要
033,她
034,出
035,也
036,得
037,里
038,后
039,自
040,以
041,会
042,家
043,可
044,下
045,而
046,过
047,天
048,去
049,能
050,对
051,小
052,多
053,然
054,于
055,心
056,学
057,么
058,之
059,都
060,好
061,看
062,起
063,发
064,当
065,没
066,成
067,只
068,如
069,事
070,把
071,还
072,用
073,第
074,样
075,道
076,想
077,作
078,种
079,开
080,美
081,总
082,从
083,无
084,情
085,己
086,面
087,最
088,女
089,但
090,现
091,前
092,些
093,所
094,同
095,日
096,手
097,又
098,行
099,意
100,动
101,方
102,期
103,它
104,头
105,经
106,长
107,儿
108,回
109,位
110,分
111,爱
112,老
113,因
114,很
115,给
116,名
117,法
118,间
119,斯
120,知
121,世
122,什
123,两
124,次
125,使
126,身
127,者
128,被
129,高
130,已
131,亲
132,其
133,进
134,此
135,话
136,常
137,与
138,活
139,正
140,感
141,见
142,明
143,问
144,力
145,理
146,尔
147,点
148,文
149,几
150,定
151,本
152,公
153,特
154,做
155,外
156,孩
157,相
158,西
159,果
160,走
161,将
162,月
163,十
164,实
165,向
166,声
167,车
168,全
169,信
170,重
171,三
172,机
173,工
174,物
175,气
176,每
177,并
178,别
179,真
180,打
181,太
182,新
183,比
184,才
185,便
186,夫
187,再
188,书
189,部
190,水
191,像
192,眼
193,等
194,体
195,却
196,加
197,电
198,主
199,界
200,门
201,利
202,海
203,受
204,听
205,表
206,德
207,少
208,克
209,代
210,员
211,许
212,稜
213,先
214,口
215,由
216,死
217,安
218,写
219,性
220,马
221,光
222,白
223,或
224,住
225,难
226,望
227,教
228,命
229,花
230,结
231,乐
232,色
233,更
234,拉
235,东
236,神
237,记
238,处
239,让
240,母
241,父
242,应
243,直
244,字
245,场
246,平
247,报
248,友
249,关
250,放
251,至
252,张
253,认
254,接
255,告
256,入
257,笑
258,内
259,英
260,军
261,候
262,民
263,岁
264,往
265,何
266,度
267,山
268,觉
269,路
270,带
271,万
272,男
273,边
274,风
275,解
276,叫
277,任
278,金
279,快
280,原
281,吃
282,妈
283,变
284,通
285,师
286,立
287,象
288,数
289,四
290,失
291,满
292,战
293,远
294,格
295,士
296,音
297,轻
298,目
299,条
300,呢
301,病
302,始
303,达
304,深
305,完
306,今
307,提
308,求
309,清
310,王
311,化
312,空
313,业
314,思
315,切
316,怎
317,非
318,找
319,片
320,罗
321,钱
322,紶
323,吗
324,语
325,元
326,喜
327,曾
328,离
329,飞
330,科
331,言
332,干
333,流
334,欢
335,约
336,各
337,即
338,指
339,合
340,反
341,题
342,必
343,该
344,论
345,交
346,终
347,林
348,请
349,医
350,晚
351,制
352,球
353,决
354,窢
355,传
356,画
357,保
358,读
359,运
360,及
361,则
362,房
363,早
364,院
365,量
366,苦
367,火
368,布
369,品
370,近
371,坐
372,产
373,答
374,星
375,精
376,视
377,五
378,连
379,司
380,巴
381,奇
382,管
383,类
384,未
385,朋
386,且
387,婚
388,台
389,夜
390,青
391,北
392,队
393,久
394,乎
395,越
396,观
397,落
398,尽
399,形
400,影
401,红
402,爸
403,百
404,令
405,周
406,吧
407,识
408,步
409,希
410,亚
411,术
412,留
413,市
414,半
415,热
416,送
417,兴
418,造
419,谈
420,容
421,极
422,随
423,演
424,收
425,首
426,根
427,讲
428,整
429,式
430,取
431,照
432,办
433,强
434,石
435,古
436,华
437,諣
438,拿
439,计
440,您
441,装
442,似
443,足
444,双
445,妻
446,尼
447,转
448,诉
449,米
450,称
451,丽
452,客
453,南
454,领
455,节
456,衣
457,站
458,黑
459,刻
460,统
461,断
462,福
463,城
464,故
465,历
466,惊
467,脸
468,选
469,包
470,紧
471,争
472,另
473,建
474,维
475,绝
476,树
477,系
478,伤
479,示
480,愿
481,持
482,千
483,史
484,谁
485,准
486,联
487,妇
488,纪
489,基
490,买
491,志
492,静
493,阿
494,诗
495,独
496,复
497,痛
498,消
499,社
500,算
501,义
502,竟
503,确
504,酒
505,需
506,单
507,治
508,卡
509,幸
510,兰
511,念
512,举
513,仅
514,钟
515,怕
516,共
517,毛
518,句
519,息
520,功
521,官
522,待
523,究
524,跟
525,穿
526,室
527,易
528,游
529,程
530,号
531,居
532,考
533,突
534,皮
535,哪
536,费
537,倒
538,价
539,图
540,具
541,刚
542,脑
543,永
544,歌
545,响
546,商
547,礼
548,细
549,专
550,黄
551,块
552,脚
553,味
554,灵
555,改
556,据
557,般
558,破
559,引
560,食
561,仍
562,存
563,众
564,注
565,笔
566,甚
567,某
568,沉
569,血
570,备
571,习
572,校
573,默
574,务
575,土
576,微
577,娘
578,须
579,试
580,怀
581,料
582,调
583,广
584,蜖
585,苏
586,显
587,赛
588,查
589,密
590,议
591,底
592,列
593,富
594,梦
595,错
596,座
597,参
598,八
599,除
600,跑
601,亮
602,假
603,印
604,设
605,线
606,温
607,虽
608,掉
609,京
610,初
611,养
612,香
613,停
614,际
615,致
616,阳
617,纸
618,李
619,纳
620,验
621,助
622,激
623,够
624,严
625,证
626,帝
