# 来源：常用汉字使用频率表(Yahoo)
# 制作：2009 黄勇 http://yong321.freeshell.org/misc/ChineseCharFrequency.html
"Character","Count"
的,10200000000
年,9670000000
日,9260000000
月,9200000000
中,9030000000
一,7890000000
人,7780000000
上,7290000000
大,6520000000
新,6270000000
在,5950000000
是,5930000000
不,5700000000
等,5660000000
有,5630000000
最,5540000000
本,5510000000
前,5380000000
我,5240000000
和,5050000000
下,5020000000
多,5000000000
次,4870000000
市,4810000000
了,4730000000
者,4590000000
用,4330000000
更,4320000000
都,4250000000
您,4220000000
号,4080000000
名,3980000000
为,3960000000
要,3950000000
到,3930000000
方,3860000000
之,3700000000
小,3700000000
分,3680000000
内,3640000000
好,3570000000
也,3540000000
第,3530000000
会,3530000000
他,3490000000
你,3430000000
与,3420000000
三,3370000000
元,3360000000
及,3330000000
就,3160000000
高,3130000000
版,3130000000
家,3130000000
所,3120000000
可,3100000000
或,3080000000
能,3030000000
网,3000000000
个,2880000000
全,2870000000
二,2820000000
地,2820000000
请,2770000000
看,2750000000
以,2740000000
天,2680000000
水,2640000000
位,2630000000
对,2630000000
被,2620000000
先,2590000000
再,2590000000
将,2510000000
万,2490000000
数,2480000000
金,2450000000
各,2450000000
回,2370000000
事,2360000000
而,2330000000
站,2300000000
件,2300000000
很,2290000000
已,2270000000
后,2270000000
四,2250000000
由,2240000000
未,2190000000
得,2180000000
做,2180000000
来,2170000000
于,2150000000
区,2120000000
点,2100000000
店,2100000000
还,2080000000
想,2070000000
此,2060000000
这,2050000000
又,2020000000
只,2000000000
并,1980000000
给,1970000000
但,1970000000
私,1950000000
何,1950000000
今,1940000000
集,1930000000
页,1890000000
部,1850000000
性,1830000000
两,1830000000
五,1820000000
木,1810000000
时,1810000000
美,1800000000
去,1800000000
把,1800000000
出,1790000000
如,1790000000
花,1780000000
土,1780000000
目,1760000000
火,1760000000
从,1750000000
女,1720000000
让,1710000000
近,1710000000
表,1700000000
备,1700000000
手,1690000000
共,1690000000
向,1650000000
至,1640000000
说,1630000000
着,1630000000
心,1630000000
法,1620000000
条,1620000000
其,1620000000
省,1600000000
当,1600000000
度,1590000000
该,1580000000
型,1570000000
台,1550000000
外,1540000000
起,1530000000
超,1520000000
吧,1510000000
过,1500000000
系,1500000000
篇,1490000000
才,1480000000
每,1470000000
男,1430000000
体,1430000000
太,1400000000
图,1400000000
十,1380000000
比,1370000000
非,1350000000
加,1350000000
成,1320000000
无,1310000000
国,1310000000
笑,1300000000
色,1290000000
里,1280000000
行,1280000000
化,1250000000
真,1240000000
六,1230000000
同,1230000000
那,1220000000
品,1220000000
按,1200000000
字,1200000000
京,1180000000
因,1180000000
主,1180000000
道,1170000000
生,1150000000
力,1150000000
初,1150000000
发,1150000000
找,1140000000
代,1140000000
设,1130000000
爱,1120000000
感,1120000000
夜,1100000000
均,1090000000
社,1080000000
打,1080000000
走,1070000000
使,1070000000
式,1070000000
路,1060000000
室,1060000000
呢,1060000000
子,1060000000
送,1050000000
低,1040000000
作,1040000000
几,1040000000
山,1040000000
像,1020000000
快,1020000000
声,1010000000
吗,991000000
自,968000000
期,961000000
首,959000000
米,939000000
光,939000000
总,938000000
屋,935000000
物,933000000
量,932000000
即,921000000
它,918000000
海,907000000
文,907000000
正,904000000
七,900000000
受,892000000
久,884000000
跟,881000000
北,861000000
啊,861000000
需,858000000
玩,858000000
吃,852000000
她,849000000
若,847000000
老,822000000
旅,820000000
原,818000000
倍,818000000
谁,812000000
没,811000000
学,811000000
便,810000000
周,807000000
街,801000000
朝,801000000
村,798000000
星,794000000
证,792000000
春,791000000
种,789000000
秒,788000000
们,787000000
歌,782000000
半,778000000
口,777000000
买,773000000
南,768000000
死,765000000
著,763000000
副,763000000
开,758000000
音,752000000
八,739000000
达,732000000
另,726000000
组,725000000
啦,722000000
仅,722000000
岁,721000000
空,720000000
王,719000000
帖,719000000
简,712000000
转,705000000
面,705000000
款,705000000
却,704000000
类,701000000
应,701000000
通,699000000
例,698000000
付,695000000
夏,694000000
白,692000000
差,688000000
千,676000000
身,670000000
少,670000000
仍,669000000
常,669000000
番,667000000
较,666000000
带,665000000
君,664000000
西,663000000
神,663000000
入,663000000
写,662000000
段,659000000
牛,654000000
曾,651000000
局,648000000
长,644000000
楼,644000000
拍,641000000
片,637000000
雨,633000000
拿,633000000
食,631000000
株,630000000
则,630000000
称,628000000
教,627000000
城,620000000
指,617000000
百,615000000
皆,615000000
张,613000000
句,610000000
群,609000000
氏,607000000
形,605000000
相,604000000
酒,599000000
足,598000000
亿,597000000
建,596000000
