# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
的,19612774,0.04038923604509661,0.04038923604509661
是,10906495,0.02246010691703611,0.06284934296213272
一,9206925,0.018960126042063256,0.08180946900419597
不,8654427,0.01782234858455297,0.09963181758874895
我,7184509,0.014795297690633718,0.11442711527938267
有,5943526,0.012239700235885494,0.12666681551526815
个,5420669,0.011162963472853855,0.13782977898812201
这,4660570,0.009597666390011729,0.14742744537813374
人,4629727,0.009534150377063285,0.15696159575519703
在,4378562,0.009016917961533148,0.16597851371673017
了,3992549,0.00822198858675547,0.17420050230348563
就,3939296,0.0081123229174774,0.18231282522096304
你,3270508,0.006735065605680096,0.18904789082664314
大,3265812,0.0067253949771158865,0.19577328580375902
要,2833879,0.005835901023192453,0.20160918682695148
以,2801477,0.00576917450983268,0.20737836133678417
来,2733175,0.005628517935686045,0.21300687927247022
为,2681814,0.005522748524764764,0.21852962779723498
上,2664888,0.005487892251536953,0.22401752004877193
都,2628003,0.005411933747578085,0.22942945379635002
时,2515550,0.0051803555546626285,0.23460980935101264
也,2502670,0.005153831343438818,0.23976364069445147
到,2494292,0.005136578250144325,0.2449002189445958
说,2347011,0.004833277601599765,0.24973349654619556
自,2323204,0.004784251056832278,0.2545177476030278
能,2314264,0.004765840618296497,0.2592835882213243
没,2298066,0.004732483539616119,0.26401607176094044
可,2226924,0.0045859784592679614,0.2686020502202084
看,2225777,0.004583616404122487,0.27318566662433086
很,2211122,0.004553436876522725,0.27773910350085357
会,2210387,0.004551923266643105,0.2822910267674967
他,2195339,0.00452093442110771,0.2868119611886044
么,2180962,0.004491327388129083,0.2913032885767335
多,2119344,0.004364435396887724,0.29566772397362123
和,2074657,0.004272409975540023,0.29994013394916125
好,2071856,0.0042666417833321126,0.3042067757324934
学,2007249,0.004133594445246966,0.30834037017774035
还,1959975,0.004036241528989639,0.31237661170673
