# 来源：本词表来自BCC语料库汉语部分的博客（blog）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
的,1,427826613
在,2,101079596
了,3,88410456
是,4,69810451
和,5,57395845
个,6,37336122
有,7,35973894
年,8,35377381
我,9,34126015
也,10,32685216
中,11,31632792
上,12,31582916
这,13,30175474
为,14,29135698
他,15,29018355
日,16,28782888
月,17,28479746
将,18,28340469
对,19,27771498
人,20,23183514
就,22,22750218
说,23,22400186
与,24,21281830
不,25,21194210
中国,26,18791131
都,28,17885251
后,29,17773162
等,30,17767900
而,31,17699158
会,32,17393361
记者,33,17283616
元,34,17084786
大,35,16406554
要,36,16306826
但,37,16135734
两,38,15854775
还,40,15175028
时,41,15116849
-,42,14991900
着,43,14939675
以,45,14039208
公司,46,13661052
地,47,13523658
没有,48,13145019
来,49,12734761
自己,50,11986140
她,51,11669986
下,52,11460171
他们,53,11433593
发展,54,11338664
进行,55,11323523
你,56,11227533
新,57,11093334
出,59,10999196
可以,60,10745378
企业,61,10721453
市场,62,10617022
名,63,10407915
问题,64,10014249
前,65,9995915
已经,66,9995084
很,67,9756263
给,68,9601548
家,69,9598384
工作,70,9453179
该,71,9335641
做,72,9332163
这个,74,9136372
让,75,9064438
目前,76,9018862
把,77,8891779
能,78,8783825
次,79,8602251
于,80,8329258
向,81,8309910
其,82,8290669
表示,83,8246470
已,86,7890428
位,87,7799254
里,88,7766933
又,89,7744750
国家,90,7656603
内,91,7505188
就是,92,7443139
市,93,7332306
美国,94,7332015
用,95,7289474
看,96,7227510
经济,97,7164597
比,98,7146447
时间,99,7130260
最,100,7128157
比赛,101,7075683
因为,102,7071640
过,103,7047542
之,104,7038886
分,105,7032287
高,106,7009089
小,107,6881946
由,108,6865964
一些,109,6709587
如果,110,6704946
所,111,6692831
得,112,6662120
开始,113,6634917
通过,114,6607522
现在,115,6599555
更,117,6574045
及,118,6549983
可,119,6538101
去,120,6524709
管理,121,6515142
认为,122,6413864
这样,123,6405207
今年,124,6371553
可能,125,6344728
情况,126,6146388
产品,127,6096771
政府,128,5991347
价格,129,5960134
投资,130,5920466
成为,131,5890217
网,132,5860583
同时,133,5840505
国际,134,5748573
股,135,5713769
这些,136,5712057
社会,137,5710660
报,138,5661890
种,139,5634532
但是,140,5613451
北京,141,5555956
建设,142,5515347
至,143,5484002
车,144,5415104
活动,145,5300679
或,146,5279619
方面,147,5270584
却,148,5244154
还是,149,5231843
由于,150,5225867
非常,151,5191240
部门,152,5142631
出现,153,5135988
再,155,5040817
起,157,4994395
技术,158,4920026
场,159,4910404
想,161,4872026
要求,162,4863669
那,163,4860792
项目,164,4849229
需要,165,4759717
美元,166,4637414
人员,167,4623961
以及,168,4623189
对于,169,4609632
