# 来源：本词表来自BCC语料库汉语部分的文学（literature）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"词","排名","频次"
的,1,89192944
了,2,39045544
是,3,20876951
我,4,20633409
在,5,18448929
他,6,18347107
你,7,14579791
也,8,12472592
着,9,12342224
这,10,12067617
人,11,10678948
道,12,9837972
就,13,9831782
个,14,9653497
不,15,9239526
说,16,8678188
有,17,8677811
上,18,8323133
地,19,8256041
那,20,7217830
她,21,6837268
和,22,6717930
来,23,6307297
都,24,6098972
中,25,5461695
自己,26,5291980
到,27,5212146
去,28,5073246
要,29,4980273
没有,30,4917646
还,31,4841747
又,32,4752821
之,33,4653646
两,34,4578329
大,35,4505540
看,36,4409024
他们,37,4400987
对,38,4258935
得,39,4186332
会,40,4173895
把,41,4146038
什么,42,4130912
而,43,4114808
我们,44,3964300
被,45,3754123
却,46,3598646
好,47,3491950
里,48,3442221
这个,49,3375217
想,50,3353184
出,51,3330891
给,52,3217134
将,53,3206188
过,54,3203181
让,55,3123948
但,56,3079869
为,57,3009873
很,58,2927802
下,59,2927527
已经,60,2927471
笑,61,2851810
能,62,2833210
小,63,2778952
声,64,2702318
就是,65,2699207
从,66,2687071
与,67,2678928
没,68,2667577
见,69,2612649
知道,70,2551267
向,71,2493969
现在,72,2445175
只,73,2431598
不是,74,2401391
天,75,2391031
吧,76,2390299
话,77,2357599
再,78,2313129
手,79,2268214
可以,80,2221877
才,81,2206543
事,82,2190992
后,83,2170706
这样,84,2136099
做,85,2133307
以,86,2110086
走,87,2109748
可,88,2050671
啊,89,2027975
说道,90,1997498
问,91,1978064
年,92,1966499
身,93,1954946
还是,94,1928762
呢,95,1921955
时候,96,1912929
用,97,1911236
等,98,1885433
怎么,99,1879933
便,100,1868961
真,101,1867824
听,102,1855658
吗,103,1811576
不过,104,1811324
时,105,1802354
起来,106,1796347
你们,107,1757121
前,108,1742905
位,109,1733747
已,110,1733303
跟,111,1722024
所,112,1710429
因为,113,1677294
几,114,1653732
心,115,1609742
这么,116,1605535
太,117,1579823
起,118,1571640
这些,119,1559559
但是,120,1550988
如果,121,1542883
叫,122,1534214
只是,123,1503542
虽然,124,1501020
可是,125,1500289
出来,126,1415835
脸,127,1413339
打,128,1390222
一下,129,1384819
剑,130,1381292
事情,131,1373425
不能,132,1342224
死,133,1336231
所以,134,1326770
谁,135,1317201
都是,136,1312328
像,137,1299930
头,138,1298792
这里,139,1295585
不会,140,1293144
找,141,1270127
当,142,1263416
儿,143,1262499
之后,144,1262376
那个,145,1258760
子,146,1237017
带,147,1233738
有些,148,1231125
更,149,1217579
还有,150,1205817
成,151,1205744
这种,152,1189752
最,153,1172687
军,154,1155949
门,155,1151396
长,156,1151269
到了,157,1148716
那么,158,1137411
时间,159,1136295
家,160,1130554
比,161,1130150
――,162,1113055
连,163,1111546
看到,164,1109382
它,165,1108605
住,166,1096464
回,167,1086889
如,168,1082806
无,169,1068577
次,170,1066687
名,171,1056713
不知道,172,1053722
于,173,1049140
神,174,1045153
王,175,1027590
而且,176,1021898
此,177,1019194
开始,178,1000511
老,179,998898
种,180,998140
其,181,991390
先,182,988047
然后,183,981542
开,184,975656
杀,185,974838
东西,186,966004
如此,187,961564
一样,188,956422
使,189,955930
那些,190,949719
吃,191,943578
内,192,940948
面,193,927562
心中,194,925295
请,195,922310
突然,196,917384
只有,197,917251
正,198,916998
坐,199,914041
觉得,200,912776
飞,201,912629
别,202,902606
日,203,892696
一些,204,867938
快,205,863974
张,206,858641
双,207,856479
条,208,852680
过来,209,849261
自,210,848033
一定,211,846967
地方,212,837311
月,213,836581
主,214,836486
外,215,835234
眼,216,835221
可能,217,833705
应该,218,829897
口,219,823091
发现,220,815995
进,221,813874
站,222,813099
声音,223,810262
件,224,808001
问题,225,807688
想到,226,804922
一起,227,803295
当然,228,798586
并,229,788205
几个,230,782411
接,231,776963
下来,232,765102
放,233,765012
一直,234,761779
由,235,761704
倒,236,752985
本,237,752299
为了,238,747817
句,239,744105
高,240,742965
心里,241,742497
眼睛,242,729533
入,243,727738
行,244,724814
过去,245,718554
完,246,716033
则,247,711706
往,248,707438
不要,249,700651
城,250,698654
今天,251,697349
似乎,252,697017
帮,253,691138
光,254,689957
您,255,687684
间,256,685574
刀,257,683775
女,258,683521
出现,259,683414
自然,260,681092
能够,261,676153
明白,262,672913
不知,263,658865
一般,264,658725
望,265,656395
最后,266,656290
只要,267,653480
水,268,653475
非常,269,651806
拿,270,650639
大家,271,650468
朝,272,648146
为什么,273,646587
如何,274,646252
未,275,641561
红,276,638435
以后,277,637929
么,278,631563
处,279,630567
气,280,628575
不敢,281,628542
女人,282,625495
一眼,283,623624
魔,284,622294
该,285,621131
感觉,286,620608
各,287,613817
同时,288,612002
派,289,610745
说话,290,609802
步,291,603309
里面,292,602623
钱,293,601435
花,294,601332
告诉,295,600369
完全,296,598264
竟然,297,596537
真是,298,596087
风,299,594889
对方,300,594207
作,301,593840
黑,302,593144
听到,303,592230
回来,304,590467
无法,305,587766
任何,306,585469
准备,307,585009
边,308,583943
情况,309,583255
若,310,582382
力,311,582351
跑,312,582036
一切,313,581512
知,314,578227
其他,315,577072
玉,316,576676
-,317,575669
指,318,575400
根本,319,574835
些,320,573527
少,321,571014
之中,322,570983
所有,323,567363
之间,324,567339
金,325,566781
身体,326,566261
马,327,564582
有点,328,563318
山,329,562596
龙,330,562023
刚才,331,560244
有人,332,559602
片,333,558814
需要,334,558095
以为,335,555766
法,336,555748
一阵,337,554085
一边,338,552195
其实,339,549438
新,340,549168
咱们,341,548681
言,342,548503
落,343,547568
点头,344,540020
那里,345,539170
离开,346,539044
喝,347,538033
白,348,536854
下去,349,535418
忽然,350,533850
于是,351,533242
刚,352,531465
这次,353,530241
原来,354,529182
动,355,527111
对于,356,526671
云,357,525530
「,358,522430
看看,359,521400
终于,360,519521
兵,361,519387
看来,362,515766
血,363,515595
师,364,515060
此时,365,514862
全,366,514631
分,367,513157
转,368,510392
越,369,510155
十分,370,509143
出去,371,506350
令,372,504437
极,373,503651
一个人,374,500753
呀,375,500667
至,376,499744
喜欢,377,498882
甚至,378,498360
掌,379,497465
元,380,497153
难道,381,496688
拉,382,495884
远,383,490901
方,384,490579
工作,385,488829
车,386,488306
字,387,487482
这时,388,484394
身边,389,483754
生,390,481985
受,391,479725
发生,392,477783
样子,393,477732
早,394,476560
直,395,476483
相信,396,474940
希望,397,474877
忙,398,474257
整个,399,474243
众人,400,472791
男人,401,471624
随,402,470551
块,403,469339
几乎,404,466650
正在,405,466182
继续,406,465872
」,407,465742
别人,408,464253
穿,409,463883
立刻,410,463519
嘴,411,462475
得到,412,461744
发,413,460633
者,414,459743
总,415,459583
轻,416,459279
不错,417,458888
招,418,456751
灵,419,455482
去了,420,455400
只能,421,452442
居然,422,452378
定,423,452321
好像,424,452027
认为,425,451380
多少,426,451312
变,427,450737
就算,428,450643
部,429,450558
清楚,430,449023
敢,431,447329
般,432,445650
机会,433,443301
姑娘,434,442864
场,435,442541
同,436,441111
兄弟,437,440908
公司,438,437843
办法,439,436209
并不,440,435274
中国,441,434279
进行,442,434020
目光,443,433614
看见,444,433534
要是,445,432307
是不是,446,431495
急,447,430889
除了,448,428781
或,449,428340
国,450,426677
正是,451,426471
因此,452,426156
直接,453,425996
清,454,425758
意思,455,425599
惊,456,425398
衣,457,424225
不到,458,424194
世界,459,421788
明,460,418591
命,461,416876
怕,462,416185
微微,463,416137
不想,464,416060
及,465,415687
马上,466,415190
肯定,467,414999
感到,468,414012
关系,469,413716
孩子,470,411878
岁,471,409336
战,472,408912
石,473,407993
之前,474,407772
退,475,407280
来到,476,406682
座,477,406573
本来,478,405519
写,479,405038
爱,480,405005
其中,481,404295
很多,482,401831
送,483,401067
哪里,484,400856
酒,485,400327
哪,486,400178
离,487,399218
竟,488,399182
强,489,398397
个人,490,398374
李,491,397014
非,492,396153
既然,493,396066
书,494,395574
仙,495,395086
火,496,394831
丝,497,394503
许多,498,393625
她们,499,393045
而是,500,391013
当时,501,390074
必须,502,389622
重,503,388724
象,504,386614
立即,505,385126
绝对,506,384199
满,507,384060
阿,508,383780
成为,509,382452
帝,510,382446
脚,511,381990
抱,512,381695
怪,513,381629
阵,514,381304
色,515,380513
不少,516,380197
眼前,517,379851
"!",518,379210
留,519,379144
股,520,378947
以前,521,377055
因,522,376548
力量,523,376477
信,524,376402
回去,525,376338
回答,526,375880
哥,527,375750
算,528,375516
家伙,529,374315
来说,530,373995
路,531,373124
觉,532,372687
难,533,372510
数,534,372337
进入,535,371502
似,536,370493
攻击,537,369120
府,538,368405
敌人,539,368130
并没有,540,367794
如今,541,367600
到底,542,367440
叹,543,367095
那样,544,366506
虽,545,366218
朋友,546,365584
错,547,365377
父亲,548,365108
还要,549,363120
重要,550,362059
决定,551,360778
生活,552,359916
冲,553,359150
交,554,358382
地上,555,358128
不同,556,358097
之下,557,356366
拍,558,355426
伤,559,355146
干,560,355073
掉,561,354994
发出,562,354801
消息,563,354534
青,564,354432
另,565,354263
不用,566,353145
