# 来源：本词表来自BCC语料库汉语部分的报刊（news）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"词","排名","频次"
的,1,94016071
了,2,21442735
在,3,20947026
和,4,17382588
是,5,13621418
有,6,7481110
个,7,7293582
上,8,6835585
中,9,6834149
为,10,6620942
年,11,6316201
这,12,6259882
他,13,5813538
日,14,5762325
对,15,5679709
也,16,5417843
要,17,5250127
我,18,5172842
地,19,5079002
到,20,5071560
说,21,4655061
我们,22,4619346
就,23,4618056
人,24,4611053
不,25,4606501
等,26,4440183
工作,27,4217776
月,28,3926512
将,29,3712150
与,30,3701051
着,31,3606771
他们,32,3512898
以,33,3480314
人民,34,3388730
都,35,3374486
发展,36,3347840
大,37,3314862
把,38,3259466
后,39,3184470
从,40,3158269
来,41,3136775
还,42,3094569
两,43,3072975
元,44,3021186
而,45,2912428
进行,46,2835537
时,47,2763277
生产,48,2736912
新,49,2613244
中国,50,2607261
下,51,2606514
并,52,2500824
又,53,2492457
国家,54,2470367
问题,55,2469228
会,56,2399810
已,57,2384079
建设,58,2379381
好,59,2355457
向,60,2275786
被,61,2272859
企业,62,2208861
经济,63,2197686
但,64,2191759
出,65,2146516
自己,66,2145905
群众,67,2110576
使,68,2103767
市,69,2098319
没有,70,2003359
革命,71,1978683
里,72,1974199
做,73,1960714
用,74,1900063
领导,75,1836561
政府,76,1836402
名,77,1799252
她,78,1783258
这个,79,1774695
给,80,1762813
由,81,1727599
省,82,1703036
得,83,1700115
所,84,1693546
各,85,1686993
美国,86,1676394
前,87,1656536
次,88,1629987
该,89,1622785
于,90,1614109
今年,91,1603859
去,92,1602771
本,93,1576398
党,94,1545970
之,95,1539621
组织,96,1539513
据,97,1518798
提高,98,1516339
家,99,1509499
干部,100,1505809
可以,101,1499424
市场,102,1495437
能,103,1476553
学习,104,1465527
公司,105,1460749
同志,106,1458299
记者,107,1457330
种,108,1455540
天,109,1450268
教育,110,1429556
思想,111,1421915
管理,112,1397179
社会主义,113,1388867
活动,114,1379240
全国,115,1371641
会议,116,1370182
可,117,1363035
要求,118,1362388
社会,119,1357422
技术,120,1347288
你,121,1346003
毛主席,122,1345612
作,123,1338928
情况,124,1326049
及,125,1305731
位,126,1304323
内,127,1300564
这些,128,1293649
它,129,1292361
参加,130,1292342
起,131,1284259
比,132,1281545
过,133,1280376
一些,134,1270341
部门,135,1261322
目前,136,1259139
或,137,1254083
很,138,1251678
其,139,1251637
已经,140,1249849
通过,141,1246345
就是,142,1238514
更,143,1218126
这样,144,1204134
同时,145,1170358
电,146,1167128
小,147,1154470
生活,148,1151562
现在,149,1151089
加强,150,1145064
我国,151,1143295
重要,152,1133116
方面,153,1126203
斗争,154,1125342
世界,155,1119998
代表,156,1119440
同,157,1103394
看,158,1101157
去年,159,1100865
新华社,160,1097866
时间,161,1080304
有关,162,1078012
为了,163,1077603
最,164,1076277
本报讯,165,1072841
由于,166,1066906
服务,167,1065875
必须,168,1064561
人员,169,1055477
国际,170,1051614
这种,171,1040610
认为,172,1036558
厂,173,1028942
解决,174,1023052
开始,175,1013463
至,176,1005509
让,177,1000866
单位,178,998038
――,179,995338
北京,180,993577
主要,181,992575
需要,182,972179
计划,183,966314
提出,184,963493
完成,185,960095
高,186,952313
表示,187,947325
农民,188,945175
分,189,942288
产品,190,940994
政治,191,940922
那,192,922488
政策,193,919949
农业,194,916497
积极,195,915658
成为,196,914665
工人,197,913800
不能,198,912692
任务,199,902623
却,200,901444
再,201,896746
文化,202,894432
开展,203,891160
继续,204,887823
区,205,887273
只,206,885461
当,207,884585
举行,208,882241
起来,209,879058
进一步,210,878298
精神,211,877047
增加,212,870256
几,213,870062
如,214,863175
职工,215,862981
劳动,216,861936
成,217,861678
今天,218,857449
报,219,855340
应,220,855285
规定,221,848074
队,222,847766
一定,223,831552
根据,224,828031
许多,225,825156
实现,226,825009
农村,227,824247
建立,228,823026
因为,229,817723
关系,230,816340
项,231,814719
厦门,232,813386
部,233,811710
条,234,810300
以及,235,808991
外,236,805126
走,237,804785
如果,238,804630
改革,239,799742
坚持,240,793015
投资,241,792223
城市,242,787367
伟大,243,785612
但是,244,782056
基础,245,778521
决定,246,775441
工程,247,771735
其他,248,769746
研究,249,768171
广大,250,765021
学生,251,762618
什么,252,759302
股,253,757009
以上,254,756091
正在,255,746297
经验,256,745519
上海,257,744103
经过,258,743795
打,259,743371
其中,260,741186
因此,261,737684
作为,262,736004
县,263,734572
岁,264,731591
发生,265,729463
出现,266,729100
想,267,725896
项目,268,725440
无产阶级,269,722442
每,270,719488
地区,271,719372
质量,272,715756
努力,273,715376
取得,274,715360
制度,275,713153
工业,276,712209
场,277,712023
和平,278,710354
不断,279,709665
影响,280,706137
日本,281,704901
发现,282,704875
经营,283,696890
以来,284,696364
运动,285,692943
学校,286,685299
达,287,681087
各种,288,678020
增长,289,677797
号,290,674210
关于,291,673498
而且,292,672654
苏联,293,671382
条件,294,670380
大家,295,670222
指出,296,669779
得到,297,665150
胜利,298,663338
历史,299,662814
支持,300,660425
长,301,660287
比赛,302,658497
过去,303,657668
米,304,657089
全,305,655229
一切,306,646645
地方,307,645317
不是,308,644954
作用,309,644377
才,310,643981
人们,311,641726
这次,312,638891
办,313,638419
采取,314,638271
车,315,637504
实行,316,635303
对于,317,634981
因,318,631294
则,319,628959
中心,320,628129
帮助,321,626904
有的,322,619016
提供,323,618003
认真,324,615655
保证,325,615595
还是,326,614671
民族,327,614643
资金,328,614552
青年,329,611824
水平,330,611071
可能,331,610499
事业,332,610300
基本,333,610234
水,334,608993
开,335,608435
只有,336,608153
手,337,607282
美,338,606743
开发,339,604140
学,340,603999
报道,341,601746
搞,342,601572
困难,343,601443
都是,344,601208
还有,345,600344
合作,346,599293
力量,347,598246
曾,348,595323
占,349,591725
利用,350,591371
全面,351,587382
应该,352,586421
使用,353,584799
自,354,582075
先进,355,580584
路线,356,578036
严重,357,576307
办法,358,576194
亩,359,575831
时候,360,575592
共,361,575405
措施,362,574167
大会,363,574088
团结,364,573088
希望,365,572757
按,366,571619
实际,367,570954
获得,368,567938
宣传,369,565048
检查,370,562530
统一,371,560606
反对,372,560582
执行,373,559860
以后,374,559087
达到,375,556288
安全,376,556222
结合,377,555222
老,378,554335
科技,379,552717
事,380,551123
带,381,549235
看到,382,548829
一起,383,543869
无,384,543474
认识,385,542649
村,386,542120
委员会,387,540015
了解,388,538347
最近,389,538171
主席,390,536181
具有,391,536174
充分,392,535569
便,393,535128
机关,394,534294
受到,395,531173
部分,396,531008
准备,397,529738
路,398,527916
正,399,523906
局,400,522937
户,401,522639
台湾,402,522305
中央,403,521814
杭州,404,520517
件,405,516941
科学,406,516889
重点,407,516762
报告,408,515422
台,409,515066
经,410,514247
机,411,512808
环境,412,512720
价格,413,510855
呢,414,510184
共同,415,509958
不同,416,508885
受,417,508106
民主,418,507548
促进,419,505707
深入,420,505095
处,421,503142
总,422,501406
机构,423,500172
召开,424,499847
不仅,425,499606
吃,426,499356
处理,427,498802
找,428,494816
这里,429,493913
社员,430,493562
钱,431,493303
结果,432,490699
没,433,489765
即,434,489414
发挥,435,489281
之间,436,488407
站,437,488264
最后,438,487999
各级,439,486570
头,440,485844
行动,441,484995
个人,442,484026
坚决,443,482564
组,444,482341
介绍,445,481424
各地,446,480395
存在,447,476163
写,448,474519
孩子,449,473689
全部,450,469492
贯彻,451,468567
意见,452,466885
进,453,465390
包括,454,462751
消息,455,462564
进入,456,461936
接,457,461431
社,458,461197
不少,459,458926
扩大,460,457633
解放,461,457139
近,462,457130
－,463,456784
十分,464,456396
形成,465,455947
能力,466,453139
分别,467,450088
粮食,468,449949
斤,469,449295
讲,470,448559
未,471,447455
道路,472,446814
联系,473,446202
军,474,445665
买,475,445012
实施,476,444664
任何,477,444015
调整,478,443366
下午,479,443309
能够,480,442343
随,481,440433
集体,482,440295
比较,483,440135
全省,484,438816
连,485,438709
成立,486,438399
方,487,436776
完全,488,435357
祖国,489,434290
造成,490,433194
虽然,491,433003
联合,492,432891
成绩,493,432880
像,494,429256
图,495,429095
有些,496,428752
话,497,428610
接受,498,428196
成功,499,426829
国,500,426643
理论,501,425753
方法,502,425237
建议,503,423944
收入,504,423891
业务,505,423764
调查,506,423759
讨论,507,423294
均,508,422589
改造,509,422202
重大,510,422040
利益,511,421548
山,512,421100
朝鲜,513,419576
仅,514,417622
才能,515,416345
战争,516,416331
期间,517,414772
吨,518,414743
两国,519,414063
大队,520,413779
正确,521,413527
所有,522,413502
具体,523,412841
之后,524,411841
按照,525,410808
请,526,410491
间,527,408312
目标,528,408030
负责,529,407240
仍,530,407116
一直,531,406587
系统,532,406556
过程,533,406175
表现,534,405774
见,535,405403
越南,536,404090
片,537,404009
抓,538,402834
香港,539,401719
