# 来源：本词表来自BCC语料库汉语部分的微博（weibo）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
的,1,207824558
我,2,107133693
了,3,91700393
你,4,60717518
是,5,47904895
~,6,43240132
在,7,35443976
有,8,31564816
不,9,29309227
个,10,25983977
好,11,25961273
就,12,24249630
啊,13,23628846
人,14,22471811
都,15,22439646
也,16,20326380
要,17,19514337
这,18,19242112
"!",19,17761908
-,20,16241959
去,21,15899319
说,22,15132096
和,23,14938802
很,24,13969299
会,25,13798613
看,26,13462766
吧,27,13369168
自己,28,13254626
到,29,13195909
来,30,13159180
给,31,12925326
上,32,12648677
想,33,12623098
还,34,11949541
着,35,11687627
真,36,11563308
他,37,11489337
我们,38,11181349
爱,39,10935814
大,40,10463726
没,41,10135109
太,42,9602927
又,43,9497769
中,44,9365858
吃,45,9348265
这个,46,9155914
年,47,9063554
天,48,9015110
得,49,8773205
过,50,8677476
没有,51,8639977
可以,52,8520020
就是,53,8455698
那,54,8405063
最,55,8390169
能,56,8339198
做,57,8306273
对,58,8285807
小,59,8220625
让,60,8065193
什么,61,8061899
啦,62,7596734
被,63,7436475
今天,64,7248266
呢,65,7209807
把,66,7068891
喜欢,67,6950085
不是,68,6869821
吗,69,6646604
哈哈,70,6525249
博,71,6519433
为,72,6440585
下,73,6355570
还是,74,6275049
大家,75,6256675
微,76,6222761
两,77,6163584
～,78,6068221
她,79,5954967
再,80,5905734
哦,81,5725211
现在,82,5618165
时候,83,5598977
用,84,5537883
里,85,5447812
等,86,5393434
你们,87,5221307
不要,88,5162774
这样,89,5135957
元,90,5116084
日,91,5085869
月,92,5001557
手,93,4989657
快,94,4885214
死,95,4873327
与,96,4844832
而,97,4814727
谁,98,4788257
新,99,4749018
怎么,100,4748848
地,101,4696082
家,102,4644248
但,103,4642471
后,104,4620386
因为,105,4563054
看到,106,4360978
次,107,4319328
么,108,4302849
才,109,4297549
买,110,4291901
这么,111,4284430
时,112,4270670
如果,113,4263756
之,114,4193974
一起,115,4189147
都是,116,4187841
心,117,4157811
出,118,4148432
只,119,4123690
跟,120,4115495
走,121,4034752
事,122,4010637
觉得,123,4009358
知道,124,3969137
那么,125,3941280
回复,126,3933606
活动,127,3810637
美,128,3760494
开始,129,3730388
将,130,3708898
生活,131,3682329
――,132,3663330
时间,133,3656442
比,134,3652165
还有,135,3641718
睡,136,3630772
请,137,3627389
更,138,3624349
希望,139,3513739
可,140,3501365
已经,141,3464530
机,142,3424710
幸福,143,3405048
找,144,3400153
笑,145,3379918
种,146,3376184
