# 古代汉语语料库汉字频率表
# 语料规模：1500万字,只列入出现次数大于2次的字
# 制作：www.cncorpus.org 语料库在线网站
"Character","Rank","Count","Frequency","Cumulative frequency"
不,1,229929.0,1.757,1.757
之,2,218792.0,1.6719,3.4288999999999996
人,3,144108.0,1.1012,4.530099999999999
一,4,140598.0,1.0744,5.604499999999999
是,5,125015.0,0.9553,6.559799999999999
有,6,108440.0,0.8286,7.388399999999999
以,7,104200.0,0.7962,8.1846
曰,8,96421.0,0.7368,8.9214
为,9,95627.0,0.7307,9.6521
也,10,94921.0,0.7253,10.377400000000002
子,11,90523.0,0.6917,11.069100000000002
而,12,87069.0,0.6653,11.734400000000003
其,13,77608.0,0.593,12.327400000000003
得,14,74216.0,0.5671,12.894500000000003
无,15,73858.0,0.5644,13.458900000000003
如,16,73847.0,0.5643,14.023200000000003
道,17,68319.0,0.5221,14.545300000000003
来,18,67929.0,0.5191,15.064400000000003
者,19,67062.0,0.5124,15.576800000000002
大,20,59900.0,0.4577,16.0345
此,21,58917.0,0.4502,16.4847
了,22,57534.0,0.4396,16.9243
上,23,56230.0,0.4297,17.354
天,24,55637.0,0.4251,17.7791
见,25,54184.0,0.414,18.1931
说,26,54167.0,0.4139,18.607000000000003
自,27,53189.0,0.4064,19.013400000000004
作,28,52544.0,0.4015,19.414900000000003
下,29,52252.0,0.3993,19.814200000000003
中,30,52164.0,0.3986,20.2128
何,31,51958.0,0.397,20.6098
事,32,50086.0,0.3827,20.9925
所,33,49257.0,0.3764,21.3689
时,34,48604.0,0.3714,21.7403
在,35,47274.0,0.3612,22.1015
知,36,47240.0,0.361,22.462500000000002
日,37,47010.0,0.3592,22.821700000000003
王,38,44325.0,0.3387,23.160400000000003
与,39,43053.0,0.329,23.489400000000003
心,40,42971.0,0.3284,23.817800000000002
去,41,42509.0,0.3248,24.1426
我,42,42377.0,0.3238,24.4664
生,43,41365.0,0.3161,24.7825
可,44,41318.0,0.3157,25.0982
问,45,40969.0,0.3131,25.411299999999997
三,46,39885.0,0.3048,25.716099999999997
则,47,39058.0,0.2985,26.014599999999998
云,48,38747.0,0.2961,26.310699999999997
行,49,38093.0,0.2911,26.601799999999997
言,50,37177.0,0.2841,26.885899999999996
只,51,36806.0,0.2812,27.167099999999994
便,52,36145.0,0.2762,27.443299999999994
于,53,35985.0,0.275,27.718299999999992
将,54,35559.0,0.2717,27.98999999999999
出,55,35478.0,0.2711,28.261099999999992
又,56,35254.0,0.2694,28.530499999999993
相,57,35166.0,0.2687,28.799199999999992
师,58,34969.0,0.2672,29.06639999999999
今,59,34889.0,0.2666,29.33299999999999
山,60,34354.0,0.2625,29.59549999999999
的,61,34313.0,0.2622,29.85769999999999
他,62,33782.0,0.2581,30.11579999999999
十,63,32568.0,0.2489,30.36469999999999
明,64,32418.0,0.2477,30.612399999999987
於,65,32059.0,0.245,30.857399999999988
里,66,31982.0,0.2444,31.101799999999987
公,67,31262.0,0.2389,31.340699999999988
二,68,31034.0,0.2371,31.57779999999999
君,69,30946.0,0.2365,31.81429999999999
故,70,30915.0,0.2362,32.050499999999985
个,71,30409.0,0.2324,32.282899999999984
家,72,30223.0,0.2309,32.51379999999998
然,73,30213.0,0.2309,32.74469999999998
年,74,30091.0,0.2299,32.97459999999998
若,75,30018.0,0.2294,33.20399999999998
处,76,29757.0,0.2274,33.43139999999998
这,77,29708.0,0.227,33.65839999999998
能,78,29414.0,0.2248,33.88319999999998
未,79,29112.0,0.2225,34.10569999999998
使,80,29024.0,0.2218,34.32749999999998
至,81,28820.0,0.2202,34.54769999999998
地,82,26847.0,0.2051,34.75279999999998
月,83,26774.0,0.2046,34.95739999999998
太,84,26748.0,0.2044,35.16179999999998
亦,85,25868.0,0.1977,35.359499999999976
门,86,25453.0,0.1945,35.553999999999974
夫,87,25392.0,0.194,35.747999999999976
当,88,25302.0,0.1933,35.94129999999998
