# 现代汉语语料库词语分词类频率表
# 语料规模：2000万字 ，只列入出现次数大于50次的词
# 制作：www.cncorpus.org 语料库在线网站
"Word","Rank","Token","Catelog","Count","Frequency","Cumulative frequency"
的,1,u,助词,744863.0,7.7946,7.7946
了,2,u,助词,129617.0,1.3564,9.151
是,3,vl,联系动词,118382.0,1.2388,10.3898
在,4,p,介词,115425.0,1.2079,11.5977
和,5,c,连词,79845.0,0.8355,12.4332
一,6,m,数词,78590.0,0.8224,13.2556
这,7,r,代词,65143.0,0.6817,13.937299999999999
有,8,v,动词,53522.0,0.5601,14.497399999999999
他,9,r,代词,52908.0,0.5537,15.051099999999998
我,10,r,代词,52724.0,0.5517,15.602799999999998
也,11,d,副词,47034.0,0.4922,16.095
不,12,d,副词,46950.0,0.4913,16.586299999999998
就,13,d,副词,44145.0,0.462,17.048299999999998
着,14,u,助词,40596.0,0.4248,17.4731
中,15,nd,方位名词,40105.0,0.4197,17.892799999999998
地,16,u,助词,39440.0,0.4127,18.3055
说,17,v,动词,35047.0,0.3667,18.6722
上,18,nd,方位名词,34850.0,0.3647,19.0369
都,19,d,副词,34261.0,0.3585,19.3954
人,20,n,名词,33915.0,0.3549,19.7503
个,21,q,量词,31445.0,0.3291,20.0794
把,22,p,介词,28786.0,0.3012,20.3806
你,23,r,代词,28769.0,0.3011,20.681700000000003
种,24,q,量词,28587.0,0.2991,20.980800000000002
对,25,p,介词,28397.0,0.2972,21.575200000000002
而,26,c,连词,28397.0,0.2972,21.278000000000002
要,27,vu,能愿动词,27324.0,0.2859,21.861100000000004
我们,28,r,代词,26821.0,0.2807,22.141800000000003
又,29,d,副词,25682.0,0.2687,22.410500000000003
来,30,vd,趋向动词,25410.0,0.2659,22.6764
一个,31,mq,数量,24497.0,0.2563,22.9327
从,32,p,介词,23619.0,0.2472,23.1799
年,33,nt,时间名词,21818.0,0.2283,23.4082
到,34,v,动词,21665.0,0.2267,23.634900000000002
与,35,c,连词,21385.0,0.2238,23.858700000000002
它,36,r,代词,21038.0,0.2202,24.0789
还,37,d,副词,20735.0,0.217,24.2959
大,38,a,形容词,20050.0,0.2098,24.5057
她,39,r,代词,19914.0,0.2084,24.714100000000002
两,40,m,数词,19340.0,0.2024,24.916500000000003
时,41,nt,时间名词,17995.0,0.1883,25.104800000000004
他们,42,r,代词,17783.0,0.1861,25.290900000000004
里,43,nd,方位名词,17774.0,0.186,25.476900000000004
等,44,u,助词,17336.0,0.1814,25.658300000000004
发展,45,v,动词,17307.0,0.1811,25.839400000000005
那,46,r,代词,17183.0,0.1798,26.019200000000005
很,47,d,副词,16774.0,0.1755,26.194700000000005
可以,48,vu,能愿动词,16724.0,0.175,26.369700000000005
使,49,v,动词,16470.0,0.1723,26.542000000000005
以,50,p,介词,16316.0,0.1707,26.712700000000005
所,51,u,助词,16191.0,0.1694,26.882100000000005
但,52,c,连词,15959.0,0.167,27.049100000000006
得,53,u,助词,14915.0,0.1561,27.205200000000005
去,54,v,动词,14914.0,0.1561,27.361300000000004
自己,55,r,代词,14793.0,0.1548,27.516100000000005
没有,56,v,动词,14544.0,0.1522,27.668300000000006
为,57,vl,联系动词,14499.0,0.1517,27.820000000000007
为,58,p,介词,14240.0,0.149,27.96900000000001
能,59,vu,能愿动词,13781.0,0.1442,28.11320000000001
看,60,v,动词,13755.0,0.1439,28.25710000000001
什么,61,r,代词,13585.0,0.1422,28.399300000000007
或,62,c,连词,13574.0,0.142,28.541300000000007
被,63,p,介词,13476.0,0.141,28.682300000000005
之,64,u,助词,13299.0,0.1392,28.821500000000004
三,65,m,数词,13208.0,0.1382,28.959700000000005
这个,66,r,代词,13201.0,0.1381,29.097800000000007
小,67,a,形容词,12687.0,0.1328,29.230600000000006
多,68,a,形容词,12028.0,0.1259,29.356500000000008
后,69,nd,方位名词,12026.0,0.1258,29.48230000000001
这样,70,r,代词,11980.0,0.1254,29.60770000000001
会,71,vu,能愿动词,11782.0,0.1233,29.73100000000001
好,72,a,形容词,11743.0,0.1229,29.85390000000001
社会,73,n,名词,11461.0,0.1199,29.97380000000001
由,74,p,介词,11367.0,0.1189,30.09270000000001
向,75,p,介词,11351.0,0.1188,30.21150000000001
