# 总字数共1,011,623,817字
# 制作： https://github.com/studyzy/imewlconverter/blob/master/参考/6763字频表(基数10亿).xls
"汉字","排名","频次","频率","累计频率"
的,1,42002496,4.152%,4.152%
一,2,18961414,1.874%,6.026%
了,3,18900523,1.868%,7.895%
是,4,17206132,1.701%,9.596%
不,5,16119807,1.593%,11.189%
我,6,11461909,1.133%,12.322%
这,7,10391252,1.027%,13.349%
在,8,10015876,0.990%,14.339%
人,9,9734932,0.962%,15.302%
有,10,9520418,0.941%,16.243%
他,11,8751630,0.865%,17.108%
来,12,8049503,0.796%,17.903%
个,13,7711811,0.762%,18.666%
道,14,7678653,0.759%,19.425%
你,15,6715357,0.664%,20.089%
大,16,6498990,0.642%,20.731%
到,17,6196160,0.612%,21.344%
就,18,6108824,0.604%,21.947%
上,19,6101339,0.603%,22.551%
着,20,5991183,0.592%,23.143%
们,21,5933909,0.587%,23.729%
那,22,5457935,0.540%,24.269%
也,23,5395593,0.533%,24.802%
说,24,5287464,0.523%,25.325%
么,25,5193509,0.513%,25.838%
下,26,4986173,0.493%,26.331%
出,27,4953790,0.490%,26.821%
地,28,4885229,0.483%,27.304%
然,29,4875943,0.482%,27.786%
中,30,4466133,0.441%,28.227%
看,31,4253862,0.420%,28.648%
时,32,4171764,0.412%,29.060%
要,33,4123996,0.408%,29.468%
没,34,4098003,0.405%,29.873%
天,35,4070545,0.402%,30.275%
过,36,4033139,0.399%,30.674%
可,37,4033058,0.399%,31.073%
自,38,3982168,0.394%,31.466%
子,39,3917858,0.387%,31.854%
能,40,3686326,0.364%,32.218%
还,41,3642503,0.360%,32.578%
之,42,3638965,0.360%,32.938%
以,43,3559418,0.352%,33.290%
去,44,3524681,0.348%,33.638%
好,45,3506378,0.347%,33.985%
后,46,3501339,0.346%,34.331%
为,47,3494701,0.345%,34.676%
都,48,3482761,0.344%,35.020%
会,49,3466658,0.343%,35.363%
心,50,3449702,0.341%,35.704%
得,51,3438552,0.340%,36.044%
里,52,3436188,0.340%,36.384%
对,53,3395644,0.336%,36.719%
身,54,3286332,0.325%,37.044%
手,55,3182401,0.315%,37.359%
起,56,3176403,0.314%,37.673%
小,57,3143898,0.311%,37.984%
想,58,3058853,0.302%,38.286%
只,59,2961855,0.293%,38.579%
而,60,2922967,0.289%,38.868%
和,61,2884402,0.285%,39.153%
头,62,2747146,0.272%,39.424%
她,63,2633414,0.260%,39.685%
无,64,2598929,0.257%,39.942%
力,65,2581653,0.255%,40.197%
面,66,2568621,0.254%,40.451%
己,67,2567126,0.254%,40.704%
如,68,2564060,0.253%,40.958%
什,69,2463207,0.243%,41.201%
现,70,2459310,0.243%,41.445%
多,71,2394562,0.237%,41.681%
样,72,2390279,0.236%,41.918%
已,73,2360862,0.233%,42.151%
知,74,2332528,0.231%,42.381%
些,75,2306766,0.228%,42.609%
声,76,2274431,0.225%,42.834%
经,77,2268769,0.224%,43.059%
前,78,2258662,0.223%,43.282%
神,79,2238536,0.221%,43.503%
笑,80,2237267,0.221%,43.724%
事,81,2236923,0.221%,43.945%
开,82,2193724,0.217%,44.162%
点,83,2185222,0.216%,44.378%
方,84,2047046,0.202%,44.581%
眼,85,2046224,0.202%,44.783%
发,86,2037861,0.201%,44.984%
所,87,2012009,0.199%,45.183%
但,88,2005762,0.198%,45.382%
气,89,1989588,0.197%,45.578%
法,90,1963137,0.194%,45.772%
意,91,1956449,0.193%,45.966%
情,92,1944145,0.192%,46.158%
生,93,1924203,0.190%,46.348%
两,94,1924086,0.190%,46.538%
家,95,1922460,0.190%,46.728%
间,96,1916106,0.189%,46.918%
