# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）
"汉字","排名","频次"
之,1,15736660
不,2,12699007
一,3,8997432
以,4,8256918
有,5,7715832
人,6,7513525
为,7,7106115
者,8,6229665
而,9,6168605
也,10,5903382
其,11,5688275
是,12,5207541
无,13,5141344
大,14,4784364
十,15,4723972
于,16,4564281
二,17,4555825
三,18,4468527
子,19,4325363
曰,20,4194645
中,21,4187273
所,22,4129195
如,23,4123327
此,24,3920309
上,25,3858242
生,26,3634501
得,27,3495682
下,28,3323331
道,29,3254000
故,30,3135536
天,31,3030428
年,32,3016399
行,33,2987382
日,34,2980950
自,35,2948155
事,36,2887514
云,37,2817127
在,38,2800030
可,39,2787918
四,40,2737328
时,41,2704003
五,42,2681652
知,43,2673463
法,44,2659948
王,45,2621455
来,46,2617626
至,47,2610111
言,48,2556333
心,49,2549036
见,50,2455027
何,51,2411024
若,52,2406829
则,53,2373672
后,54,2324211
出,55,2317968
等,56,2309430
又,57,2288079
相,58,2287409
名,59,2221516
与,60,2216456
明,61,2203796
亦,62,2193486
我,63,2163108
山,64,2141636
能,65,2060882
说,66,2021849
文,67,2001688
月,68,1985133
作,69,1944184
诸,70,1942224
今,71,1930009
公,72,1891294
将,73,1879974
方,74,1866711
即,75,1853716
地,76,1847276
用,77,1832349
书,78,1819243
去,79,1814796
未,80,1804589
官,81,1781119
然,82,1759903
水,83,1747423
州,84,1740724
非,85,1716368
前,86,1708343
入,87,1707472
分,88,1703801
正,89,1699679
本,90,1699016
已,91,1687627
六,92,1680221
成,93,1675910
太,94,1662222
百,95,1653200
世,96,1650251
皆,97,1649363
同,98,1640773
了,99,1636637
南,100,1630792
当,101,1611603
及,102,1600315
多,103,1589245
家,104,1572021
国,105,1549571
使,106,1521644
经,107,1484522
佛,108,1482080
门,109,1474179
军,110,1469481
令,111,1463160
两,112,1452581
谓,113,1441678
身,114,1421553
从,115,1414861
兵,116,1409210
乃,117,1409029
复,118,1397383
安,119,1395354
臣,120,1388034
小,121,1367717
八,122,1359382
处,123,1356091
西,124,1352087
先,125,1344993
气,126,1338731
里,127,1324675
七,128,1316251
因,129,1302021
外,130,1298628
东,131,1291356
应,132,1289293
各,133,1289269
的,134,1264623
金,135,1229228
内,136,1227519
夫,137,1225969
长,138,1221633
师,139,1217309
元,140,1216667
士,141,1212342
风,142,1204584
欲,143,1204089
