# https://github.com/chinese-poetry/chinese-poetry
# 唐詩、宋词、元曲
"Character","Rank","Count"
不,1,238892
一,2,219582
人,3,192120
山,4,153135
有,5,132923
無,6,131384
其,7,127928
日,8,121685
風,9,118011
天,10,107993
中,11,106958
二,12,101896
何,13,97853
三,14,97818
來,15,96152
春,16,94963
花,17,93287
上,18,89417
生,19,88705
月,20,87408
首,21,86830
自,22,86130
如,23,85602
年,24,84101
雲,25,82192
時,26,80104
水,27,78233
十,28,78173
相,29,77488
我,30,75129
知,31,75104
詩,32,74510
得,33,73939
子,34,73631
此,35,73410
爲,36,71319
君,37,68745
心,38,68463
見,39,68175
清,40,67755
行,41,66943
歸,42,65884
未,43,65560
江,44,65121
事,45,64869
是,46,64414
秋,47,63072
作,48,60990
雨,49,60023
老,50,60013
今,51,59734
下,52,59487
明,53,59366
長,54,59259
之,55,59151
去,56,58967
白,57,57280
夜,58,56730
道,59,56511
在,60,53897
南,61,53747
可,62,53718
高,63,53514
千,64,53001
空,65,52618
家,66,52064
與,67,51672
四,68,51491
寒,69,51445
書,70,50944
玉,71,50051
前,72,49812
五,73,49337
已,74,48484
金,75,47772
成,76,47554
酒,77,47528
公,78,47338
萬,79,47047
新,80,46808
青,81,46609
和,82,46289
客,83,46199
古,84,45665
西,85,45320
出,86,45042
多,87,44389
門,88,43784
同,89,43342
東,90,43194
更,91,43118
處,92,43109
欲,93,42331
落,94,41881
大,95,41491
誰,96,40556
流,97,39878
地,98,39695
送,99,39380
深,100,39223
朝,101,39148
聲,102,39135
香,103,39114
雪,104,38929
入,105,38641
看,106,38563
石,107,38155
百,108,37862
重,109,37386
平,110,37055
林,111,36907
能,112,36758
寄,113,36636
世,114,36211
城,115,36112
意,116,36055
以,117,35833
里,118,35702
從,119,35667
開,120,35647
然,121,35573
光,122,35529
小,123,35524
歌,124,35523
名,125,35497
飛,126,35288
身,127,35238
亦,128,35135
方,129,35128
思,130,34891
頭,131,34401
草,132,34369
路,133,33914
似,134,33497
安,135,33354
間,136,33287
九,137,33197
言,138,32838
過,139,32695
遠,140,32564
到,141,32172
分,142,32009
聞,143,31923
盡,144,31852
色,145,31830
文,146,31811
海,147,31790
陽,148,31739
王,149,31679
望,150,31605
當,151,31582
還,152,31498
應,153,31486
六,154,31113
非,155,31103
後,156,31009
情,157,30947
莫,158,30916
正,159,30868
將,160,30731
州,161,30133
馬,162,30095
句,163,29665
題,164,29486
獨,165,29416
遊,166,29245
真,167,29139
猶,168,29123
好,169,29111
仙,170,29100
塵,171,28998
復,172,28754
外,173,28606
所,174,28604
初,175,28500
舊,176,28245
愁,177,28224
黄,178,28190
衣,179,28182
笑,180,28125
醉,181,28097
龍,182,28086
氣,183,28032
竹,184,27847
晚,185,27712
難,186,27664
回,187,27644
向,188,27591
故,189,27564
居,190,27523
起,191,27497
云,192,27295
別,193,27021
少,194,26923
夢,195,26854
神,196,26669
坐,197,26346
先,198,26310
溪,199,26095
滿,200,25792
次,201,25748
韻,202,25730
華,203,25660
梅,204,25597
樂,205,25560
懷,206,25489
留,207,25469
歲,208,25392
湖,209,25310
北,210,25229
物,211,25106
須,212,25102
幾,213,25091
堂,214,25044
絕,215,25017
樹,216,24622
吾,217,24473
八,218,24372
紅,219,24030
又,220,23936
松,221,23871
餘,222,23842
吟,223,23567
兩,224,23101
幽,225,23068
太,226,23033
亭,227,22968
樓,228,22967
豈,229,22858
者,230,22822
官,231,22788
問,232,22613
半,233,22584
士,234,22577
元,235,22438
若,236,22316
用,237,22311
眼,238,21980
野,239,21926
因,240,21732
枝,241,21725
柳,242,21696
七,243,21632
使,244,21537
霜,245,21482
陰,246,21471
語,247,21410
曾,248,21400
孤,249,21293
隨,250,21204
國,251,21119
至,252,21110
喜,253,21053
舟,254,20984
興,255,20931
邊,256,20803
本,257,20800
葉,258,20758
傳,259,20713
泉,260,20421
只,261,20403
尚,262,20355
閑,263,20334
登,264,19920
卷,265,19859
煙,266,19777
曲,267,19574
翠,268,19542
逢,269,19495
李,270,19482
碧,271,19469
手,272,19465
共,273,19453
久,274,19350
木,275,19209
微,276,19151
露,277,19082
夫,278,18996
經,279,18962
常,280,18847
暮,281,18663
波,282,18653
且,283,18435
影,284,18343
學,285,18297
終,286,18262
休,287,18256
觀,288,18230
足,289,18209
便,290,18144
池,291,18109
宮,292,18000
苦,293,17987
吹,294,17959
驚,295,17952
裏,296,17940
病,297,17930
却,298,17923
浮,299,17891
照,300,17860
芳,301,17819
近,302,17769
數,303,17758
對,304,17752
尋,305,17632
寺,306,17630
也,307,17604
庭,308,17508
河,309,17310
鳥,310,17289
臨,311,17236
園,312,17219
风,313,17173
兮,314,17157
窗,315,17096
師,316,17014
章,317,16994
忽,318,16797
早,319,16688
漢,320,16604
輕,321,16602
田,322,16592
景,323,16591
丹,324,16587
離,325,16472
往,326,16435
綠,327,16348
窮,328,16327
容,329,16312
關,330,16307
會,331,16292
贈,332,16287
臺,333,16278
而,334,16259
兒,335,16249
令,336,16207
才,337,16181
他,338,16179
通,339,16159
期,340,16097
功,341,15997
魚,342,15989
郎,343,15956
依,344,15928
来,345,15907
直,346,15785
鄉,347,15784
靈,348,15637
合,349,15619
主,350,15615
游,351,15568
定,352,15552
那,353,15538
了,354,15533
著,355,15533
德,356,15442
都,357,15434
待,358,15428
信,359,15426
斷,360,15423
星,361,15387
勝,362,15381
雙,363,15356
晴,364,15353
字,365,15340
僧,366,15285
要,367,15200
畫,368,15120
川,369,15108
於,370,15073
紫,371,15048
翁,372,15010
蒼,373,14945
聽,374,14923
曉,375,14905
堪,376,14845
宿,377,14837
車,378,14801
昔,379,14749
覺,380,14745
動,381,14733
連,382,14707
烟,383,14706
節,384,14642
鳴,385,14640
恨,386,14607
解,387,14562
立,388,14547
識,389,14503
沙,390,14491
辭,391,14480
陵,392,14463
垂,393,14439
峰,394,14436
愛,395,14359
賦,396,14350
死,397,14346
雖,398,14306
發,399,14264
但,400,14246
夕,401,14242
殘,402,14125
張,403,14120
感,404,14072
謝,405,14052
諸,406,13992
面,407,13954
桃,408,13913
虛,409,13841
賢,410,13793
蕭,411,13749
易,412,13676
鶴,413,13671
忘,414,13619
說,415,13595
度,416,13577
轉,417,13528
燕,418,13406
皇,419,13403
火,420,13350
散,421,13325
皆,422,13324
遺,423,13282
力,424,13275
女,425,13251
食,426,13242
端,427,13221
口,428,13182
步,429,13150
親,430,13149
靜,431,13114
詠,432,13090
即,433,13072
求,434,13070
悲,435,13056
憐,436,13020
聖,437,13008
憶,438,12983
飲,439,12920
閣,440,12842
倚,441,12828
教,442,12825
惟,443,12759
第,444,12725
帝,445,12720
化,446,12636
目,447,12635
舞,448,12619
寂,449,12614
吳,450,12568
楚,451,12542
頌,452,12535
佳,453,12365
許,454,12341
論,455,12321
破,456,12305
无,457,12246
想,458,12206
巖,459,12190
洞,460,12057
及,461,12015
筆,462,11989
取,463,11988
收,464,11988
冷,465,11957
的,466,11953
念,467,11857
守,468,11851
珠,469,11801
陳,470,11745
交,471,11728
詞,472,11667
燈,473,11665
憂,474,11641
載,475,11620
浪,476,11598
藏,477,11572
疏,478,11555
疑,479,11493
朱,480,11473
始,481,11426
把,482,11421
圖,483,11366
村,484,11333
爾,485,11310
再,486,11272
屋,487,11242
