# 语料库来源：https://github.com/nonamestreet/weixin_public_corpus 项目名：微信公众号语料库
# (来自网盘统计) 微信公众号 2016（3G 语料）， 此语料库含中文单字约8亿。
# 本词频表由liulizhucn@qq.com制作，首发86wb.ys168.com。
# 吾匣：截取频数大于等于20的数据。
"Word","Count"
的,26039505
在,4846349
是,4607380
了,4566022
和,3552271
有,2459319
你,2076873
我,1984212
也,1832772
年,1714442
人,1673740
为,1623984
不,1615052
都,1609170
我们,1581364
与,1581189
月,1574641
就,1500219
等,1421960
中,1392977
孩子,1322971
一个,1271446
对,1254525
上,1211386
他,1201498
要,1153155
到,1139626
日,1121459
中国,1052379
自己,1039797
会,1034894
让,965352
可以,954777
将,939622
活动,862779
这,832928
说,793669
后,789391
而,774947
工作,757367
时间,726845
元,722697
多,711203
并,706884
更,679332
着,674142
好,666626
还,665304
被,656272
没有,652435
以,649611
从,645562
及,638093
发展,636650
或,630826
们,626184
能,615850
文化,609392
就是,607042
去,606739
艺术,604796
来,602156
做,598269
把,588368
很,585058
给,569047
他们,567151
时,565614
但,558769
教育,547874
她,544940
可,541302
最,539757
进行,535393
大,523077
地,514753
这个,514451
学习,513733
号,508602
又,497597
一,489494
专业,484012
个,483278
生活,480619
老师,478479
关注,477363
如果,470820
于,466912
新,462422
用,458128
请,454716
学生,445888
问题,441140
下,434080
您,429621
小,411150
报名,408735
什么,407760
企业,404711
服务,404653
通过,404583
作品,403104
里,402720
学校,399330
由,392195
这样,377843
需要,377072
大家,374626
因为,373296
微信,368501
开始,363988
世界,363103
看,361197
公司,358391
之,352926
要求,351264
项目,348831
不是,347058
想,341609
时候,335365
国家,333162
它,331498
全国,328776
参加,326899
已经,319673
成为,318541
旅游,318523
一种,317539
社会,314681
提供,311685
很多,311609
这些,311533
其,309702
所,308454
中心,307085
方式,306114
吧,305747
再,302197
那,298489
能力,298425
岁,298233
以上,295316
重要,293974
国际,292622
同时,292412
一定,291899
过,291186
设计,291048
信息,284849
家长,281214
管理,277415
建设,277195
北京,276528
所以,275907
可能,272981
还是,272883
向,272843
得,271199
一起,269180
以及,266900
现在,266061
知道,262417
不能,262348
一些,261881
平台,260673
电话,260336
情况,259993
不要,259950
呢,259038
这里,258921
点击,257579
内容,256417
城市,256196
如,255309
作为,254413
还有,251871
但是,251682
吃,251144
舞蹈,250809
选择,250372
才,249857
路,249658
按,247820
内,245658
相关,244984
朋友,242788
却,242699
前,242186
主要,241747
吗,240487
地址,237542
市场,237457
学院,235514
至,235130
出,234829
当,234158
所有,234112
名,233922
了解,233813
阅读,233531
有限公司,233102
组织,232696
已,230638
不同,225094
爱,223838
技术,223152
喜欢,222682
发现,222419
高,221109
分,217665
现场,216220
为了,213808
或者,213096
酒店,212515
课程,211410
儿童,211241
考试,209785
培训,209738
产品,208978
看到,207834
如何,207637
招聘,206824
分享,206550
人员,206379
具有,206338
医院,205870
公众,205031
单位,204713
获得,204588
创新,203804
这种,203555
使,203221
一样,203186
教师,202728
经济,202367
根据,202112
对于,201996
地方,200845
那么,200474
进入,200174
非常,199296
希望,199162
其他,198090
研究,197897
各,197801
历史,197708
传统,197453
大学,197411
上海,197241
父母,195272
使用,194817
一次,194460
其中,194435
过程,194144
像,192976
体验,192225
走,191003
二,189639
精神,189083
特别,187025
影响,186303
只,186218
免费,185741
每,185424
三,184698
微,183364
考生,182599
出现,181806
不会,180872
长,180165
方面,179581
点,179487
小时,179152
环境,177666
合作,176902
约,176425
妈妈,176046
带,175502
起来,175236
必须,175087
健康,174982
美术,174727
个人,174548
参与,174210
能够,173388
教学,172142
成功,171756
没,171621
比,170989
最后,170883
方法,170531
安全,169901
今天,169387
提高,168976
觉得,168246
只有,167744
天,167726
应该,167687
该,167146
这是,166727
投资,166652
跟,166588
各种,166501
美国,166445
同学,165832
目前,165633
之后,165235
音乐,164770
实现,163854
成绩,163594
地点,162663
其实,162317
团队,162243
家,162218
培养,161247
景区,160730
完成,160247
则,160107
二维码,159617
一直,159597
包括,159518
哦,159182
基础,158994
米,158963
开展,158560
第一,157944
网络,157577
计划,157215
以下,157210
认为,157115
优秀,156730
特色,155420
每天,154729
安排,154522
部分,154255
自然,154098
价值,153487
每个,153004
品牌,152938
关于,152793
行业,151941
感受,151597
规定,151171
标准,151002
家庭,150874
帮助,150411
支持,149816
比赛,149620
副,149200
机构,147442
未来,147394
最大,147242
人生,147160
直接,146804
创作,146610
人们,146581
发生,146538
分钟,146433
均,146425
区,145683
书法,145539
类,145348
信号,144555
班,144355
形成,144199
啊,144037
成长,143949
协会,143772
本,143623
而且,143238
两个,143069
坚持,143042
故事,142620
联系,142441
期间,141761
因,141717
不断,141286
得到,141010
甚至,140865
综合,140231
怎么,140186
经验,139565
招生,139330
介绍,139325
比较,139160
只是,138957
青年,138867
费用,138770
交流,138558
一般,138462
站,137951
曾,137789
主题,137502
者,137300
创业,137157
知识,137146
代表,137012
享受,136645
基本,135993
小学,135788
东西,135750
记者,135331
出来,134763
系统,134489
之一,134167
你们,134004
起,133958
别人,133941
手机,133859
快乐,133780
事,133747
努力,133225
注意,133123
互联网,132802
事情,132787
空间,132770
提升,132396
全面,132384
第,132004
因此,131741
市,131238
任何,130942
条件,130908
准备,130832
表现,130311
关系,130301
表演,130277
地区,130093
表示,129546
拥有,129391
按照,128976
无,128593
来自,128492
不仅,128395
咨询,128335
绘画,128264
由于,128126
即,127715
先生,127484
啦,127484
销售,127339
时代,126949
岗位,126877
虽然,126769
下午,126582
感觉,126575
之间,126423
机会,125467
然后,125372
有关,124652
真正,124179
集团,123779
推荐,123563
今年,123136
丰富,123126
才能,122998
写,122725
政策,122420
带来,122413
