# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
阿谀逢迎,e1_yu2_feng2_ying2
阿谀奉承,e1_yu2_feng4_cheng2
挨家挨户,ai1_jia1_ai1_hu4
唉声叹气,ai1_sheng1_tan4_qi4
哀兵必胜,ai1_bing1_bi4_sheng4
碍手碍脚,ai4_shou3_ai4_jiao3
爱不释手,ai4_bu2_shi4_shou3
爱莫能助,ai4_mo4_neng2_zhu4
爱屋及乌,ai4_wu1_ji2_wu1
爱憎分明,ai4_zeng1_fen1_ming2
安邦定国,an1_bang1_ding4_guo2
安分守己,an1_fen4_shou2_ji3
安家立业,an1_jia1_li4_ye4
安家落户,an1_jia1_luo4_hu4
安居乐业,an1_ju1_le4_ye4
安民告示,an1_min2_gao4_shi4
安然无恙,an1_ran2_wu2_yang4
安营扎寨,an1_ying2_zha1_zhai4
按兵不动,an4_bing1_bu2_dong4
按部就班,an4_bu4_jiu4_ban1
按图索骥,an4_tu2_suo3_ji4
暗箭伤人,an4_jian4_shang1_ren2
暗送秋波,an4_song4_qiu1_bo1
暗无天日,an4_wu2_tian1_ri4
暗中摸索,an4_zhong1_mo1_suo3
昂首阔步,ang2_shou3_kuo4_bu4
八拜之交,ba1_bai4_zhi1_jiao1
八面玲珑,ba1_mian4_ling2_long2
八面威风,ba1_mian4_wei1_feng1
八仙过海,ba1_xian1_guo4_hai3
拔地而起,ba2_di4_er2_qi3
拔苗助长,ba2_miao2_zhu4_zhang3
跋山涉水,ba2_shan1_she4_shui3
白发苍苍,bai2_fa4_cang1_cang1
白日做梦,bai2_ri4_zuo4_meng4
白日作梦,bai2_ri4_zuo4_meng4
白手起家,bai2_shou2_qi3_jia1
白头偕老,bai2_tou2_xie2_lao3
白璧无瑕,bai2_bi4_wu2_xia2
百步穿杨,bai3_bu4_chuan1_yang2
百川归海,bai3_chuan1_gui1_hai3
百读不厌,bai3_du2_bu2_yan4
百发百中,bai3_fa1_bai3_zhong1
百废具兴,bai3_fei4_ju4_xing1
