"Number","Character","Pinyin","Other Pinyin"
0005,丁,dīng,zhēng
0006,厂,chǎng,ān
0008,卜,bǔ,"bo,pú"
0014,几,jǐ,jī
0017,了,le,liǎo
0023,干,gàn,gān
0032,大,dà,dài
0034,与,yǔ,"yù,yú"
0035,万,wàn,mò
0036,上,shàng,"shǎng,shang"
0045,个,gè,gě
0048,么,me,"mó,yāo,ma"
0053,广,guǎng,ān
0054,亡,wáng,wú
0064,子,zǐ,·zi
0067,女,nǚ,rǔ
0071,叉,chā,"chà,chǎ,chá"
0075,王,wáng,wàng
0079,夫,fū,fú
0081,无,wú,mó
0085,扎,zhā,"zā,zhá"
0091,不,bù,fǒu
0094,区,qū,ōu
0100,车,chē,jū
0103,屯,tún,zhūn
0107,切,qiē,qiè
0108,瓦,wǎ,wà
0110,少,shǎo,shào
0113,中,zhōng,zhòng
0116,内,nèi,nà
0118,见,jiàn,xiàn
0127,长,cháng,zhǎng
0129,什,shí,shén
0130,片,piàn,piān
0131,仆,pú,pū
0132,化,huà,huā
0133,仇,chóu,qiú
0136,仅,jǐn,jìn
0138,爪,zhǎo,zhuǎ
0141,父,fù,fǔ
0146,分,fēn,fèn
0151,氏,shì,zhī
0154,风,fēng,fěng
0157,乌,wū,wù
0158,勾,gōu,gòu
0160,六,liù,lù
0162,亢,kàng,"háng,gāng"
0165,为,wéi,wèi
0166,斗,dòu,dǒu
0175,尺,chǐ,chě
0184,予,yǔ,yú
0193,末,mò,·me
0196,打,dǎ,dá
0198,正,zhèng,zhēng
0201,扒,bā,pá
0207,艾,ài,yì
0209,节,jié,jiē
0211,术,shù,"zhú,shú"
0212,可,kě,kè
0216,石,shí,dàn
0219,夯,hāng,bèn
0224,轧,zhá,"yà,gá"
0226,卡,kǎ,qiǎ
0227,北,běi,bèi
0228,占,zhàn,zhān
0237,且,qiě,jū
0238,叶,yè,xié
0243,号,hào,háo
0246,只,zhī,zhǐ
0255,叨,dāo,"dáo,tāo"
0260,凹,āo,wā
0273,们,mén,men
0276,仔,zǎi,"zǐ,zī"
0282,令,lìng,"líng,lǐng"
0287,乐,lè,"yuè,yào,lào"
0288,句,jù,gōu
0294,处,chǔ,chù
0303,冯,féng,píng
0310,头,tóu,tou
0312,宁,níng,nìng
0334,召,zhào,shào
0337,边,biān,bian
0339,发,fā,fà
0342,台,tái,tāi
0354,扛,káng,gāng
0365,扫,sǎo,sào
0366,地,dì,de
0367,场,chǎng,cháng
0371,共,gòng,gōng
0376,朴,pǔ,"piáo,pò,pō"
0379,过,guò,"guo,guō"
0385,压,yā,yà
0387,戌,qu,xū
0390,有,yǒu,yòu
0395,夸,kuā,kuà
0402,夹,jiā,"jiá,gā,xiá"
0405,邪,xié,"yé,yá,yú,xú"
0407,划,huá,"huà,huai"
0418,当,dāng,dàng
0420,吁,xū,"yū,yù"
0421,吐,tǔ,tù
0422,吓,xià,hè
0424,曲,qǔ,qū
0427,同,tóng,tòng
0432,吗,ma,"má,mǎ"
0439,岂,qǐ,kǎi
0445,朱,zhū,shú
0455,传,chuán,zhuàn
0458,休,xiū,xǔ
0467,任,rèn,rén
0469,价,jià,"jie,jiè"
0471,份,fèn,bīn
0472,华,huá,"huā,huà"
0473,仰,yǎng,áng
0479,血,xuè,xiě
0481,似,sì,shì
0483,行,háng,"hàng,héng,xíng"
0486,会,huì,kuài
0488,合,hé,gě
0494,创,chuàng,chuāng
0496,肋,lèi,lē
0506,各,gè,gě
0509,色,sè,shǎi
0511,冲,chōng,chòng
0518,齐,qí,"jì,zī,zhāi"
0520,衣,yī,yì
0530,羊,yáng,xiáng
0531,并,bìng,bīng
0536,汗,hàn,hán
0542,汤,tāng,shāng
0544,兴,xīng,xìng
0554,许,xǔ,hǔ
0556,论,lùn,lún
0564,那,nà,"nèi,nā"
0566,尽,jìn,jǐn
0570,孙,sūn,xùn
0580,妃,fēi,pèi
0581,好,hǎo,hào
0582,她,tā,jiě
0584,戏,xì,hū
0586,观,guān,guàn
0589,红,hóng,gōng
0590,驮,tuó,duò
0591,纤,xiān,qiàn
0593,约,yuē,yāo
0595,纪,jì,jǐ
0600,弄,nòng,lòng
0608,远,yuǎn,yuàn
0616,坏,huài,"pī,pēi,péi"
0632,折,shé,"zhé,zhē"
0634,扳,bān,pān
0635,抡,lún,lūn
0637,抢,qiǎng,"qiāng,chēng"
0647,坊,fāng,fáng
0650,壳,ké,qiào
0655,把,bǎ,bà
0667,芥,jiè,gài
0673,芯,xīn,xìn
0677,苏,sū,sù
0678,杆,gǎn,gān
0679,杠,gàng,gāng
0685,杉,shān,shā
0693,更,gēng,gèng
0695,吾,wú,yù
0699,丽,lì,lí
0703,否,fǒu,pǐ
0704,还,hái,huán
0713,肖,xiào,xiāo
0719,助,zhù,chú
0720,县,xiàn,xuán
0721,里,lǐ,li
0723,吱,zī,zhī
0725,呕,ǒu,"ōu,òu"
0729,呀,yā,ya
0735,吵,chǎo,chāo
0737,员,yuán,"yún,yùn"
0738,呐,nà,·ne
0742,呛,qiāng,qiàng
0746,吭,kēng,háng
0747,吧,bā,ba
0750,囤,dùn,tún
0751,别,bié,biè
0754,岗,gǎng,gāng
0758,钉,dīng,dìng
0769,估,gū,gù
0770,体,tǐ,tī
0771,何,hé,"hè,hē"
0776,佃,diàn,tián
0777,作,zuò,zuō
0778,伯,bǎi,bó
0780,佣,yōng,yòng
0788,伺,sì,cì
0789,佛,fó,"fú,bì,bó"
0798,谷,gǔ,yù
0805,肚,dù,dǔ
0808,龟,guī,"jūn,qiū"
0809,甸,diàn,"tián,shèng"
0814,角,jiǎo,jué
0816,条,tiáo,tiāo
0821,刨,páo,bào
0824,饮,yǐn,yìn
0825,系,xì,jì
0836,应,yìng,yīng
0837,这,zhè,zhèi
0847,间,jiān,jiàn
0848,闷,mèn,mēn
0850,兑,duì,"ruì,yuè"
0854,弟,dì,"tì,tuí"
0860,沙,shā,shà
0867,没,méi,mò
0870,沈,shěn,chén
0892,识,shí,zhì
0904,尿,niào,suī
0905,尾,wěi,yǐ
0912,陆,lù,liù
0913,阿,ā,"ē,·a"
0926,劲,jìn,jìng
0936,纵,zòng,zǒng
0939,纹,wén,wèn
0948,责,zé,zhài
0953,抹,mǒ,"mò,mā"
0955,坷,kē,kě
0957,拓,tuò,"tà,zhí"
0963,担,dān,"dàn,dǎn"
0972,拆,chāi,cā
0976,拘,jū,gōu
0981,拉,lā,"lá,lǎ,là"
0984,拌,bàn,pàn
0985,拧,nǐng,"níng,nìng"
0986,拂,fú,bì
0992,择,zé,zhái
0995,拗,niù,"ào,ǎo"
0996,其,qí,jī
1001,苛,kē,hē
1002,若,ruò,rě
1004,苹,píng,pēng
1013,茄,qié,jiā
1015,苔,tái,tāi
1019,枝,zhī,qí
1022,柜,guì,jǔ
1034,丧,sàng,sāng
1039,刺,cì,cī
1041,雨,yǔ,yù
1049,奔,bēn,bèn
1050,奇,qí,jī
1056,妻,qī,qì
1059,转,zhuǎn,"zhuàn,zhuǎi"
1085,呵,hē,"ā,á,ǎ,à,a,kē"
1097,咋,zǎ,"zé,zhā"
1102,呢,ne,ní
1104,咖,kā,gā
1107,帖,tiē,"tiě,tiè"
1122,知,zhī,zhì
1131,和,hé,"hè,huò,huó,hú"
1133,委,wěi,wēi
1138,供,gòng,gōng
1142,侥,yáo,jiǎo
1147,侧,cè,"zè,zhāi"
1155,的,de,"dí,dì,dī"
1156,迫,pò,pǎi
1165,舍,shè,shě
1167,刹,shā,chà
1172,采,cǎi,cài
1190,服,fú,fù
1212,底,dǐ,de
1213,疟,nüè,yào
1214,疙,gē,yì
1217,卒,zú,cù
1221,净,jìng,chēng
1225,育,yù,yō
1226,氓,méng,máng
1230,券,quàn,xuàn
1231,卷,juàn,juǎn
1232,单,dān,"chán,shàn"
1240,浅,qiǎn,jiān
1242,泄,xiè,yì
1247,沮,jǔ,jù
1249,泊,bó,pō
1251,泡,pào,pāo
1256,泌,mì,bì
1258,泥,ní,nì
1263,泽,zé,shì
1265,怔,zhēng,zhèng
1282,空,kōng,"kòng,kǒng"
1284,宛,wǎn,yuān
1287,郎,láng,làng
1301,详,xiáng,yáng
1310,刷,shuā,shuà
1313,弥,mí,mǐ
1321,降,jiàng,xiáng
1334,参,cān,"shēn,cēn,sān"
1342,织,zhī,zhì
1350,经,jīng,jìng
1352,契,qì,"qiè,xiè"
1362,毒,dú,dài
1372,挎,kuà,kū
1374,挟,jiā,xié
1379,挡,dǎng,dàng
1380,拽,zhuài,"zhuāi,yè"
1383,括,kuò,guā
1386,拾,shí,shè
1387,挑,tiāo,tiǎo
1388,垛,duǒ,duò
1391,挣,zhèng,zhēng
1400,甚,shèn,shén
1403,革,gé,jí
1406,巷,xiàng,hàng
1420,荫,yìn,yīn
1422,南,nán,nā
1430,相,xiāng,xiàng
1431,查,zhā,chá
1432,柏,bǎi,"bó,bò"
1433,栅,shān,"zhà,shi,cè"
1441,要,yào,yāo
1446,研,yán,yàn
1450,砌,qì,qiè
1462,轴,zhóu,zhòu
1467,背,bèi,bēi
1474,省,shěng,xǐng
1475,削,xuē,xiāo
1482,哇,wā,wa
1483,哄,hǒng,"hōng,hòng"
1484,哑,yǎ,yā
