"字","繁体"
皑,皚
嗳,噯
蔼,藹
霭,靄
爱,愛
暧,曖
碍,礙
谙,諳
鹌,鵪
暗,闇
肮,骯
袄,襖
鳌,鼇
袄,襖
坝,壩
罢,罷
摆,擺
败,敗
颁,頒
板,闆
办,辦
绊,絆
帮,幫
绑,綁
谤,謗
镑,鎊
龅,齙
饱,飽
宝,寶
鸨,鴇
报,報
鲍,鮑
贝,貝
狈,狽
备,備
辈,輩
惫,憊
呗,唄
绷,繃
笔,筆
币,幣
毕,畢
闭,閉
毙,斃
边,邊
编,編
贬,貶
变,變 変
辩,辯
辫,辮
标,標
镖,鏢
表,錶
别,彆
鳖,鱉
瘪,癟
宾,賓
傧,儐
滨,濱
缤,繽
槟,檳
膑,臏
摈,擯
殡,殯
鬓,鬢
饼,餅
拨,撥
饽,餑
驳,駁
铂,鉑
卜,蔔
补,補
布,佈
才,纔
财,財
参,參
残,殘
蚕,蠶
惭,慚
惨,慘
灿,燦
仓,倉
苍,蒼
沧,滄
舱,艙
厕,廁
侧,側
测,測
恻,惻
层,層
锸,鍤
诧,詫
钗,釵
掺,摻
搀,攙
禅,禪
蝉,蟬
缠,纏
谗,讒
婵,嬋
产,產
铲,鏟
阐,闡
忏,懺
颤,顫
长,長
肠,腸
尝,嘗
偿,償
厂,廠
场,場
伥,倀
畅,暢
车,車
彻,徹
尘,塵
陈,陳
衬,襯
称,稱
蛏,蟶
诚,誠
惩,懲
乘,乗
撑,撐
痴,癡
驰,馳
迟,遲
齿,齒
炽,熾
冲,衝
虫,蟲
宠,寵
绸,綢
筹,籌
踌,躊
丑,醜
出,齣
刍,芻
锄,鋤
雏,雛
础,礎
储,儲
处,處
触,觸
传,傳
疮,瘡
闯,闖
创,創
怆,愴
锤,錘
纯,純
莼,蓴
唇,脣
鹑,鶉
绰,綽
辍,輟
词,詞
辞,辭
赐,賜
苁,蓯
聪,聰
冲,衝
从,從
丛,叢
撺,攛
蹿,躥
窜,竄
锉,銼
错,錯
哒,噠
达,達
鞑,韃
带,帶
贷,貸
担,擔
单,単 單
殚,殫
掸,撣
胆,膽
惮,憚
诞,誕
当,當 噹
裆,襠
铛,鐺
挡,擋
党,黨
荡,蕩
档,檔
导,導
岛,島
捣,搗
祷,禱
邓,鄧
灯,燈
籴,糴
敌,敵
涤,滌
诋,詆
谛,諦
缔,締
递,遞
颠,顛
巅,巔
癫,癲
点,點
电,電
垫,墊
淀,澱
钓,釣
谍,諜
钉,釘
顶,頂
订,訂
冬,鼕
东,東
冻,凍
栋,棟
动,動
斗,鬥
窦,竇
独,獨
读,讀
渎,瀆
犊,犢
牍,牘
椟,櫝
黩,黷
笃,篤
镀,鍍
断,斷
缎,緞
锻,鍛
队,隊
对,對
吨,噸
钝,鈍
顿,頓
夺,奪
铎,鐸
堕,墮
讹,訛
鹅,鵝
额,額
轭,軛
恶,惡 噁
饿,餓
谔,諤
鳄,鱷
儿,兒
尔,爾
迩,邇
饵,餌
贰,貳
发,發 髮
罚,罰
阀,閥
矾,礬
烦,煩
贩,販
饭,飯
范,範
访,訪
纺,紡
飞,飛
诽,誹
绯,緋
废,廢
费,費
纷,紛
坟,墳
奋,奮
粪,糞
愤,憤
丰,豐
风,風
枫,楓
疯,瘋
锋,鋒
缝,縫
冯,馮
讽,諷
凤,鳳
肤,膚
麸,麩
凫,鳧
辐,輻
抚,撫
辅,輔
赋,賦
妇,婦
讣,訃
负,負
复,復 複
缚,縛
赙,賻
抚,撫
该,該
赅,賅
钙,鈣
盖,蓋
干,乾 幹
尴,尷
赶,趕
冈,岡
刚,剛
纲,綱
钢,鋼
岗,崗
戆,戇
缟,縞
镐,鎬
诰,誥
纥,紇
鸽,鴿
搁,擱
个,個
阁,閣
给,給
绠,綆
龚,龔
巩,鞏
贡,貢
沟,溝
钩,鉤
构,構
购,購
诟,詬
轱,軲
谷,穀
顾,顧
雇,僱
刮,颳
剐,剮
挂,掛
关,關 関
观,觀
馆,館
贯,貫
掼,摜
惯,慣
鹳,鸛
广,廣
归,歸
龟,龜
规,規
闺,閨
诡,詭
轨,軌
贵,貴
柜,櫃
刽,劊
锅,鍋
蝈,蟈
国,國
帼,幗
过,過
还,還
骇,駭
韩,韓
汉,漢
号,號
诃,訶
阂,閡
合,閤
颌,頜
贺,賀
鹤,鶴
轰,轟
红,紅
鸿,鴻
哄,鬨
讧,訌
后,後
胡,鬍
壶,壺
浒,滸
护,護
沪,滬
华,華
哗,嘩
话,話
画,畫
划,劃
桦,樺
怀,懷
坏,壞
欢,歡
环,環
缓,緩
辉,輝
诙,詼
挥,揮
回,迴
汇,匯 彙
会,會
讳,諱
贿,賄
荟,薈
绘,繪
桧,檜
烩,燴
秽,穢
荤,葷
浑,渾
馄,餛
诨,諢
伙,夥
货,貨
获,獲 穫
祸,禍
讥,譏
击,擊
叽,嘰
饥,饑
玑,璣
机,機
矶,磯
鸡,雞
积,積
缉,緝
辑,輯
级,級
极,極
几,幾
挤,擠
计,計
记,記
纪,紀
际,際
剂,劑
迹,跡
济,濟
继,繼
绩,績
霁,霽
骥,驥
家,傢
夹,夾
浃,浹
荚,莢
颊,頰
贾,賈
价,價
驾,駕
戋,戔
间,間
歼,殲
坚,堅
艰,艱
监,監
笺,箋
缄,緘
拣,揀
俭,儉
捡,撿
检,檢
硷,鹼
睑,瞼
简,簡
茧,繭
见,見
渐,漸
饯,餞
贱,賤
剑,劍
舰,艦
涧,澗
谏,諫
践,踐
溅,濺
鉴,鑒
键,鍵
荐,薦
将,將
浆,漿
缰,韁
姜,薑
奖,獎
讲,講
桨,槳
蒋,蔣
酱,醬
绛,絳
浇,澆
娇,嬌
骄,驕
胶,膠
矫,矯
侥,僥
饺,餃
脚,腳
绞,絞
搅,攪
缴,繳
轿,轎
较,較
阶,階
节,節
疖,癤
杰,傑
诘,詰
洁,潔
结,結
诫,誡
借,藉
仅,僅
紧,緊
锦,錦
谨,謹
馑,饉
