"Test environment","Index","Hierarchy number","Level 1","Level 2","Level 3","Level 4","Open interface","Normal values","Normal operations","Normal results","Boundary values","Abnormal values","Abnormal operations","Exception results","Tips","Buttons","Shortcuts","Menu","Response time","Memory occupied","Verifier","Modify time","Description"
win,1,1,Document,,,,,,,,,,,,,,,,,,,,,
win,2,1.1,,Information in Tree,,,,,,,,,,,,,,,,,,,,
win,3,1.1.1,,,Tree of Texts,,,,,,,,,,,,,,,,,,,
win,4,1.1.2,,,Tree of Html Pages,,,,,,,,,,,,,,,,,,,
win,5,1.3,,PDF,,,,,,,,,,,,,,,,,,,,
win,6,1.3.1,,,View PDF,,,,,,,,,,,,,,,,,,,
win,7,1.3.2,,,Play PDF,,,,,,,,,,,,,,,,,,,
win,8,1.3.4,,,Convert Pages in PDFs to Images in Batch,,,,,,,,,,,,,,,,,,,
win,9,1.3.5,,,Convert Images in PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,10,1.3.6,,,Convert Pages in PDFs to Htmls in Batch,,,,,,,,,,,,,,,,,,,
win,11,1.3.7,,,Compress Images in PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,12,1.3.9,,,Extract Images in PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,13,1.3.10,,,Extract Texts in PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,14,1.3.11,,,Character Recognition in PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,15,1.3.12,,,Add watermark in PDFs in batch,,,,,,,,,,,,,,,,,,,
win,16,1.3.14,,,Split PDFs in Batch,,,,,,,,,,,,,,,,,,,
win,17,1.3.15,,,Merge PDF Files,,,,,,,,,,,,,,,,,,,
win,18,1.3.16,,,Combine Images As PDF,,,,,,,,,,,,,,,,,,,
win,19,1.3.18,,,Modify PDF Attributes,,,,,,,,,,,,,,,,,,,
win,20,1.3.19,,,Modify PDFs Attributes in Batch,,,,,,,,,,,,,,,,,,,
win,21,1.4,,Markdown,,,,,,,,,,,,,,,,,,,,
win,22,1.4.1,,,Edit Markdown,,,,,,,,,,,,,,,,,,,
win,23,1.4.2,,,Markdown Options,,,,,,,,,,,,,,,,,,,
win,24,1.4.4,,,Make Typesetting of Markdown Files in Batch,,,,,,,,,,,,,,,,,,,
