"测试环境","索引","层次号","级别 1","级别 2","级别 3","级别 4","打开界面","正常值","正常操作","正常结果","边界值","异常值","异常操作","异常结果","提示","按钮","快捷键","菜单","响应时间","内存占用","检验者","修改时间","描述"
win,1,1,文档,,,,,,,,,,,,,,,,,,,,,
win,2,1.1,,树形信息,,,,,,,,,,,,,,,,,,,,
win,3,1.1.1,,,文本树,,,,,,,,,,,,,,,,,,,
win,4,1.1.2,,,网页树,,,,,,,,,,,,,,,,,,,
win,5,1.3,,PDF,,,,,,,,,,,,,,,,,,,,
win,6,1.3.1,,,查看PDF,,,,,,,,,,,,,,,,,,,
win,7,1.3.2,,,播放PDF,,,,,,,,,,,,,,,,,,,
win,8,1.3.4,,,批量把PDF页面转换为图像,,,,,,,,,,,,,,,,,,,
win,9,1.3.5,,,批量转换PDF文件中的图像,,,,,,,,,,,,,,,,,,,
win,10,1.3.6,,,批量把PDF页面转换为网页,,,,,,,,,,,,,,,,,,,
win,11,1.3.7,,,批量压缩PDF文件中的图像,,,,,,,,,,,,,,,,,,,
win,12,1.3.9,,,批量提取PDF中的图像,,,,,,,,,,,,,,,,,,,
win,13,1.3.10,,,批量提取PDF中的文字,,,,,,,,,,,,,,,,,,,
win,14,1.3.11,,,批量识别PDF中的文字,,,,,,,,,,,,,,,,,,,
win,15,1.3.12,,,批量在PDF中添加水印,,,,,,,,,,,,,,,,,,,
win,16,1.3.14,,,批量分割PDF,,,,,,,,,,,,,,,,,,,
win,17,1.3.15,,,合并PDF文件,,,,,,,,,,,,,,,,,,,
win,18,1.3.16,,,将多个图像合成为PDF,,,,,,,,,,,,,,,,,,,
win,19,1.3.18,,,修改PDF属性,,,,,,,,,,,,,,,,,,,
win,20,1.3.19,,,批量修改PDF属性,,,,,,,,,,,,,,,,,,,
win,21,1.4,,Markdown,,,,,,,,,,,,,,,,,,,,
win,22,1.4.1,,,编辑Markdown,,,,,,,,,,,,,,,,,,,
win,23,1.4.2,,,Markdown选项,,,,,,,,,,,,,,,,,,,
win,24,1.4.4,,,批量排版Markdown文件,,,,,,,,,,,,,,,,,,,
win,25,1.4.5,,,批量转换Markdown为网页,,,,,,,,,,,,,,,,,,,
win,26,1.4.6,,,批量转换Markdown为文本,,,,,,,,,,,,,,,,,,,
win,27,1.4.7,,,批量转换Markdown为PDF,,,,,,,,,,,,,,,,,,,
win,28,1.5,,JSON,,,,,,,,,,,,,,,,,,,,
win,29,1.5.1,,,编辑JSON,,,,,,,,,,,,,,,,,,,
win,30,1.5.2,,,批量排版JSON文件,,,,,,,,,,,,,,,,,,,
win,31,1.6,,XML,,,,,,,,,,,,,,,,,,,,
win,32,1.6.1,,,编辑XML,,,,,,,,,,,,,,,,,,,
win,33,1.6.2,,,批量排版XML文件,,,,,,,,,,,,,,,,,,,
win,34,1.7,,网页,,,,,,,,,,,,,,,,,,,,
win,35,1.7.1,,,编辑网页,,,,,,,,,,,,,,,,,,,
win,36,1.7.2,,,查找网页中的字串,,,,,,,,,,,,,,,,,,,
win,37,1.7.3,,,查找网页中的元素,,,,,,,,,,,,,,,,,,,
win,38,1.7.4,,,网页截图,,,,,,,,,,,,,,,,,,,
win,39,1.7.5,,,批量提取网页中的表格数据,,,,,,,,,,,,,,,,,,,
win,40,1.7.7,,,批量排版网页文件,,,,,,,,,,,,,,,,,,,
win,41,1.7.8,,,批量转换网页为markdown,,,,,,,,,,,,,,,,,,,
win,42,1.7.9,,,批量转换网页为文本,,,,,,,,,,,,,,,,,,,
win,43,1.7.10,,,批量转换网页为PDF,,,,,,,,,,,,,,,,,,,
win,44,1.7.11,,,批量设置网页文件的编码,,,,,,,,,,,,,,,,,,,
win,45,1.7.12,,,批量设置网页文件的样式,,,,,,,,,,,,,,,,,,,
win,46,1.7.13,,,批量设置网页文件的http-equiv,,,,,,,,,,,,,,,,,,,
win,47,1.7.15,,,合并多个网页文件为一个网页文件,,,,,,,,,,,,,,,,,,,
win,48,1.7.16,,,合并多个网页文件为一个markdown文件,,,,,,,,,,,,,,,,,,,
win,49,1.7.17,,,合并多个网页文件为一个PDF文件,,,,,,,,,,,,,,,,,,,
win,50,1.7.18,,,合并多个网页文件为一个文本文件,,,,,,,,,,,,,,,,,,,
win,51,1.7.19,,,生成文件的框架,,,,,,,,,,,,,,,,,,,
win,52,1.8,,文本,,,,,,,,,,,,,,,,,,,,
win,53,1.8.1,,,编辑文本,,,,,,,,,,,,,,,,,,,
win,54,1.8.2,,,批量查找文本文件中的字串,,,,,,,,,,,,,,,,,,,
win,55,1.8.3,,,批量替换文本文件中的字串,,,,,,,,,,,,,,,,,,,
win,56,1.8.4,,,批量过滤文本文件的行,,,,,,,,,,,,,,,,,,,
win,57,1.8.5,,,批量转换/分割文本文件,,,,,,,,,,,,,,,,,,,
win,58,1.8.6,,,合并文本文件,,,,,,,,,,,,,,,,,,,
win,59,1.8.7,,,批量转换文本为网页,,,,,,,,,,,,,,,,,,,
win,60,1.8.8,,,批量转换文本为PDF,,,,,,,,,,,,,,,,,,,
win,61,1.9,,微软的文档格式,,,,,,,,,,,,,,,,,,,,
win,62,1.9.1,,,查看Word文件-网页/文本模式,,,,,,,,,,,,,,,,,,,
win,63,1.9.2,,,批量转换Word文件为Html,,,,,,,,,,,,,,,,,,,
win,64,1.9.3,,,批量转换Word文件为PDF,,,,,,,,,,,,,,,,,,,
win,65,1.9.5,,,查看PPT文件-图像模式,,,,,,,,,,,,,,,,,,,
win,66,1.9.6,,,批量转换PPT文件为图像,,,,,,,,,,,,,,,,,,,
win,67,1.9.7,,,批量转换PPT文件为PDF,,,,,,,,,,,,,,,,,,,
win,68,1.9.8,,,批量提取PPT中的对象,,,,,,,,,,,,,,,,,,,
win,69,1.9.9,,,批量分割PPT文件,,,,,,,,,,,,,,,,,,,
win,70,1.9.10,,,合并pptx文件,,,,,,,,,,,,,,,,,,,
win,71,1.9.11,,,将多个图像合成为PPT,,,,,,,,,,,,,,,,,,,
win,72,1.9.12,,,播放PPT,,,,,,,,,,,,,,,,,,,
win,73,1.9.14,,,批量从Excel/Word/PowerPoint/Publisher/Visio中提取文本,,,,,,,,,,,,,,,,,,,
win,74,1.10,,字节,,,,,,,,,,,,,,,,,,,,
win,75,1.10.1,,,编辑字节,,,,,,,,,,,,,,,,,,,
win,76,1.10.2,,,批量查找文件中的字节,,,,,,,,,,,,,,,,,,,
win,77,1.12,,吾匣粘贴板中的文本,,,,,,,,,,,,,,,,,,,,
win,78,1.13,,系统粘贴板中的文本,,,,,,,,,,,,,,,,,,,,
win,79,2,图像,,,,,,,,,,,,,,,,,,,,,
win,80,2.1,,编辑图像,,,,,,,,,,,,,,,,,,,,
win,81,2.2,,处理图像,,,,,,,,,,,,,,,,,,,,
win,82,2.2.1,,,分析图像,,,,,,,,,,,,,,,,,,,
win,83,2.2.2,,,识别图像中的文字,,,,,,,,,,,,,,,,,,,
win,84,2.2.4,,,重复/平铺图像,,,,,,,,,,,,,,,,,,,
win,85,2.2.5,,,拼接图像,,,,,,,,,,,,,,,,,,,
win,86,2.2.6,,,分割图像,,,,,,,,,,,,,,,,,,,
win,87,2.2.7,,,降采样/裁剪图像,,,,,,,,,,,,,,,,,,,
win,88,2.2.9,,,播放图像列表,,,,,,,,,,,,,,,,,,,
win,89,2.2.10,,,编辑图像列表,,,,,,,,,,,,,,,,,,,
win,90,2.2.11,,,浏览图像,,,,,,,,,,,,,,,,,,,
win,91,2.3,,处理图像-批量,,,,,,,,,,,,,,,,,,,,
win,92,2.3.1,,,色彩,,,,,,,,,,,,,,,,,,,
win,93,2.3.1.1,,,,换色,,,,,,,,,,,,,,,,,,
win,94,2.3.1.2,,,,混色,,,,,,,,,,,,,,,,,,
win,95,2.3.1.3,,,,调色,,,,,,,,,,,,,,,,,,
win,96,2.3.1.4,,,,黑白色,,,,,,,,,,,,,,,,,,
win,97,2.3.1.5,,,,灰色,,,,,,,,,,,,,,,,,,
win,98,2.3.1.6,,,,褐色,,,,,,,,,,,,,,,,,,
win,99,2.3.1.7,,,,减色,,,,,,,,,,,,,,,,,,
win,100,2.3.1.8,,,,阈值化,,,,,,,,,,,,,,,,,,
win,101,2.3.2,,,像素,,,,,,,,,,,,,,,,,,,
win,102,2.3.2.1,,,,马赛克,,,,,,,,,,,,,,,,,,
win,103,2.3.2.2,,,,磨砂玻璃,,,,,,,,,,,,,,,,,,
win,104,2.3.2.3,,,,阴影,,,,,,,,,,,,,,,,,,
win,105,2.3.2.4,,,,虚化,,,,,,,,,,,,,,,,,,
win,106,2.3.2.5,,,,锐化,,,,,,,,,,,,,,,,,,
win,107,2.3.2.6,,,,对比度,,,,,,,,,,,,,,,,,,
win,108,2.3.2.7,,,,边缘检测,,,,,,,,,,,,,,,,,,
win,109,2.3.2.8,,,,浮雕,,,,,,,,,,,,,,,,,,
win,110,2.3.2.9,,,,卷积,,,,,,,,,,,,,,,,,,
win,111,2.3.3,,,修改,,,,,,,,,,,,,,,,,,,
win,112,2.3.3.1,,,,大小,,,,,,,,,,,,,,,,,,
win,113,2.3.3.2,,,,边沿,,,,,,,,,,,,,,,,,,
win,114,2.3.3.3,,,,剪裁,,,,,,,,,,,,,,,,,,
win,115,2.3.3.4,,,,圆角,,,,,,,,,,,,,,,,,,
win,116,2.3.3.5,,,,旋转,,,,,,,,,,,,,,,,,,
win,117,2.3.3.6,,,,镜像,,,,,,,,,,,,,,,,,,
win,118,2.3.3.7,,,,斜拉,,,,,,,,,,,,,,,,,,
win,119,2.3.3.8,,,,粘贴,,,,,,,,,,,,,,,,,,
win,120,2.3.3.9,,,,文字,,,,,,,,,,,,,,,,,,
win,121,2.3.5,,,格式转换,,,,,,,,,,,,,,,,,,,
win,122,2.3.6,,,提取图像的透明通道,,,,,,,,,,,,,,,,,,,
win,123,2.3.7,,,添加图像的透明通道,,,,,,,,,,,,,,,,,,,
win,124,2.3.8,,,批量转换图像为SVG,,,,,,,,,,,,,,,,,,,
win,125,2.3.9,,,识别图像中的文字-批量,,,,,,,,,,,,,,,,,,,
win,126,2.4,,可缩放矢量图形（SVG）,,,,,,,,,,,,,,,,,,,,
win,127,2.4.1,,,编辑SVG(可缩放矢量图形),,,,,,,,,,,,,,,,,,,
win,128,2.4.2,,,批量排版SVG文件,,,,,,,,,,,,,,,,,,,
win,129,2.4.3,,,批量转换SVG为图像,,,,,,,,,,,,,,,,,,,
win,130,2.4.4,,,批量转换SVG为PDF,,,,,,,,,,,,,,,,,,,
win,131,2.4.5,,,批量转换图像为SVG,,,,,,,,,,,,,,,,,,,
win,132,2.5,,图像的范围,,,,,,,,,,,,,,,,,,,,
win,133,2.6,,图像选项,,,,,,,,,,,,,,,,,,,,
win,134,2.8,,管理颜色,,,,,,,,,,,,,,,,,,,,
win,135,2.9,,查询颜色,,,,,,,,,,,,,,,,,,,,
win,136,2.10,,混合颜色,,,,,,,,,,,,,,,,,,,,
win,137,2.11,,色彩空间,,,,,,,,,,,,,,,,,,,,
win,138,2.11.1,,,绘制色度图,,,,,,,,,,,,,,,,,,,
win,139,2.11.2,,,编辑ICC色彩特性文件,,,,,,,,,,,,,,,,,,,
win,140,2.11.3,,,RGB色彩空间,,,,,,,,,,,,,,,,,,,
win,141,2.11.4,,,线性RGB-XYZ转换矩阵,,,,,,,,,,,,,,,,,,,
win,142,2.11.5,,,线性RGB-线性RGB转换矩阵,,,,,,,,,,,,,,,,,,,
win,143,2.11.6,,,光源,,,,,,,,,,,,,,,,,,,
win,144,2.11.7,,,色度适应矩阵,,,,,,,,,,,,,,,,,,,
win,145,2.13,,吾匣粘贴板中的图像,,,,,,,,,,,,,,,,,,,,
win,146,2.14,,系统粘贴板中的图像,,,,,,,,,,,,,,,,,,,,
win,147,2.15,,其它,,,,,,,,,,,,,,,,,,,,
win,148,2.15.1,,,图像Base64码,,,,,,,,,,,,,,,,,,,
win,149,2.15.2,,,卷积核管理器,,,,,,,,,,,,,,,,,,,
win,150,2.15.3,,,像素计算器,,,,,,,,,,,,,,,,,,,
win,151,3,文件,,,,,,,,,,,,,,,,,,,,,
win,152,3.1,,整理文件,,,,,,,,,,,,,,,,,,,,
win,153,3.2,,同步目录,,,,,,,,,,,,,,,,,,,,
win,154,3.4,,归档/压缩文件,,,,,,,,,,,,,,,,,,,,
win,155,3.4.1,,,解压/解档文件,,,,,,,,,,,,,,,,,,,
win,156,3.4.2,,,批量解压/解档文件,,,,,,,,,,,,,,,,,,,
win,157,3.4.3,,,归档/压缩文件,,,,,,,,,,,,,,,,,,,
win,158,3.4.4,,,批量压缩文件,,,,,,,,,,,,,,,,,,,
win,159,3.6,,批量剪切文件,,,,,,,,,,,,,,,,,,,,
win,160,3.7,,合并文件,,,,,,,,,,,,,,,,,,,,
win,161,3.9,,查找文件,,,,,,,,,,,,,,,,,,,,
win,162,3.10,,检查冗余文件,,,,,,,,,,,,,,,,,,,,
win,163,3.11,,比较文件,,,,,,,,,,,,,,,,,,,,
win,164,3.13,,批量重命名文件,,,,,,,,,,,,,,,,,,,,
win,165,3.14,,批量复制文件/目录,,,,,,,,,,,,,,,,,,,,
win,166,3.15,,批量移动文件/目录,,,,,,,,,,,,,,,,,,,,
win,167,3.17,,删除,,,,,,,,,,,,,,,,,,,,
win,168,3.17.1,,,删除Java输入输出临时目录下的文件,,,,,,,,,,,,,,,,,,,
win,169,3.17.2,,,批量删除空目录,,,,,,,,,,,,,,,,,,,
win,170,3.17.3,,,批量删除文件/目录,,,,,,,,,,,,,,,,,,,
win,171,3.17.4,,,批量删除嵌套目录,,,,,,,,,,,,,,,,,,,
win,172,4,网络,,,,,,,,,,,,,,,,,,,,,
win,173,4.1,,网页浏览器,,,,,,,,,,,,,,,,,,,,
win,174,4.2,,收藏的网址,,,,,,,,,,,,,,,,,,,,
win,175,4.3,,浏览历史,,,,,,,,,,,,,,,,,,,,
win,176,4.5,,管理远程目录（SFTP）,,,,,,,,,,,,,,,,,,,,
win,177,4.6,,从本地同步到远程目录,,,,,,,,,,,,,,,,,,,,
win,178,4.8,,查询网址,,,,,,,,,,,,,,,,,,,,
win,179,4.9,,批量查询DNS,,,,,,,,,,,,,,,,,,,,
win,180,4.10,,编码/解码URL,,,,,,,,,,,,,,,,,,,,
win,181,4.11,,安全证书,,,,,,,,,,,,,,,,,,,,
win,182,4.13,,下载网页,,,,,,,,,,,,,,,,,,,,
win,183,4.14,,微博截图,,,,,,,,,,,,,,,,,,,,
win,184,5,数据,,,,,,,,,,,,,,,,,,,,,
win,185,5.1,,处理数据,,,,,,,,,,,,,,,,,,,,
win,186,5.2,,管理数据,,,,,,,,,,,,,,,,,,,,
win,187,5.4,,数据文件,,,,,,,,,,,,,,,,,,,,
win,188,5.4.1,,,批量转换/分割CSV文件,,,,,,,,,,,,,,,,,,,
win,189,5.4.2,,,合并CSV文件,,,,,,,,,,,,,,,,,,,
win,190,5.4.4,,,批量转换/分割Excel文件,,,,,,,,,,,,,,,,,,,
win,191,5.4.5,,,合并Excel文件,,,,,,,,,,,,,,,,,,,
win,192,5.4.7,,,批量转换/分割文本数据文件,,,,,,,,,,,,,,,,,,,
win,193,5.4.8,,,合并文本数据文件,,,,,,,,,,,,,,,,,,,
win,194,5.5,,矩阵,,,,,,,,,,,,,,,,,,,,
win,195,5.5.1,,,管理矩阵,,,,,,,,,,,,,,,,,,,
win,196,5.5.2,,,矩阵的一元运算,,,,,,,,,,,,,,,,,,,
win,197,5.5.3,,,矩阵的二元运算,,,,,,,,,,,,,,,,,,,
win,198,5.6,,数据库,,,,,,,,,,,,,,,,,,,,
win,199,5.6.1,,,数据库表,,,,,,,,,,,,,,,,,,,
win,200,5.6.2,,,数据库SQL,,,,,,,,,,,,,,,,,,,
win,201,5.6.3,,,表定义,,,,,,,,,,,,,,,,,,,
win,202,5.8,,拼接数据,,,,,,,,,,,,,,,,,,,,
win,203,5.9,,数据列,,,,,,,,,,,,,,,,,,,,
win,204,5.10,,行表达式,,,,,,,,,,,,,,,,,,,,
win,205,5.11,,系统粘贴板中的数据,,,,,,,,,,,,,,,,,,,,
win,206,5.12,,吾匣粘贴板中的数据,,,,,,,,,,,,,,,,,,,,
win,207,5.14,,脚本和表达式,,,,,,,,,,,,,,,,,,,,
win,208,5.14.1,,,JavaScript,,,,,,,,,,,,,,,,,,,
win,209,5.14.2,,,JShell（Java交互编程工具）,,,,,,,,,,,,,,,,,,,
win,210,5.14.3,,,JEXL（Java表达式语言）,,,,,,,,,,,,,,,,,,,
win,211,5.15,,数学函数,,,,,,,,,,,,,,,,,,,,
win,212,5.17,,位置,,,,,,,,,,,,,,,,,,,,
win,213,5.17.1,,,地理编码,,,,,,,,,,,,,,,,,,,
win,214,5.17.2,,,地图上的位置,,,,,,,,,,,,,,,,,,,
win,215,5.17.3,,,转换坐标,,,,,,,,,,,,,,,,,,,
win,216,5.18,,其它,,,,,,,,,,,,,,,,,,,,
win,217,5.18.1,,,生成条码,,,,,,,,,,,,,,,,,,,
win,218,5.18.2,,,解码条码,,,,,,,,,,,,,,,,,,,
win,219,5.18.4,,,消息摘要,,,,,,,,,,,,,,,,,,,
win,220,5.18.5,,,编码/解码Base64,,,,,,,,,,,,,,,,,,,
win,221,5.18.7,,,从TTC中提取TTF,,,,,,,,,,,,,,,,,,,
win,222,6,媒体,,,,,,,,,,,,,,,,,,,,,
win,223,6.1,,播放视频/音频,,,,,,,,,,,,,,,,,,,,
win,224,6.2,,管理媒体列表,,,,,,,,,,,,,,,,,,,,
win,225,6.4,,FFmpeg: 录屏,,,,,,,,,,,,,,,,,,,,
win,226,6.5,,FFmpeg: 批量转换媒体,,,,,,,,,,,,,,,,,,,,
win,227,6.5.1,,,FFmpeg: 批量转换媒体-文件/目录,,,,,,,,,,,,,,,,,,,
win,228,6.5.2,,,FFmpeg: 批量转换媒体-流和媒体信息,,,,,,,,,,,,,,,,,,,
win,229,6.6,,FFmpeg: 把图像和音频合成为视频,,,,,,,,,,,,,,,,,,,,
win,230,6.6.1,,,FFmpeg: 把图像和音频合成为视频-文件/目录,,,,,,,,,,,,,,,,,,,
win,231,6.6.2,,,FFmpeg: 把图像和音频合成为视频-图像信息,,,,,,,,,,,,,,,,,,,
win,232,6.7,,FFmpeg: 查看媒体信息,,,,,,,,,,,,,,,,,,,,
win,233,6.8,,FFmpeg信息,,,,,,,,,,,,,,,,,,,,
win,234,6.10,,游戏：消消乐,,,,,,,,,,,,,,,,,,,,
win,235,6.11,,游戏：挖雷,,,,,,,,,,,,,,,,,,,,
win,236,8,主页（F8）,,,,,,,,,,,,,,,,,,,,,
win,237,9,开发,,,,,,,,,,,,,,,,,,,,,
win,238,9.1,,吾匣的属性,,,,,,,,,,,,,,,,,,,,
win,239,9.2,,吾匣日志,,,,,,,,,,,,,,,,,,,,
win,240,9.4,,运行系统命令,,,,,,,,,,,,,,,,,,,,
win,241,9.5,,JConsole（Java监视和管理控制台）,,,,,,,,,,,,,,,,,,,,
win,242,9.7,,宏命令,,,,,,,,,,,,,,,,,,,,
win,243,9.8,,吾匣内部表格,,,,,,,,,,,,,,,,,,,,
win,244,9.9,,所有表格的名字,,,,,,,,,,,,,,,,,,,,
win,245,9.11,,管理语言,,,,,,,,,,,,,,,,,,,,
win,246,9.12,,制作图标,,,,,,,,,,,,,,,,,,,,
win,247,9.13,,制作文档,,,,,,,,,,,,,,,,,,,,
win,248,9.14,,自动测试,,,,,,,,,,,,,,,,,,,,
win,249,9.15,,吾匣基本功能检验列表,,,,,,,,,,,,,,,,,,,,
