镇,经度,纬度,犯罪率,超过25000平米的区,工业用地,靠近查理斯河,一氧化氮浓度,平均房间数,早于1940建成比率,到达市中心的距离,公路可达性,税率,学生教师比,低收入比,价格中位数
Nahant,-70.9550018,42.2550011,0.00632,18,2.30999994,no,0.537999988,6.57499981,65.1999969,4.09000015,1,296,15.3000002,4.98000002,24
Swampscott,-70.9499969,42.2874985,0.027310001,0,7.07000017,no,0.469000012,6.421,78.9000015,4.96710014,2,242,17.7999992,9.14000034,21.6000004
Swampscott,-70.935997,42.2830009,0.02729,0,7.07000017,no,0.469000012,7.18499994,61.0999985,4.96710014,2,242,17.7999992,4.03000021,34.7000008
Marblehead,-70.9280014,42.2929993,0.032370001,0,2.18000007,no,0.458000004,6.99800014,45.7999992,6.06220007,3,222,18.7000008,2.94000006,33.4000015
Marblehead,-70.9219971,42.2980003,0.069049999,0,2.18000007,no,0.458000004,7.14699984,54.2000008,6.06220007,3,222,18.7000008,5.32999992,36.2000008
Marblehead,-70.9164963,42.3040009,0.02985,0,2.18000007,no,0.458000004,6.42999983,58.7000008,6.06220007,3,222,18.7000008,5.21000004,28.7000008
Salem,-70.935997,42.2970009,0.088289999,12.5,7.86999989,no,0.523999989,6.01200008,66.5999985,5.56050014,5,311,15.1999998,12.4300003,22.8999996
Salem,-70.9375,42.3100014,0.144549996,12.5,7.86999989,no,0.523999989,6.17199993,96.0999985,5.95050001,5,311,15.1999998,19.1499996,22.1000004
Salem,-70.9329987,42.3120003,0.211239994,12.5,7.86999989,no,0.523999989,5.63100004,100,6.08209991,5,311,15.1999998,29.9300003,16.5
Salem,-70.9290009,42.3160019,0.170039997,12.5,7.86999989,no,0.523999989,6.00400019,85.9000015,6.59210014,5,311,15.1999998,17.1000004,18.8999996
Salem,-70.9349976,42.3160019,0.224889994,12.5,7.86999989,no,0.523999989,6.37699986,94.3000031,6.34670019,5,311,15.1999998,20.4500008,15
Salem,-70.9440002,42.3170013,0.117470004,12.5,7.86999989,no,0.523999989,6.00899982,82.9000015,6.22669983,5,311,15.1999998,13.2700005,18.8999996
Salem,-70.9509964,42.3059998,0.093780004,12.5,7.86999989,no,0.523999989,5.88899994,39,5.45090008,5,311,15.1999998,15.71,21.7000008
Lynn,-70.9645004,42.2919998,0.629760027,0,8.14000034,no,0.537999988,5.94899988,61.7999992,4.70749998,4,307,21,8.26000023,20.3999996
Lynn,-70.9720001,42.2869987,0.637960017,0,8.14000034,no,0.537999988,6.09600019,84.5,4.46190023,4,307,21,10.2600002,18.2000008
Lynn,-70.9765015,42.2939987,0.627390027,0,8.14000034,no,0.537999988,5.83400011,56.5,4.49860001,4,307,21,8.47000027,19.8999996
Lynn,-70.9869995,42.2985001,1.05393004,0,8.14000034,no,0.537999988,5.93499994,29.2999992,4.49860001,4,307,21,6.57999992,23.1000004
Lynn,-70.9779968,42.2849998,0.784200013,0,8.14000034,no,0.537999988,5.98999977,81.6999969,4.25790024,4,307,21,14.6700001,17.5
Lynn,-70.9925003,42.2825012,0.802709997,0,8.14000034,no,0.537999988,5.45599985,36.5999985,3.79649997,4,307,21,11.6899996,20.2000008
Lynn,-70.987999,42.2775993,0.725799978,0,8.14000034,no,0.537999988,5.72700024,69.5,3.79649997,4,307,21,11.2799997,18.2000008
Lynn,-70.9834976,42.2770004,1.25179005,0,8.14000034,no,0.537999988,5.57000017,98.0999985,3.79789996,4,307,21,21.0200005,13.6000004
Lynn,-70.9820023,42.2809982,0.852039993,0,8.14000034,no,0.537999988,5.96500015,89.1999969,4.01230001,4,307,21,13.8299999,19.6000004
Lynn,-70.9775009,42.2789993,1.23247004,0,8.14000034,no,0.537999988,6.1420002,91.6999969,3.9769001,4,307,21,18.7199993,15.1999998
Lynn,-70.9729996,42.2789993,0.988430023,0,8.14000034,no,0.537999988,5.8130002,100,4.09520006,4,307,21,19.8799992,14.5
Lynn,-70.9692993,42.281601,0.750259995,0,8.14000034,no,0.537999988,5.92399979,94.0999985,4.39960003,4,307,21,16.2999992,15.6000004
Lynn,-70.9639969,42.2840004,0.840539992,0,8.14000034,no,0.537999988,5.59899998,85.6999969,4.45459986,4,307,21,16.5100002,13.8999996
Lynn,-70.9597015,42.2869987,0.671909988,0,8.14000034,no,0.537999988,5.8130002,90.3000031,4.68200016,4,307,21,14.8100004,16.6000004
Lynn,-70.9597015,42.2825012,0.955770016,0,8.14000034,no,0.537999988,6.04699993,88.8000031,4.45340014,4,307,21,17.2800007,14.8000002
Lynn,-70.9570007,42.2799988,0.772989988,0,8.14000034,no,0.537999988,6.49499989,94.4000015,4.45469999,4,307,21,12.8000002,18.3999996
Lynn,-70.9509964,42.2779999,1.00244999,0,8.14000034,no,0.537999988,6.67399979,87.3000031,4.23899984,4,307,21,11.9799995,21
Lynn,-70.9670029,42.2789993,1.13081002,0,8.14000034,no,0.537999988,5.71299982,94.0999985,4.2329998,4,307,21,22.6000004,12.6999998
Lynn,-70.9639969,42.2765007,1.35472,0,8.14000034,no,0.537999988,6.07200003,100,4.17500019,4,307,21,13.04,14.5
Lynn,-70.9720001,42.2765007,1.38799,0,8.14000034,no,0.537999988,5.94999981,82,3.99000001,4,307,21,27.7099991,13.1999998
Lynn,-70.9794998,42.276001,1.15172005,0,8.14000034,no,0.537999988,5.70100021,95,3.78719997,4,307,21,18.3500004,13.1000004
Lynn,-70.9775009,42.2719994,1.61282003,0,8.14000034,no,0.537999988,6.09600019,96.9000015,3.75979996,4,307,21,20.3400002,13.5
Sargus,-71,42.2700005,0.064170003,0,5.96000004,no,0.499000013,5.93300009,68.1999969,3.36030006,5,279,19.2000008,9.68000031,18.8999996
Sargus,-71.0080032,42.2745018,0.097439997,0,5.96000004,no,0.499000013,5.84100008,61.4000015,3.37789989,5,279,19.2000008,11.4099998,20
Sargus,-71.0039978,42.286499,0.080140002,0,5.96000004,no,0.499000013,5.8499999,41.5,3.93420005,5,279,19.2000008,8.77000046,21
Sargus,-71.0199966,42.2874985,0.175050005,0,5.96000004,no,0.499000013,5.96600008,30.2000008,3.84730005,5,279,19.2000008,10.1300001,24.2000008
Lynnfield,-71.0130005,42.3129997,0.027629999,75,2.95000005,no,0.428000003,6.59499979,21.7999992,5.40110016,3,252,18.2999992,4.32000017,30.7999992
Lynnfield,-71.0299988,42.3240013,0.03359,75,2.95000005,no,0.428000003,7.02400017,15.8000002,5.40110016,3,252,18.2999992,1.98000002,34.9000015
Peabody,-71.0039978,42.3349991,0.127440006,0,6.90999985,no,0.448000014,6.76999998,2.9000001,5.72090006,3,233,17.8999996,4.84000015,26.6000004
Peabody,-71.0029984,42.3235016,0.141499996,0,6.90999985,no,0.448000014,6.16900015,6.5999999,5.72090006,3,233,17.8999996,5.80999994,25.2999992
Peabody,-70.9775009,42.3237,0.159360006,0,6.90999985,no,0.448000014,6.21099997,6.5,5.72090006,3,233,17.8999996,7.44000006,24.7000008
Peabody,-70.9674988,42.3170013,0.12269,0,6.90999985,no,0.448000014,6.06899977,40,5.72090006,3,233,17.8999996,9.55000019,21.2000008
Peabody,-70.9725037,42.3074989,0.171419993,0,6.90999985,no,0.448000014,5.68200016,33.7999992,5.10039997,3,233,17.8999996,10.21,19.2999992
Peabody,-70.9649963,42.3074989,0.188360006,0,6.90999985,no,0.448000014,5.78599977,33.2999992,5.10039997,3,233,17.8999996,14.1499996,20
Peabody,-70.9560013,42.3125,0.229269996,0,6.90999985,no,0.448000014,6.03000021,85.5,5.6894002,3,233,17.8999996,18.7999992,16.6000004
Peabody,-70.9550018,42.3165016,0.25387001,0,6.90999985,no,0.448000014,5.39900017,95.3000031,5.86999989,3,233,17.8999996,30.8099995,14.3999996
Peabody,-70.9524994,42.3208008,0.219769999,0,6.90999985,no,0.448000014,5.60200024,62,6.08769989,3,233,17.8999996,16.2000008,19.3999996
Danvers,-70.9509964,42.3339996,0.08873,21,5.63999987,no,0.43900001,5.96299982,45.7000008,6.81470013,4,243,16.7999992,13.4499998,19.7000008
Danvers,-70.9629974,42.3381996,0.043370001,21,5.63999987,no,0.43900001,6.11499977,63,6.81470013,4,243,16.7999992,9.43000031,20.5
