年,博物馆机构数(个),博物馆从业人员(人),博物馆文物藏品(件/套),本年博物馆从有关部门接收文物数(件/套),本年博物馆修复文物数(件/套),博物馆考古发掘项目(个),博物馆基本陈列(个),博物馆举办展览(个),博物馆参观人次(万人次)
1949,21,,,,,,,,
1950,22,,,,,,,,
1951,31,,,,,,,,
1952,35,,,,,,,,
1953,49,,,,,,,,
1954,46,,,,,,,,
1955,50,,,,,,,,
1956,67,,,,,,,,
1957,72,,,,,,,,
1958,360,,,,,,,,
1959,480,,,,,,,,
1960,452,,,,,,,,
1961,300,,,,,,,,
1962,230,,,,,,,,
1963,215,,,,,,,,
1964,228,,,,,,,,
1965,214,,,,,,,,
1966,193,,,,,,,,
1967,187,,,,,,,,
1968,179,,,,,,,,
1969,171,,,,,,,,
1970,182,,,,,,,,
1971,184,,,,,,,,
1972,195,,,,,,,,
1973,210,,,,,,,,
1974,217,,,,,,,,
1975,242,,,,,,,,
1976,263,,,,,,,,
1977,300,,,,,,,,
1978,349,,,,,,,,
1979,344,,,,,,,,
1980,365,,,,,,,,
1981,383,,,,,,,,
1982,409,,,,,,,,
1983,467,,,,,,,,
1984,618,,,,,,,,
1985,711,,,,,,,,
1986,777,,,,,,,,
1987,827,,7313878,,,,,,8245.00
1988,903,,7663071,,,,,,10618.00
1989,967,,7785715,,,,,,6716.00
1990,1013,,7779011,,,,,,14976.10
1991,1075,,8026956,,,,,,14357.00
1992,1106,,8391662,,,,,,9425.00
1993,1130,,8644857,,,,,,8982.00
1994,1161,,,,,,,,
1995,1194,,,,,,,,
1996,1219,,,,,,,,
1997,1282,,,,,,,,
1998,1339,32135,9309135,,,,,,8844.00
1999,1363,33435,9506191,,,,,,9246.30
2000,1392,34199,9813923,,,,,,8540.00
2001,1461,35092,,,,,,,7955.00
2002,1511,35833,,,,,,,7980.00
2003,1515,34891,,,,,,,6206.00
2004,1548,39266,12856434,,,,,,9736.00
2005,1581,38603,16199377,,,,,,11819.00
2006,1617,40818,13024192,,,,,,12032.40
2007,1722,42636,13760448,,,,,,25625.00
2008,1893,51587,14554158,41046,,,,,28328.00
2009,2252,59919,15711150,44211,,,,,32715.60
2010,2435,57431,17552482,20900,33871,539,16613,10091,40679.30
2011,2650,62181,19023423,434695,79496,366,7054,9867,47050.68
2012,3069,71748,23180726,47314,39120,325,8230,11885,56401.08
2013,3473,79075,27191601,113070,304839,,7650,9172,63776.00
2014,3658,83970,29299673,186236,,,,,71773.81
2015,3852,89133,30441422,50137,,,,,78111.69
2016,4109,93431,33293561,87483,,,,,85061.03
2017,4721,105079,36623080,33780,,,,,97172.15
2018,4918,107506,37540740,188377,,,,,104403.58
2019,5132,107993,39548334,70779,,,,,112225.16
2020,5452,118913,43190898,162399,,,,,52652.35
2021,3671,,,,,,,,
