拼音,字
ā,吖 阿 啊 锕 腌
á,啊
ǎ,啊
à,啊
a,啊
āi,哎 哀 埃 挨 唉 锿
ái,挨 皑 癌
ǎi,毐 欸 嗳 矮 蔼 霭
ài,艾 砹 唉 爱 隘 碍 嗳 嗌 嫒 瑷 叆 暧
ān,安 垵 桉 氨 庵 谙 鹌 𩽾 鞍 盦
ǎn,俺 埯 唵 铵
àn,犴 岸 按 胺 案 暗 黯
āng,肮
áng,卬 昂
àng,盎
āo,凹 熬
áo,敖 嶅 遨 嗷 廒 璈 獒 熬 聱 螯 翱 鳌 鏖
ǎo,袄 媪
ào,岙 坳 拗 奡 傲 奥 骜 隩 薁 澳 懊 鏊
bā,八 巴 扒 叭 朳 芭 吧 岜 疤 捌 蚆 笆 羓 粑 鲃
bá,拔 妭 胈 菝 跋 魃
bǎ,把 钯 靶
bà,坝 把 爸 耙 罢 鲅 霸 灞
ba,吧 罢
bāi,掰
bái,白 拜
bǎi,百 伯 佰 柏 捭 摆
bài,败 拜 稗
bān,扳 攽 班 般 颁 斑 搬 瘢 癍 𨭉
bǎn,阪 坂 板 昄 版 钣
bàn,办 半 扮 伴 拌 绊 柈 湴 靽 瓣
bāng,邦 帮 𠳐 梆 浜
bǎng,绑 榜 膀
bàng,玤 蚌 棒 傍 谤 塝 搒 蒡 磅 镑
bāo,包 苞 孢 枹 胞 炮 剥 龅 煲 褒
báo,雹 薄
bǎo,饱 宝 保 鸨 葆 堡 褓
bào,报 刨 抱 趵 豹 鲍 暴 瀑 曝 爆
bēi,杯 卑 背 椑 悲 碑 鹎
běi,北
bèi,贝 孛 邶 狈 𬇙 备 背 钡 倍 悖 被 琲 棓 辈 惫 焙 蓓 碚 鞁 褙 糒 鞴 鐾
bei,呗 臂
bēn,奔 贲 栟 犇 锛
běn,本 苯 畚
bèn,坌 奔 倴 笨
bēng,祊 崩 绷 嘣
béng,甭
běng,绷 琫
bèng,泵 迸 蚌 绷 甏 镚 蹦
bī,逼 鲾
