CIE (1931) 2-deg color matching functions
Wavelength (nm)	xbar	ybar	zbar
nm	x bar	y bar	z bar
360	0.0001299	0.000003917	0.0006061
361	0.000145847	4.393581E-006	0.0006808792
362	0.0001638021	4.929604E-006	0.0007651456
363	0.0001840037	5.532136E-006	0.0008600124
364	0.0002066902	6.208245E-006	0.0009665928
365	0.0002321	0.000006965	0.001086
366	0.000260728	7.813219E-006	0.001220586
367	0.000293075	8.767336E-006	0.001372729
368	0.000329388	9.839844E-006	0.001543579
369	0.000369914	1.104323E-005	0.001734286
370	0.0004149	0.00001239	0.001946
371	0.0004641587	1.388641E-005	0.002177777
372	0.000518986	1.555728E-005	0.002435809
373	0.000581854	0.000017443	0.002731953
374	0.0006552347	1.958375E-005	0.003078064
375	0.0007416	0.00002202	0.003486
376	0.0008450296	2.483965E-005	0.003975227
377	0.0009645268	2.804126E-005	0.00454088
378	0.001094949	0.000031531	0.00515832
379	0.001231154	3.521521E-005	0.005802907
380	0.001368	0.000039	0.006450001
381	0.00150205	4.28264E-005	0.007083216
382	0.001642328	4.69146E-005	0.007745488
383	0.001802382	5.15896E-005	0.008501152
384	0.001995757	5.71764E-005	0.009414544
385	0.002236	0.000064	0.01054999
386	0.002535385	7.234421E-005	0.0119658
387	0.002892603	8.221224E-005	0.01365587
388	0.003300829	9.350816E-005	0.01558805
389	0.003753236	0.0001061361	0.01773015
390	0.004243	0.00012	0.02005001
391	0.004762389	0.000134984	0.02251136
392	0.005330048	0.000151492	0.02520288
393	0.005978712	0.000170208	0.02827972
394	0.006741117	0.000191816	0.03189704
395	0.00765	0.000217	0.03621
396	0.008751373	0.0002469067	0.04143771
397	0.01002888	0.00028124	0.04750372
398	0.0114217	0.00031852	0.05411988
399	0.01286901	0.0003572667	0.06099803
400	0.01431	0.000396	0.06785001
401	0.01570443	0.0004337147	0.07448632
402	0.01714744	0.000473024	0.08136156
403	0.01878122	0.000517876	0.08915364
404	0.02074801	0.0005722187	0.09854048
405	0.02319	0.00064	0.1102
406	0.02620736	0.00072456	0.1246133
407	0.02978248	0.0008255	0.1417017
408	0.03388092	0.00094116	0.1613035
409	0.03846824	0.00106988	0.1832568
410	0.04351	0.00121	0.2074
411	0.0489956	0.001362091	0.2336921
412	0.0550226	0.001530752	0.2626114
413	0.0617188	0.001720368	0.2947746
414	0.069212	0.001935323	0.3307985
415	0.07763	0.00218	0.3713
416	0.08695811	0.0024548	0.4162091
417	0.09717672	0.002764	0.4654642
418	0.1084063	0.0031178	0.5196948
419	0.1207672	0.0035264	0.5795303
420	0.13438	0.004	0.6456
421	0.1493582	0.00454624	0.7184838
422	0.1653957	0.00515932	0.7967133
