gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
1000,4,116.401284,39.902627,北京,Beijing,110000,10,,,,北京市,,,,,,,100,2,100,1000,,,,,,
1001,4,117.194685,39.083152,天津,Tianjin,120000,22,,,,天津市,,,,,,,100,2,100,1001,,,,,,
1002,4,114.462504,38.036303,河北,Hebei,130000,,,,,河北省,Hebei Province,,,,,,100,2,100,1002,,,,,,
1003,4,112.556128,37.873031,山西,Shanxi,140000,,,,,山西省,Shanxi Province,,,,,,100,2,100,1003,,,,,,
1004,4,111.758708,40.816075,内蒙古,Inner Mongolia,150000,,,,,内蒙古自治区,,,,,,,100,2,100,1004,,,,,,
1005,4,123.423297,41.83301,辽宁,Liaoning,210000,,,,,辽宁省,Liaoning Province,,,,,,100,2,100,1005,,,,,,
1006,4,125.319464,43.894124,吉林,Jilin,220000,,,,,吉林省,Jilin Province,,,,,,100,2,100,1006,,,,,,
1007,4,126.655651,45.740358,黑龙江,Heilongjiang,230000,,,,,黑龙江省,Heilongjiang Province,,,,,,100,2,100,1007,,,,,,
1008,4,121.469178,31.232358,上海,Shanghai,310000,21,,,,上海市,,,,,,,100,2,100,1008,,,,,,
1009,4,118.758009,32.063748,江苏,Jiangsu,320000,,,,,江苏省,Jiangsu Province,,,,,,100,2,100,1009,,,,,,
1010,4,120.14809,30.269771,浙江,Zhejiang,330000,,,,,浙江省,Zhejiang Province,,,,,,100,2,100,1010,,,,,,
1011,4,117.279398,31.863177,安徽,Anhui,340000,,,,,安徽省,Anhui Province,,,,,,100,2,100,1011,,,,,,
1012,4,119.290344,26.1039,福建,Fujian,350000,,,,,福建省,Fujian Province,,,,,,100,2,100,1012,,,,,,
1013,4,115.904391,28.679066,江西,Jiangxi,360000,,,,,江西省,Jiangxi Province,,,,,,100,2,100,1013,,,,,,
1014,4,117.01443,36.668206,山东,Shandong,370000,,,,,山东省,Shandong Province,,,,,,100,2,100,1014,,,,,,
1015,4,113.74742,34.766507,河南,Henan,410000,,,,,河南省,Henan Province,,,,,,100,2,100,1015,,,,,,
1016,4,114.336363,30.548857,湖北,Hubei,420000,,,,,湖北省,Hubei Province,,,,,,100,2,100,1016,,,,,,
1017,4,112.978234,28.115838,湖南,Hunan,430000,,,,,湖南省,Hunan Province,,,,,,100,2,100,1017,,,,,,
1018,4,113.261199,23.134865,广东,Guangdong,440000,,,,,广东省,Guangdong Province,,,,,,100,2,100,1018,,,,,,
1019,4,108.323543,22.818232,广西,Guangxi,450000,,,,,广西壮族自治区,Guangxi Province,,,,,,100,2,100,1019,,,,,,
1020,4,110.344819,20.019379,海南,Hainan,460000,,,,,海南省,Hainan Province,,,,,,100,2,100,1020,,,,,,
1021,4,106.547838,29.565858,重庆,Chongqing,500000,23,,,,重庆市,,,,,,,100,2,100,1021,,,,,,
1022,4,104.073407,30.654063,四川,Sichuan,510000,,,,,四川省,Sichuan Province,,,,,,100,2,100,1022,,,,,,
1023,4,106.70365,26.601727,贵州,Guizhou,530000,,,,,贵州省,Guizhou Province,,,,,,100,2,100,1023,,,,,,
1024,4,102.708565,25.048781,云南,Yunnan,530000,,,,,云南省,Yunnan Province,,,,,,100,2,100,1024,,,,,,
1025,4,91.115652,29.64963,西藏,Xizang,540000,,,,,西藏自治区,Xizang Province,Tibet,,,,,100,2,100,1025,,,,,,
1026,4,108.949546,34.267033,陕西,Shaanxi,610000,,,,,陕西省,Shaanxi Province,Shensi,,,,,100,2,100,1026,,,,,,
1027,4,103.823888,36.059734,甘肃,Gansu,620000,,,,,甘肃省,Gansu Province,,,,,,100,2,100,1027,,,,,,
1028,4,101.778269,36.620983,青海,Qinghai,630000,,,,,青海省,Qinghai Province,,,,,,100,2,100,1028,,,,,,
1029,4,106.254355,38.470864,宁夏,Ningxia,640000,,,,,宁夏回族自治区,Ningxia Province,,,,,,100,2,100,1029,,,,,,
1030,4,87.624842,43.791791,新疆,Xinjiang,650000,,,,,新疆维吾尔自治区,Xinjiang Province,,,,,,100,2,100,1030,,,,,,
1031,4,113.537923,22.189768,澳门,Macau,820000,,,,,澳门特别行政区,,,,,,,100,2,100,1031,,,,,,
1032,4,114.158846,22.279012,香港,Hong Kong,810000,,,,,香港特别行政区,,,,,,,100,2,100,1032,,,,,,
1033,4,121.504974,25.047117,台湾,Taiwan,710000,,,,,台湾省,,,,,,,100,2,100,1033,,,,,,
